Name:  Black tar paper
Type:  Manmade materials
Class:  Roofing Materials
Subclass:  Roofing Paper
Particle Size: Solid
Sample No.: 0522UUUTAR
Owner:  National Photographic Interpretation Center 
Wavelength Range:  All
Origin: Spectra obtained from the Noncoventional Exploitation Factors 
Data System of the National Photographic Interpretation Center. 
Description:  Extremely weathered black roofing paper. Paper was 
thickly tarred and deeply cracked.




Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.3
Last X Value: 12.5
Number of X Values: 536
Additional Information:  None

2.96	2.7764
2.98	2.8842
3	3.0679
3.02	2.9174
3.04	2.8895
3.06	3.0151
3.08	3.0139
3.1	2.97
3.12	3.0431
3.14	2.9201
3.16	2.9622
3.18	2.9923
3.2	3.0666
3.22	2.9852
3.24	2.9311
3.26	2.9461
3.28	2.8843
3.3	2.9603
3.32	2.8055
3.34	2.6574
3.36	2.6625
3.38	2.4254
3.4	2.3094
3.42	2.462
3.44	2.4997
3.46	2.6218
3.48	2.3782
3.5	2.3091
3.52	2.8006
3.54	2.7062
3.56	2.6769
3.58	2.576
3.6	2.5993
3.62	2.7395
3.64	2.6916
3.66	2.6507
3.68	2.663
3.7	2.7754
3.72	2.8461
3.74	2.8839
3.76	2.808
3.78	2.755
3.8	2.811
3.82	2.8967
3.84	2.9141
3.86	2.8055
3.88	2.8391
3.9	2.9366
3.92	2.9792
3.94	2.9462
3.96	3.059
3.98	3.0914
4	3.0719
4.02	3.1829
4.04	3.1542
4.06	3.2759
4.08	3.151
4.1	3.2027
4.12	3.1986
4.14	3.2883
4.16	3.4262
4.18	3.3289
4.2	3.2665
4.22	3.3184
4.24	3.3482
4.26	3.3097
4.28	3.3489
4.3	3.4136
4.32	3.308
4.34	3.3878
4.36	3.3956
4.38	3.2569
4.4	3.2488
4.42	3.3586
4.44	3.3588
4.46	3.4293
4.48	3.4436
4.5	3.399
4.52	3.3576
4.54	3.3546
4.56	3.3782
4.58	3.4029
4.6	3.3118
4.62	3.3536
4.64	3.4383
4.66	3.3551
4.68	3.3686
4.7	3.28
4.72	3.2632
4.74	3.26
4.76	3.3222
4.78	3.4047
4.8	3.4181
4.82	3.3199
4.84	3.2421
4.86	3.2734
4.88	3.2198
4.9	3.234
4.92	3.0925
4.94	3.2
4.96	3.2005
4.98	3.1252
5	3.0937
5.1	3.0012
5.2	2.881
5.3	2.7478
5.4	2.6396
5.5	2.4103
5.6	2.1794
5.7	2.031
5.8	1.9364
5.9	2.0023
6	2.0443
6.1	2.0052
6.2	2.0236
6.3	2.0323
6.4	2.1028
6.5	1.9762
6.6	1.979
6.7	1.8039
6.8	1.7447
6.9	1.6403
7	1.6671
7.1	1.6356
7.2	1.6547
7.3	1.6835
7.4	1.677
7.5	1.6624
7.6	1.6569
7.7	1.6079
7.8	1.5904
7.9	1.6978
8	1.7965
8.1	1.7932
8.2	1.8028
8.3	1.9815
8.4	2.0276
8.5	2.05
8.6	1.8903
8.7	2.013
8.8	2.2748
8.9	2.279
9	2.2069
9.1	2.3819
9.2	2.5559
9.3	2.585
9.4	2.3886
9.5	2.4516
9.6	2.5853
9.7	2.5649
9.8	2.7618
9.9	2.6183
10	2.5153
10.1	2.6399
10.2	2.3826
10.3	2.5148
10.4	2.6648
10.5	2.5
10.6	2.6394
10.7	2.6355
10.8	2.6037
10.9	2.6225
11	2.7061
11.1	2.7342
11.2	2.8093
11.3	2.8411
11.4	2.6826
11.5	2.7846
11.6	2.7379
11.7	2.8125
11.8	2.7633
11.9	2.5655
12	2.733
12.1	2.8487
12.2	3.4705
12.3	2.6082
12.4	3.4893
12.5	3.0703
