Name:  Plate Window Glass
Type:  Manmade materials
Class:  General Construction Materials
Subclass:  Glass
Particle Size: Solid
Sample No.: 0796UUUGLS
Owner:  National Photographic Interpretation Center 
Wavelength Range:  All
Origin: Spectra obtained from the Noncoventional Exploitation Factors 
Data System of the National Photographic Interpretation Center.
Description:  Unweathered, transparent construction plate window 
glass.




Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.3
Last X Value:  14
Number of X Values:  551
Additional Information:  None

3	3.7307
3.02	3.6042
3.04	3.8956
3.06	4.0557
3.08	3.9253
3.1	4.0159
3.12	4.1405
3.14	3.9683
3.16	3.8721
3.18	3.9699
3.2	3.985
3.22	4.1242
3.24	4.0252
3.26	3.9341
3.28	3.9036
3.3	3.796
3.32	3.7719
3.34	3.804
3.36	3.8785
3.38	3.6722
3.4	3.7551
3.42	3.855
3.44	3.6067
3.46	3.5803
3.48	3.6414
3.5	3.5366
3.52	3.6218
3.54	3.5587
3.56	3.3412
3.58	3.427
3.6	3.3186
3.62	3.3044
3.64	3.4509
3.66	3.6754
3.68	3.484
3.7	3.4244
3.72	3.4266
3.74	3.5616
3.76	3.7002
3.78	3.4451
3.8	3.5883
3.82	3.5607
3.84	3.4274
3.86	3.6168
3.88	3.6191
3.9	3.6689
3.92	3.5739
3.94	3.5403
3.96	3.4465
3.98	3.5229
4	3.5491
4.02	3.5882
4.04	3.5688
4.06	3.6821
4.08	3.686
4.1	3.4579
4.12	3.5431
4.14	3.463
4.16	3.5029
4.18	3.5477
4.2	3.5499
4.22	3.5111
4.24	3.3008
4.26	3.4361
4.28	3.382
4.3	3.3827
4.32	3.3205
4.34	3.3963
4.36	3.3686
4.38	3.3469
4.4	3.3675
4.42	3.4006
4.44	3.3728
4.46	3.3575
4.48	3.2981
4.5	3.3951
4.52	3.3445
4.54	3.196
4.56	3.2011
4.58	3.3441
4.6	3.2855
4.62	3.2662
4.64	3.3581
4.66	3.3311
4.68	3.2921
4.7	3.2493
4.72	3.209
4.74	3.2536
4.76	3.325
4.78	3.2131
4.8	3.1685
4.82	3.1447
4.84	3.1735
4.86	3.1957
4.88	3.2642
4.9	3.0016
4.92	3.2419
4.94	3.1226
4.96	3.1964
4.98	3.0676
5	3.0459
5.1	2.9944
5.2	2.9278
5.3	2.8603
5.4	2.8835
5.5	2.706
5.6	2.6198
5.7	2.6464
5.8	2.5017
5.9	2.4028
6	2.4418
6.1	2.2896
6.2	2.177
6.3	2.0085
6.4	1.9712
6.5	1.7958
6.6	1.5729
6.7	1.5147
6.8	1.4623
6.9	1.3172
7	1.0906
7.1	0.9504
7.2	0.8375
7.3	0.7139
7.4	0.515
7.5	0.3926
7.6	0.2561
7.7	0.0615
7.8	-0.00179
7.9	0.0424
8	0.484
8.1	1.6798
8.2	3.8054
8.3	6.3442
8.4	8.9286
8.5	11.2111
8.6	13.4084
8.7	15.2926
8.8	17.1294
8.9	18.8851
9	21.123
9.1	23.521
9.2	26.131
9.3	27.9961
9.4	29.014
9.5	29.0152
9.6	28.2778
9.7	27.0648
9.8	25.8254
9.9	24.672
10	23.3709
10.1	22.4177
10.2	21.355
10.3	20.7693
10.4	19.8071
10.5	19.0897
10.6	18.2772
10.7	17.3125
10.8	16.3555
10.9	15.5673
11	14.3981
11.1	13.2185
11.2	12.3074
11.3	11.3613
11.4	10.7518
11.5	10.0609
11.6	9.5534
11.7	8.622
11.8	7.9373
11.9	7.4739
12	6.9371
12.1	6.7736
12.2	6.7553
12.3	6.3961
12.4	6.5395
12.5	6.7509
12.6	7.2216
12.7	7.3396
12.8	7.6577
12.9	7.8317
13	7.91
13.1	7.9957
13.2	7.8447
13.3	7.7293
13.4	7.9203
13.5	7.7455
13.6	7.4664
13.7	7.2678
13.8	7.0486
13.9	7.1307
14	7.003
