Name:  Fluorite CaF2
Type:  Mineral
Class:   Halides
Subclass:    
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  flourite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Donated by Norma Vergo; sample from Bingham, New Mexico.

Description: The sample was a large piece of a transparent single 
crystal and appeared to be pure fluorite.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: flouri1a.txt

11.83597236	3.6518
11.80901051	3.6987
11.78217122	3.7388
11.75545365	3.7703
11.72885698	3.8179
11.70238038	3.8652
11.67602305	3.9026
11.64978419	3.937
11.62366299	3.9729
11.59765866	4.0156
11.57177043	4.0586
11.54599752	4.0928
11.52033916	4.1267
11.49479458	4.166
11.46936304	4.188
11.44404378	4.2073
11.41883606	4.2471
11.39373914	4.2873
11.3687523	4.3064
11.34387482	4.3288
11.31910597	4.3689
11.29444505	4.4202
11.26990406	4.4592
11.24545684	4.4812
11.22111545	4.5
11.19687921	4.5273
11.17274743	4.5615
11.14871946	4.5876
11.12479461	4.616
11.10097222	4.6494
11.07725165	4.698
11.05363222	4.7314
11.03011331	4.7576
11.00669427	4.7805
10.98337447	4.8047
10.96015327	4.8403
10.93703005	4.8769
10.9140042	4.9048
10.89107509	4.9353
10.86824213	4.9707
10.8455047	5.0027
10.82286221	5.0298
10.80031407	5.0532
10.77785969	5.0876
10.75549848	5.1145
10.73322986	5.1457
10.71106474	5.1894
10.68897956	5.2197
10.66698525	5.2497
10.64508128	5.282
10.62326708	5.2973
10.6015421	5.3064
10.5799058	5.3352
10.55835763	5.3706
10.53689705	5.3996
10.51552354	5.4216
10.49423657	5.4421
10.4730356	5.4563
10.45192012	5.4704
10.43088962	5.4941
10.40994358	5.5132
10.38908149	5.53
10.36830285	5.5552
10.34760717	5.5781
10.32699394	5.5906
10.30646267	5.6033
10.28601287	5.6245
10.26564407	5.6455
10.24535578	5.6699
10.22514752	5.6843
10.20502924	5.6924
10.1849796	5.6941
10.16500858	5.6921
10.14511574	5.6999
10.12530059	5.7224
10.10556271	5.7468
10.08590162	5.7693
10.0663169	5.7886
10.04680808	5.8037
10.02737473	5.8149
10.00801642	5.8235
9.98873271	5.8391
9.969523168	5.8515
9.950387369	5.8586
9.931324888	5.8721
9.912335307	5.8828
9.893427994	5.8992
9.874582922	5.9143
9.855809507	5.9258
9.83710734	5.9343
9.818476015	5.935
9.799915133	5.937
9.781424293	5.9563
9.7630031	5.97
9.744651161	5.9807
9.726368087	5.9922
9.70815349	5.9931
9.690006986	5.9873
9.671928196	5.9912
9.653916739	5.9983
9.635972241	6.0019
9.618094328	6.0054
9.600282632	6.0036
9.582536785	5.9922
9.564856422	5.9917
9.547241181	5.9866
9.529690704	5.9697
9.512204634	5.9514
9.494782617	5.9394
9.477424301	5.9382
9.460138288	5.937
9.4429063	5.9421
9.425736975	5.935
9.408629972	5.9216
9.391584952	5.9172
9.374601579	5.9131
9.35767952	5.9119
9.340818443	5.9084
9.324018018	5.9087
9.307277919	5.9031
9.290597822	5.8877
9.273977405	5.8928
9.257416348	5.9038
9.240914333	5.9055
9.224471046	5.9011
9.208086173	5.9045
9.191759404	5.9018
9.17549043	5.897
9.159278945	5.9131
9.143124645	5.9223
9.127027227	5.9324
9.110986392	5.9538
9.095001842	5.9685
9.079073281	5.9861
9.06320863	6.0039
9.04739114	6.0229
9.031628764	6.04
9.015921215	6.0459
9.000268208	6.0581
8.984669459	6.0679
8.969124685	6.0801
8.953633608	6.0974
8.93819595	6.1033
8.922811435	6.1013
8.907479789	6.0959
8.89220074	6.0976
8.876974017	6.0993
8.861799353	6.1006
8.846676481	6.0989
8.831605135	6.093
8.816585054	6.0947
8.801615977	6.104
8.786697643	6.1191
8.771829795	6.1304
8.757012178	6.1406
8.742244536	6.1626
8.727526619	6.1853
8.712858175	6.2016
8.69824652	6.2248
8.683676252	6.251
8.669154714	6.2756
8.654681663	6.2944
8.640256858	6.3122
8.625880055	6.3386
8.611551018	6.3664
8.597269507	6.3877
8.583035287	6.4153
8.568848124	6.4353
8.554707784	6.4504
8.540614036	6.4702
8.52656665	6.4924
8.512565398	6.5076
8.498610052	6.5195
8.484700388	6.5266
8.470836182	6.5285
8.45701721	6.5329
8.443243252	6.5395
8.429514089	6.5471
8.415829502	6.553
8.402189274	6.5513
8.388593191	6.5525
8.375041038	6.5564
8.361539594	6.5625
8.348074642	6.5732
8.334652987	6.5791
8.32127442	6.5859
8.307938734	6.5959
8.294645723	6.6059
8.281395183	6.6152
8.268186911	6.6264
8.255020704	6.6333
8.241896361	6.6391
8.228813685	6.6533
8.215772476	6.6704
8.202772537	6.686
8.189813674	6.6943
8.176895691	6.7014
8.164018395	6.7131
8.151188239	6.7253
8.138391724	6.7375
8.125635323	6.7519
8.11291885	6.7646
8.100242116	6.7744
8.087604937	6.7854
8.075007126	6.8008
8.062448501	6.8152
8.049928879	6.8232
8.037448078	6.8345
8.025005918	6.8523
8.012602221	6.8669
8.000236807	6.8757
7.9879095	6.8909
7.975620124	6.9084
7.963368505	6.9228
7.951154468	6.9446
7.938977841	6.9673
7.926838452	6.9773
7.914736131	6.9907
7.902670708	7.0105
7.890642014	7.0261
7.878649883	7.0439
7.866694148	7.0644
7.854780812	7.0832
7.842897355	7.0913
7.831049799	7.1035
7.819237984	7.1211
7.807461747	7.1347
7.795720929	7.1533
7.784015369	7.1716
7.772344909	7.1867
7.760709391	7.1968
7.749108659	7.2114
7.737542556	7.2243
7.726010929	7.2356
7.714513623	7.249
7.703050485	7.2595
7.691621363	7.2676
7.680226106	7.272
7.668864563	7.2827
7.657536586	7.2934
7.646242025	7.3047
7.634980733	7.3166
7.623752563	7.3237
7.61255737	7.3269
7.601395008	7.3335
7.590265333	7.343
7.579173946	7.3491
7.568109199	7.3608
7.557076711	7.3716
7.546076342	7.375
7.535107952	7.3801
7.524171401	7.3865
7.51326655	7.3891
7.502393263	7.3918
7.491551403	7.3967
7.480740833	7.4009
7.469961418	7.4021
7.459213023	7.4043
7.448495516	7.4067
7.437808762	7.4062
7.42715263	7.4079
7.416526989	7.4106
7.405931707	7.4094
7.395366655	7.4053
7.384831703	7.4084
7.374326724	7.4145
7.363851589	7.4118
7.353406171	7.415
7.342990345	7.417
7.332603984	7.4099
7.322252325	7.4101
7.311924506	7.414
7.30162578	7.4143
7.291356025	7.4079
7.281115117	7.4057
7.270902937	7.407
7.260719363	7.4026
7.250564275	7.395
7.240437554	7.3921
7.230339081	7.3877
7.220268738	7.3762
7.210226408	7.3657
7.200211974	7.3591
7.19022532	7.3479
7.18026633	7.3308
7.17033489	7.3149
7.160436013	7.3056
7.150559317	7.2995
7.140709829	7.292
7.130887439	7.2805
7.121092034	7.2759
7.111323503	7.2803
7.101581735	7.2778
7.091866622	7.2739
7.082178053	7.2761
7.07251592	7.282
7.062880115	7.2815
7.053270531	7.2781
7.04368706	7.2832
7.034129597	7.301
7.024598035	7.3069
7.01509227	7.3022
7.005612196	7.3013
6.99615771	7.3083
6.986728709	7.3169
6.977325089	7.3213
6.967946748	7.3152
6.958593585	7.3091
6.949265497	7.3254
6.939962385	7.3345
6.930688952	7.3364
6.921435478	7.3435
6.912206681	7.345
6.903002461	7.3413
6.893822721	7.3442
6.884667364	7.3481
6.875536292	7.3384
6.866429409	7.3281
6.857346618	7.3337
6.848287825	7.3376
6.839252935	7.3342
6.830241852	7.334
6.821254483	7.3354
6.812290735	7.3388
6.803350514	7.3393
6.794433728	7.3386
6.785540285	7.3386
6.776670093	7.3479
6.767823062	7.3569
6.7589991	7.3589
6.750198118	7.3579
6.741420026	7.3613
6.732664735	7.3628
6.723932156	7.363
6.715226709	7.363
6.706539278	7.3638
6.697874296	7.3633
6.689231675	7.3567
6.680611329	7.3589
6.672013173	7.3594
6.663437121	7.3628
6.654883087	7.3733
6.646350987	7.3667
6.637840737	7.3511
6.629352253	7.3594
6.620885451	7.3811
6.612440248	7.3857
6.604016563	7.3857
6.595614312	7.393
6.587233415	7.3955
6.578873789	7.3891
6.570535354	7.3923
6.56221803	7.4035
6.553921736	7.4065
6.545646392	7.4126
6.537391921	7.4221
6.529158241	7.4226
6.520945276	7.4236
6.512757189	7.4304
6.504585407	7.4297
6.496434107	7.4153
6.488303211	7.4172
6.480192643	7.4309
6.472102327	7.4402
6.464032186	7.4446
6.455982145	7.4446
6.44795213	7.446
6.439942066	7.4443
6.431951879	7.4424
6.423981494	7.4365
6.416030838	7.4241
6.408099838	7.435
6.400188422	7.4626
6.392296516	7.469
6.384424048	7.4692
6.376570948	7.4675
6.368737143	7.468
6.360922563	7.4814
6.353127136	7.4868
6.345350793	7.4756
6.337593464	7.4783
6.329855078	7.4875
6.322139564	7.4863
6.314438848	7.4858
6.30675687	7.4936
6.29909356	7.4924
6.291448851	7.4817
6.283822676	7.4809
6.276214965	7.4861
6.268625654	7.4861
6.261054675	7.4775
6.253501961	7.4758
6.245967447	7.4785
6.238451067	7.4802
6.230952756	7.48
6.223472449	7.478
6.21601008	7.4763
6.208565585	7.4792
6.201142747	7.4824
6.1937338	7.4741
6.186342535	7.4599
6.178968891	7.4651
6.171612803	7.4748
6.164274209	7.4697
6.156953047	7.4643
6.149649255	7.4634
6.14236277	7.4617
6.135093533	7.4631
6.12784148	7.4634
6.120606552	7.4587
6.113388688	7.4524
6.106187828	7.4592
6.099003911	7.4663
6.091836878	7.468
6.084686669	7.4719
6.077553226	7.469
6.070436489	7.4719
6.063336399	7.4804
6.056252899	7.4758
6.049185931	7.4626
6.042135436	7.488
6.035101357	7.5176
6.02808727	7.5232
6.021085843	7.5237
6.01410066	7.5295
6.007131667	7.5415
6.000178805	7.553
5.99324202	7.5588
5.986321256	7.5679
5.979416457	7.5827
5.972527568	7.5932
5.965654534	7.6033
5.9587973	7.6186
5.951955813	7.6291
5.945130017	7.6421
5.938319859	7.6426
5.931525286	7.6533
