Name:  Beryl Be3Al2Si6O18
Type:  Mineral
Class:  Silicates
Subclass:  Cyclosilicates (Ring Silicates)
Particle Size:  Fine (Less than 2 Micrometers)
Sample No.:  beryl.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from Maine via Hunt and Salisbury Collection sample 
#180B (purchased from Ward's Natural Science Establishment).
Description: The hand sample was cut and polished along an 
unknown axis.  It was pale green and appeared pure.  Microscopic 
examination showed a small amount (2% or less) of very fine, low 
birefringent material in the sample.  The contaminating grains 
occasionally have rhombic or cubic shape.  These grains were 
unidentifiable.
Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: beryl1a.txt

12.14087298	63.8162
12.1125058	65.5394
12.08427087	67.1156
12.05616727	68.6834
12.02819409	70.2171
12.00035041	71.5496
11.97263534	72.8162
11.945048	74.0413
11.9175875	75.1409
11.8902671	76.0921
11.86305761	77.0022
11.83597236	77.7303
11.80901051	78.2928
11.78217122	78.8772
11.75545365	79.4007
11.72885698	79.8435
11.70238038	80.2674
11.67602305	80.6131
11.64978419	80.8128
11.62366299	80.885
11.59765866	80.908
11.57177043	80.8357
11.54599752	80.6892
11.52033916	80.6404
11.49479458	80.3748
11.46936304	79.908
11.44404378	79.3641
11.41883606	78.9353
11.39373914	78.5686
11.3687523	78.3094
11.34387482	78.0765
11.31910597	77.6697
11.29444505	77.1839
11.26990406	76.5701
11.24545684	76.0315
11.22111545	75.3592
11.19687921	74.5252
11.17274743	73.6605
11.14871946	72.7952
11.12479461	71.8109
11.10097222	70.6434
11.07725165	69.5042
11.05363222	68.3231
11.03011331	67.0574
11.00669427	65.6649
10.98337447	64.2723
10.96015327	62.8504
10.93703005	61.3729
10.9140042	59.8631
10.89107509	58.242
10.86824213	56.6996
10.8455047	55.1463
10.82286221	53.5331
10.80031407	51.8793
10.77785969	50.3387
10.75549848	48.8788
10.73322986	47.3578
10.71106474	45.8729
10.68897956	44.475
10.66698525	43.3153
10.64508128	42.1293
10.62326708	40.9003
10.6015421	39.8202
10.5799058	38.7733
10.55835763	37.7958
10.53689705	36.9208
10.51552354	36.1532
10.49423657	35.4774
10.4730356	34.893
10.45192012	34.4374
10.43088962	34.1581
10.40994358	34.1806
10.38908149	34.5473
10.36830285	35.2094
10.34760717	36.1469
10.32699394	37.2948
10.30646267	38.5585
10.28601287	39.8983
10.26564407	41.2113
10.24535578	42.4516
10.22514752	43.5961
10.20502924	44.6415
10.1849796	45.6268
10.16500858	46.5668
10.14511574	47.5087
10.12530059	48.4012
10.10556271	49.3983
10.08590162	50.4999
10.0663169	51.6395
10.04680808	52.7547
10.02737473	53.7899
10.00801642	54.6737
9.98873271	55.3592
9.969523168	55.9149
9.950387369	56.286
9.931324888	56.409
9.912335307	56.243
9.893427994	55.8265
9.874582922	55.2899
9.855809507	54.6586
9.83710734	54.1737
9.818476015	53.9774
9.799915133	54.0936
9.781424293	54.5389
9.7630031	55.3143
9.744651161	56.2948
9.726368087	57.4237
9.70815349	58.7074
9.690006986	60.1209
9.671928196	61.6131
9.653916739	63.0379
9.635972241	64.5145
9.618094328	65.9373
9.600282632	67.2537
9.582536785	68.4715
9.564856422	69.5394
9.547241181	70.4769
9.529690704	71.3045
9.512204634	72.0272
9.494782617	72.6463
9.477424301	73.285
9.460138288	73.8914
9.4429063	74.4568
9.425736975	75.0672
9.408629972	75.6644
9.391584952	76.2264
9.374601579	76.7029
9.35767952	77.2073
9.340818443	77.7151
9.324018018	78.0965
9.307277919	78.4593
9.290597822	78.8182
9.273977405	79.1912
9.257416348	79.4978
9.240914333	79.907
9.224471046	80.2483
9.208086173	80.5198
9.191759404	80.781
9.17549043	80.9827
9.159278945	81.0935
9.143124645	81.1878
9.127027227	81.3308
9.110986392	81.4163
9.095001842	81.5042
9.079073281	81.5838
9.06320863	81.6717
9.04739114	81.739
9.031628764	81.8181
9.015921215	81.9265
9.000268208	81.9461
8.984669459	81.8924
8.969124685	81.8362
8.953633608	81.8025
8.93819595	81.7347
8.922811435	81.6463
8.907479789	81.4803
8.89220074	81.2537
8.876974017	80.9519
8.861799353	80.5555
8.846676481	80.2351
8.831605135	79.8753
8.816585054	79.3738
8.801615977	78.8309
8.786697643	78.1258
8.771829795	77.3094
8.757012178	76.4432
8.742244536	75.5667
8.727526619	74.6824
8.712858175	73.9349
8.69824652	73.3543
8.683676252	72.9315
8.669154714	72.6063
8.654681663	72.4061
8.640256858	72.1898
8.625880055	71.7601
8.611551018	71.1097
8.597269507	70.2298
8.583035287	69.1346
8.568848124	67.7489
8.554707784	66.2254
8.540614036	64.6131
8.52656665	62.9764
8.512565398	61.3436
8.498610052	59.745
8.484700388	58.243
8.470836182	56.765
8.45701721	55.3651
8.443243252	54.0389
8.429514089	52.6547
8.415829502	51.1073
8.402189274	49.3126
8.388593191	47.2931
8.375041038	45.2167
8.361539594	43.2277
8.348074642	41.5643
8.334652987	40.3693
8.32127442	39.7677
8.307938734	39.7685
8.294645723	40.2186
8.281395183	40.9513
8.268186911	41.84
8.255020704	42.7941
8.241896361	43.6854
8.228813685	44.5558
8.215772476	45.3868
8.202772537	46.1532
8.189813674	46.8807
8.176895691	47.6215
8.164018395	48.3544
8.151188239	49.1222
8.138391724	49.9466
8.125635323	50.8273
8.11291885	51.8146
8.100242116	52.9288
8.087604937	54.1698
8.075007126	55.4425
8.062448501	56.7245
8.049928879	58.0838
8.037448078	59.4735
8.025005918	60.8558
8.012602221	62.2296
8.000236807	63.6659
7.9879095	65.0311
7.975620124	66.3067
7.963368505	67.5272
7.951154468	68.7098
7.938977841	69.7913
7.926838452	70.8331
7.914736131	71.9061
7.902670708	72.9305
7.890642014	73.9134
7.878649883	74.8428
7.866694148	75.74
7.854780812	76.5877
7.842897355	77.3494
7.831049799	78.1202
7.819237984	78.8829
7.807461747	79.6863
7.795720929	80.4031
7.784015369	81.0625
7.772344909	81.6385
7.760709391	82.1199
7.749108659	82.5721
7.737542556	82.9734
7.726010929	83.3203
7.714513623	83.6258
7.703050485	83.9539
7.691621363	84.2469
7.680226106	84.5196
7.668864563	84.7581
7.657536586	84.9646
7.646242025	85.1573
7.634980733	85.3133
7.623752563	85.5137
7.61255737	85.6795
7.601395008	85.845
7.590265333	85.9922
7.579173946	86.1719
7.568109199	86.3653
7.557076711	86.5203
7.546076342	86.6709
7.535107952	86.8181
7.524171401	86.9837
7.51326655	87.0977
7.502393263	87.2246
7.491551403	87.2957
7.480740833	87.3894
7.469961418	87.4851
7.459213023	87.5838
7.448495516	87.6941
7.437808762	87.8084
7.42715263	87.9346
7.416526989	88.0078
