Name: Cordierite Mg2Al4Si5O18
Type:  Mineral
Class:   Silicates 
Subclass:   Cyclosilicates (Ring Silicates)
Particle Size:  Fine  (less than 2 Micrometers)
Sample No.:  cordier.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Orijarvi, Finland via the Smithsonian  (sample 
no. NMNH 78228). 
Description: The sample consists of three pieces, each about 2 cm x 4 
cm x 1 cm.  There are some heterogeneities in color, but the samples 
are predominantly blue-gray.  They appear fairly pure, but do have 
a few veins with discoloration along them.  Under the petrographic 
microscope all samples appear to be cordierite, but grains have a 
small amount of alteration and some microcrystalline inclusions.
Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: cordie2a.txt

25.04420302	54.3436
24.9237955	56.5467
24.80454022	58.5233
24.68642074	60.453
24.5694209	61.3123
24.45358465	60.4452
24.3387763	59.7186
24.22504094	58.367
24.11236361	56.66
24.00072962	53.7069
23.89012454	50.3905
23.78053421	46.7382
23.67194472	45.1171
23.56434244	45.4179
23.45771395	47.3085
23.35204611	49.1288
23.24732598	49.6014
23.14354087	48.0858
23.04067832	45.4374
22.93872607	42.2499
22.83767211	39.33
22.7375046	37.5937
22.63821194	36.828
22.53978272	37.0624
22.44220571	38.0487
22.3454699	39.0331
22.24956446	39.5272
22.15447875	39.8847
22.06020229	39.9921
21.96677306	39.7206
21.87408402	39.4999
21.7821739	39.6659
21.69103293	39.9472
21.60065148	40.4159
21.5110201	41.2362
21.42212949	42.664
21.33397051	44.0253
21.24653416	45.1874
21.15981159	46.2069
21.0737941	46.6522
20.98847313	46.8788
20.90384024	46.4725
20.81988716	45.66
20.73660571	44.2362
20.65398787	42.703
20.57202575	41.3847
20.49071156	40.9081
20.41003766	41.4647
20.3299965	43.1796
20.25058069	45.9471
20.1717829	49.7499
20.09359597	54.0467
20.01601281	57.7694
19.93906621	60.9823
19.8626695	63.5662
19.78685599	65.5252
19.71161901	66.8143
19.63695203	67.9432
19.56284859	68.2615
19.48930232	68.5037
19.41630698	68.5399
19.34385639	68.6287
19.27194448	68.617
19.20056526	68.8328
19.12971284	69.1092
19.05938141	69.574
18.98956523	69.7381
18.92025868	70.1287
18.85145618	70.5555
18.78315226	71.1678
18.71534153	71.3826
18.64801865	71.7225
18.58117838	72.0477
18.51481556	72.5311
18.44892507	72.8445
18.38350191	73.1658
18.31854111	73.2283
18.25407111	73.3094
18.19002023	73.2889
18.12641726	73.1815
18.06325753	72.7772
18.00053642	72.1229
17.93824937	71.2283
17.8763919	69.8719
17.81495958	68.2196
17.75394803	66.4696
17.69335296	65.203
17.63317011	64.91
17.57339529	65.4032
17.51402436	65.7938
17.45505324	65.5389
17.39647791	63.9823
17.3382944	61.2967
17.28049878	57.9881
17.2230872	55.5682
17.16605584	55.4042
17.10940093	57.5252
17.05311876	60.5916
16.99720566	63.3514
16.94165801	65.1229
16.88647225	66.2196
16.83167317	66.7518
16.77720046	67.3475
16.72307919	67.8797
16.66930597	68.3563
16.61587747	68.325
16.56279037	68.1209
16.51004141	67.5672
16.45762737	66.7772
16.40554507	65.8436
16.35379138	64.7664
16.30236319	63.4305
16.25125744	62.3866
16.20047111	61.7479
16.15000121	61.8241
16.0998448	62.6268
16.04999896	63.9471
16.00048641	65.5096
15.95125297	67.1893
15.90232158	68.6727
15.85368947	69.9178
15.80535391	70.9822
15.75731218	71.8377
15.70956162	72.6922
15.6620996	73.1951
15.61492349	73.5477
15.56803074	73.782
15.52141878	73.9412
15.47508511	73.7107
15.42902725	73.6258
15.38324273	73.4695
15.33772913	73.4344
15.29248405	73.2391
15.24750513	73.0506
15.20279002	72.9295
15.1583364	73.0125
15.114142	72.7352
15.07020455	72.4373
15.02652181	71.8592
14.98309158	70.9861
14.93991168	69.7625
14.89700213	68.3992
14.85431629	67.0877
14.81187438	66.2655
14.76967431	66.2821
14.72771402	67.2283
14.68599147	68.3797
14.64450465	69.3143
14.60325156	70.0701
14.56223023	70.6658
14.52143873	71.1902
14.48087511	71.3719
14.44053748	71.408
14.40042395	71.3182
14.36053266	71.4119
14.32086177	71.2928
14.28140946	71.1522
14.24217393	71.0701
14.20315338	71.2801
14.16434607	71.407
14.12575025	71.8748
14.0873642	72.1531
14.0491862	72.4256
14.01121458	72.6102
13.97344765	72.6727
13.93590321	72.5926
13.89854065	72.6492
13.8613779	72.4471
13.82441336	72.2576
13.78764544	71.9959
13.75107258	71.6463
13.71469324	71.1697
13.67850587	70.6229
13.64250897	69.9022
13.60670103	68.9217
13.57108057	67.8221
13.53564612	66.5159
13.50039624	64.869
13.46532947	62.93
13.4304444	60.9574
13.39573962	59.1253
13.36121373	58.1698
13.32686536	57.9178
13.29269314	57.9002
13.25869572	57.2381
13.22487175	55.5545
13.19121992	52.8187
13.15773892	49.4217
13.12442745	45.4769
13.09130135	41.5341
13.05832501	38.0707
13.02551438	35.5468
12.99286821	34.1874
12.96038529	33.9067
12.92806437	34.6938
12.89590426	36.6034
12.86390376	39.4789
12.83206168	43.119
12.80037684	47.2303
12.7688481	51.5101
12.73747429	55.6429
12.70625427	59.1234
12.67518693	62.0941
12.64427113	64.3944
12.61350579	66.1209
12.58290562	67.1937
12.55243781	67.9124
12.52211719	68.4735
12.4919427	69.3201
12.46191328	70.3436
12.43202789	71.6214
12.40228549	72.7449
12.37268507	73.6761
12.34322561	74.3401
12.31390609	74.8709
12.28472554	75.2562
12.25568296	75.4866
12.22677738	75.8611
12.19800782	76.1697
12.16937334	76.2654
12.14087298	76.219
12.1125058	76.3577
12.08427087	76.4988
12.05616727	76.7469
12.02819409	77.0062
12.00035041	77.1683
11.97263534	77.1839
11.945048	77.2518
11.9175875	77.1312
11.8902671	77.1092
11.86305761	76.9378
11.83597236	76.8104
11.80901051	76.365
11.78217122	76.2229
11.75545365	75.9061
11.72885698	75.639
11.70238038	75.219
11.67602305	74.8211
11.64978419	74.3065
11.62366299	73.68
11.59765866	73.0721
11.57177043	72.3504
11.54599752	71.5858
11.52033916	70.9002
11.49479458	70.2459
11.46936304	69.3382
11.44404378	68.3475
11.41883606	67.4178
11.39373914	66.43
11.3687523	65.2723
11.34387482	64.1429
11.31910597	62.786
11.29444505	61.2562
11.26990406	59.43
11.24545684	57.5604
11.22111545	55.4007
11.19687921	52.9676
11.17274743	50.2303
11.14871946	47.369
11.12479461	44.2538
11.10097222	40.9911
11.07725165	37.7987
11.05363222	34.83
11.03011331	32.3652
11.00669427	30.7582
10.98337447	30.0331
10.96015327	29.9628
10.93703005	30.3427
10.9140042	31.2177
10.89107509	33.0663
10.86824213	36.0575
10.8455047	39.6688
10.82286221	42.5609
10.80031407	43.8617
10.77785969	43.204
10.75549848	40.953
10.73322986	37.6366
10.71106474	33.8749
10.68897956	30.1196
10.66698525	26.7216
10.64508128	23.5058
10.62326708	20.7167
10.6015421	18.5332
10.5799058	16.7968
10.55835763	15.4126
10.53689705	14.3222
10.51552354	13.4697
10.49423657	12.77
10.4730356	12.1709
10.45192012	11.6494
10.43088962	11.2568
10.40994358	11.0146
10.38908149	11.0879
10.36830285	11.4404
10.34760717	12.0009
10.32699394	12.6591
10.30646267	13.3715
10.28601287	14.1821
10.26564407	15.0205
10.24535578	15.8496
10.22514752	16.604
10.20502924	17.2539
10.1849796	17.9013
10.16500858	18.5903
10.14511574	19.3559
10.12530059	20.2797
10.10556271	21.414
10.08590162	22.7875
10.0663169	24.287
10.04680808	25.8867
10.02737473	27.3891
10.00801642	28.7089
9.98873271	29.8168
9.969523168	30.789
9.950387369	31.5009
9.931324888	31.9569
9.912335307	32.1879
9.893427994	32.4477
9.874582922	32.9169
9.855809507	33.4374
9.83710734	33.7953
9.818476015	33.8505
9.799915133	33.4145
9.781424293	32.3593
9.7630031	30.8969
9.744651161	29.7236
9.726368087	29.8012
9.70815349	31.1835
9.690006986	32.9941
9.671928196	34.5233
9.653916739	35.7079
9.635972241	36.6215
9.618094328	37.2958
9.600282632	37.7948
9.582536785	38.1981
9.564856422	38.5336
9.547241181	38.8285
9.529690704	39.077
9.512204634	39.2899
9.494782617	39.4765
9.477424301	39.6366
9.460138288	39.7186
9.4429063	39.6503
9.425736975	39.5253
9.408629972	39.3661
9.391584952	39.1703
9.374601579	38.8739
9.35767952	38.6508
9.340818443	38.4716
9.324018018	38.2118
9.307277919	37.8593
9.290597822	37.4535
9.273977405	36.9706
9.257416348	36.4608
9.240914333	35.8969
9.224471046	35.33
9.208086173	34.7099
9.191759404	34.1391
9.17549043	33.7001
9.159278945	33.3935
9.143124645	33.1855
9.127027227	33.164
9.110986392	33.2646
9.095001842	33.4242
9.079073281	33.6523
9.06320863	33.911
9.04739114	34.1249
9.031628764	34.2406
9.015921215	34.3964
9.000268208	34.434
8.984669459	34.3876
8.969124685	34.352
8.953633608	34.227
8.93819595	33.9926
8.922811435	33.6757
8.907479789	33.2011
8.89220074	32.6454
8.876974017	31.9833
8.861799353	31.3573
8.846676481	30.7602
8.831605135	30.207
8.816585054	29.54
8.801615977	28.7035
8.786697643	27.7465
8.771829795	26.8989
8.757012178	26.3881
8.742244536	26.4028
8.727526619	26.893
8.712858175	27.5146
8.69824652	27.8569
8.683676252	27.7905
8.669154714	27.4081
8.654681663	26.8559
8.640256858	26.1357
8.625880055	25.1943
8.611551018	24.0683
8.597269507	23.0214
8.583035287	22.3217
8.568848124	21.705
8.554707784	20.8032
8.540614036	19.5834
8.52656665	18.4775
8.512565398	17.8232
8.498610052	17.7573
8.484700388	18.1879
8.470836182	18.9575
