Name:  Very pale brown to brownish yellow interior dry gravelly silt loam 
Type:  Soils
Class:  Aridisol
Subclass:  Gypsiorthid
Particle Size:  see additional information
Sample No.:  82P2695
Owner:  JHU
Wavelength range:  All
Origin:  Schuamri wildlife reserve on highway Azraq to Saudi Arabia via USDA 
Soil Conservation service.
Description:  from grazed rangeland.  Very pale brown interior dry gravelly silt 
loam to brownish yellow interior moist gravelly silt loam (typic gypsiorthid).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2695a.txt

6.9400	3.2412
6.9307	3.2490
6.9214	3.2502
6.9122	3.2363
6.9030	3.2036
6.8938	3.1548
6.8847	3.0981
6.8755	3.0454
6.8664	3.0073
6.8573	2.9893
6.8483	2.9905
6.8393	3.0032
6.8302	3.0176
6.8213	3.0242
6.8123	3.0190
6.8034	3.0049
6.7944	2.9900
6.7855	2.9822
6.7767	2.9866
6.7678	3.0024
6.7590	3.0244
6.7502	3.0447
6.7414	3.0586
6.7327	3.0657
6.7239	3.0710
6.7152	3.0815
6.7065	3.1016
6.6979	3.1311
6.6892	3.1645
6.6806	3.1943
6.6720	3.2151
6.6634	3.2261
6.6549	3.2346
6.6464	3.2510
6.6378	3.2842
6.6294	3.3369
6.6209	3.4043
6.6124	3.4773
6.6040	3.5466
6.5956	3.6111
6.5872	3.6772
6.5789	3.7576
6.5705	3.8623
6.5622	3.9929
6.5539	4.1389
6.5456	4.2788
6.5374	4.3906
6.5292	4.4612
6.5209	4.4932
6.5128	4.5078
6.5046	4.5383
6.4964	4.6177
6.4883	4.7656
6.4802	4.9770
6.4721	5.2231
6.4640	5.4580
6.4560	5.6369
6.4480	5.7307
6.4399	5.7368
6.4320	5.6780
6.4240	5.5932
6.4160	5.5190
6.4081	5.4765
6.4002	5.4636
6.3923	5.4609
6.3844	5.4429
