Name:  Gray silty clay
Type:  Soils
Class:  Mollisol
Subclass:  Haplaquoll
Particle Size:  see additional information
Sample No.:  86P4603
Owner:  JHU
Wavelength range:  All
Origin:  Humboldt Co., Nv. via USDA Soil Conservation service.

Description:  Gray silty clay, (fine, montmorillonitic, mesic cumulic).





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P4603a.txt

10.9834	2.1587
10.9602	2.1240
10.9370	2.0991
10.9140	2.0850
10.8911	2.0813
10.8682	2.0884
10.8455	2.1030
10.8229	2.1174
10.8003	2.1291
10.7779	2.1382
10.7555	2.1467
10.7332	2.1531
10.7111	2.1594
10.6890	2.1689
10.6670	2.1809
10.6451	2.1916
10.6233	2.2019
10.6015	2.2124
10.5799	2.2205
10.5584	2.2231
10.5369	2.2234
10.5155	2.2236
10.4942	2.2234
10.4730	2.2202
10.4519	2.2168
10.4309	2.2168
10.4099	2.2192
10.3891	2.2190
10.3683	2.2178
10.3476	2.2151
10.3270	2.2060
10.3065	2.1894
10.2860	2.1711
10.2657	2.1575
10.2454	2.1504
10.2252	2.1433
10.2050	2.1377
10.1850	2.1309
10.1650	2.1191
10.1451	2.1072
10.1253	2.1025
10.1056	2.1084
10.0859	2.1260
10.0663	2.1460
10.0468	2.1641
10.0274	2.1760
10.0080	2.1826
9.9887	2.1882
9.9695	2.1931
9.9504	2.1956
9.9313	2.1951
9.9123	2.1890
9.8934	2.1780
9.8746	2.1704
9.8558	2.1765
9.8371	2.1968
9.8185	2.2275
9.7999	2.2595
9.7814	2.2854
9.7630	2.3037
9.7447	2.3147
9.7264	2.3257
9.7082	2.3435
9.6900	2.3643
9.6719	2.3852
9.6539	2.3999
9.6360	2.4075
9.6181	2.4094
9.6003	2.4084
9.5825	2.4126
9.5649	2.4268
9.5472	2.4443
9.5297	2.4602
9.5122	2.4697
9.4948	2.4746
9.4774	2.4746
9.4601	2.4726
9.4429	2.4758
9.4257	2.4846
9.4086	2.4919
9.3916	2.4924
9.3746	2.4844
9.3577	2.4729
9.3408	2.4636
9.3240	2.4619
9.3073	2.4690
9.2906	2.4812
9.2740	2.4929
9.2574	2.4973
9.2409	2.4914
9.2245	2.4810
9.2081	2.4695
9.1918	2.4580
9.1755	2.4441
9.1593	2.4282
9.1431	2.4126
9.1270	2.3989
9.1110	2.3899
9.0950	2.3906
9.0791	2.3977
9.0632	2.4045
9.0474	2.4062
9.0316	2.4028
9.0159	2.3943
9.0003	2.3845
8.9847	2.3745
8.9691	2.3657
8.9536	2.3525
8.9382	2.3332
8.9228	2.3096
8.9075	2.2834
8.8922	2.2571
8.8770	2.2327
8.8618	2.2112
8.8467	2.1934
8.8316	2.1750
8.8166	2.1575
8.8016	2.1399
8.7867	2.1191
8.7718	2.0962
8.7570	2.0706
8.7422	2.0439
8.7275	2.0195
8.7129	1.9944
8.6982	1.9663
8.6837	1.9307
8.6692	1.8860
8.6547	1.8384
8.6403	1.7964
8.6259	1.7681
8.6116	1.7610
8.5973	1.7729
8.5830	1.7942
8.5688	1.8118
8.5547	1.8198
8.5406	1.8188
8.5266	1.8096
8.5126	1.7952
8.4986	1.7834
8.4847	1.7769
8.4708	1.7732
8.4570	1.7700
8.4432	1.7656
8.4295	1.7595
8.4158	1.7505
8.4022	1.7395
8.3886	1.7314
8.3750	1.7263
8.3615	1.7229
8.3481	1.7197
8.3347	1.7144
8.3213	1.7073
8.3079	1.7024
8.2946	1.7019
8.2814	1.7073
8.2682	1.7148
8.2550	1.7224
8.2419	1.7270
8.2288	1.7251
8.2158	1.7180
8.2028	1.7085
8.1898	1.6973
8.1769	1.6833
8.1640	1.6670
8.1512	1.6506
8.1384	1.6331
8.1256	1.6152
8.1129	1.5994
8.1002	1.5867
8.0876	1.5769
8.0750	1.5701
8.0624	1.5674
8.0499	1.5706
8.0374	1.5786
8.0250	1.5933
8.0126	1.6179
8.0002	1.6523
7.9879	1.6941
7.9756	1.7407
7.9634	1.7876
7.9512	1.8306
7.9390	1.8662
7.9268	1.8972
7.9147	1.9250
7.9027	1.9499
7.8906	1.9748
7.8786	2.0015
7.8667	2.0264
7.8548	2.0469
7.8429	2.0640
7.8310	2.0813
7.8192	2.0989
7.8075	2.1184
7.7957	2.1433
7.7840	2.1746
7.7723	2.2080
7.7607	2.2393
7.7491	2.2681
7.7375	2.2944
7.7260	2.3162
7.7145	2.3340
7.7031	2.3494
7.6916	2.3647
7.6802	2.3804
7.6689	2.3957
7.6575	2.4123
7.6462	2.4304
7.6350	2.4487
7.6238	2.4668
7.6126	2.4858
7.6014	2.5063
7.5903	2.5273
7.5792	2.5478
7.5681	2.5654
7.5571	2.5810
7.5461	2.5935
7.5351	2.6060
7.5242	2.6206
7.5133	2.6387
7.5024	2.6584
7.4916	2.6785
7.4807	2.6958
7.4700	2.7117
7.4592	2.7263
7.4485	2.7407
7.4378	2.7561
7.4272	2.7712
7.4165	2.7839
7.4059	2.7939
7.3954	2.8000
7.3848	2.8039
7.3743	2.8037
7.3639	2.7991
7.3534	2.7908
7.3430	2.7788
7.3326	2.7642
7.3222	2.7500
7.3119	2.7378
7.3016	2.7273
7.2914	2.7146
7.2811	2.6990
7.2709	2.6802
7.2607	2.6565
7.2506	2.6255
7.2404	2.5896
7.2303	2.5510
7.2203	2.5083
7.2102	2.4563
7.2002	2.3938
7.1902	2.3198
7.1803	2.2324
7.1703	2.1357
7.1604	2.0422
7.1506	1.9629
7.1407	1.9019
7.1309	1.8545
7.1211	1.8159
7.1113	1.7761
7.1016	1.7268
7.0919	1.6650
7.0822	1.5969
7.0725	1.5290
7.0629	1.4661
7.0533	1.4114
7.0437	1.3677
7.0341	1.3362
7.0246	1.3137
7.0151	1.2954
7.0056	1.2788
6.9962	1.2595
6.9867	1.2373
6.9773	1.2129
6.9679	1.1895
6.9586	1.1738
6.9493	1.1667
6.9400	1.1633
6.9307	1.1597
6.9214	1.1521
6.9122	1.1406
6.9030	1.1250
6.8938	1.1111
6.8847	1.1047
6.8755	1.1055
6.8664	1.1099
6.8573	1.1165
6.8483	1.1245
6.8393	1.1321
6.8302	1.1379
6.8213	1.1472
6.8123	1.1599
6.8034	1.1726
6.7944	1.1855
6.7855	1.1995
6.7767	1.2136
6.7678	1.2261
6.7590	1.2361
6.7502	1.2468
6.7414	1.2573
6.7327	1.2659
6.7239	1.2734
6.7152	1.2815
6.7065	1.2908
6.6979	1.3005
6.6892	1.3086
6.6806	1.3147
6.6720	1.3171
6.6634	1.3162
6.6549	1.3130
6.6464	1.3098
6.6378	1.3120
6.6294	1.3237
6.6209	1.3420
6.6124	1.3647
6.6040	1.3899
6.5956	1.4165
6.5872	1.4441
6.5789	1.4751
6.5705	1.5161
6.5622	1.5706
6.5539	1.6377
6.5456	1.7158
6.5374	1.8008
6.5292	1.8872
6.5209	1.9685
6.5128	2.0417
6.5046	2.1052
6.4964	2.1602
6.4883	2.2112
6.4802	2.2610
6.4721	2.3118
6.4640	2.3618
6.4560	2.4043
6.4480	2.4331
6.4399	2.4434
6.4320	2.4372
6.4240	2.4199
6.4160	2.3975
6.4081	2.3772
6.4002	2.3635
6.3923	2.3523
6.3844	2.3389
6.3766	2.3208
6.3687	2.3000
6.3609	2.2759
6.3531	2.2493
6.3454	2.2244
6.3376	2.2029
6.3299	2.1826
6.3221	2.1597
6.3144	2.1367
6.3068	2.1143
6.2991	2.0913
6.2914	2.0696
6.2838	2.0515
6.2762	2.0356
6.2686	2.0181
6.2611	1.9949
6.2535	1.9653
6.2460	1.9307
6.2385	1.8918
6.2310	1.8523
6.2235	1.8110
6.2160	1.7690
6.2086	1.7266
6.2011	1.6819
6.1937	1.6357
6.1863	1.5925
6.1790	1.5549
6.1716	1.5193
6.1643	1.4858
6.1570	1.4568
6.1496	1.4319
6.1424	1.4087
6.1351	1.3892
6.1278	1.3787
6.1206	1.3769
6.1134	1.3801
6.1062	1.3872
6.0990	1.3972
6.0918	1.4075
6.0847	1.4158
6.0776	1.4243
6.0704	1.4375
6.0633	1.4582
6.0563	1.4853
6.0492	1.5178
6.0421	1.5554
6.0351	1.5974
6.0281	1.6404
6.0211	1.6836
6.0141	1.7285
6.0071	1.7773
6.0002	1.8284
5.9932	1.8791
5.9863	1.9329
5.9794	1.9890
5.9725	2.0469
5.9657	2.1079
5.9588	2.1765
5.9520	2.2544
5.9451	2.3440
5.9383	2.4426
5.9315	2.5508
5.9247	2.6633
5.9180	2.7734
5.9112	2.8787
5.9045	2.9797
5.8978	3.0801
5.8911	3.1860
5.8844	3.3010
5.8777	3.4292
5.8711	3.5691
5.8644	3.7119
5.8578	3.8496
5.8512	3.9758
5.8446	4.0906
5.8380	4.1973
5.8314	4.3039
5.8249	4.4202
5.8184	4.5527
5.8118	4.6990
5.8053	4.8479
5.7988	4.9885
5.7923	5.1164
5.7859	5.2312
5.7794	5.3371
5.7730	5.4402
5.7666	5.5481
5.7602	5.6672
5.7538	5.7908
5.7474	5.9121
5.7410	6.0288
5.7347	6.1384
5.7283	6.2390
5.7220	6.3306
5.7157	6.4180
5.7094	6.5056
5.7031	6.5935
5.6969	6.6814
5.6906	6.7671
5.6844	6.8493
5.6782	6.9236
5.6719	6.9858
5.6657	7.0346
5.6596	7.0708
5.6534	7.0993
5.6472	7.1250
5.6411	7.1501
5.6349	7.1789
5.6288	7.2090
5.6227	7.2336
5.6166	7.2409
5.6106	7.2136
5.6045	7.1379
5.5984	7.0071
5.5924	6.8257
5.5864	6.6147
5.5804	6.4121
5.5744	6.2659
5.5684	6.2131
5.5624	6.2720
5.5564	6.4404
5.5505	6.6960
5.5445	6.9978
5.5386	7.2981
5.5327	7.5627
5.5268	7.7751
5.5209	7.9331
5.5151	8.0449
5.5092	8.1255
5.5033	8.1904
5.4975	8.2468
5.4917	8.2961
5.4859	8.3403
5.4801	8.3821
5.4743	8.4258
5.4685	8.4721
5.4628	8.5215
5.4570	8.5715
5.4513	8.6135
5.4455	8.6423
5.4398	8.6557
5.4341	8.6565
5.4284	8.6482
5.4228	8.6362
5.4171	8.6264
5.4114	8.6169
5.4058	8.6008
5.4002	8.5749
5.3945	8.5390
5.3889	8.4956
5.3833	8.4477
5.3778	8.4006
5.3722	8.3584
5.3666	8.3240
5.3611	8.3005
5.3555	8.2910
5.3500	8.2988
5.3445	8.3249
5.3390	8.3659
5.3335	8.4170
5.3280	8.4724
5.3225	8.5303
5.3171	8.5901
5.3116	8.6518
5.3062	8.7178
5.3008	8.7903
5.2954	8.8711
5.2900	8.9609
5.2846	9.0605
5.2792	9.1679
5.2738	9.2815
5.2684	9.3991
5.2631	9.5212
5.2578	9.6477
5.2524	9.7793
5.2471	9.9160
5.2418	10.0544
5.2365	10.1921
5.2312	10.3237
5.2260	10.4468
5.2207	10.5600
5.2154	10.6633
5.2102	10.7580
5.2050	10.8440
5.1998	10.9206
5.1945	10.9897
5.1893	11.0527
5.1842	11.1113
5.1790	11.1653
5.1738	11.2151
5.1686	11.2624
5.1635	11.3064
5.1584	11.3442
5.1532	11.3767
5.1481	11.4084
5.1430	11.4426
5.1379	11.4773
5.1328	11.5129
5.1277	11.5510
5.1227	11.5888
5.1176	11.6211
5.1126	11.6472
5.1075	11.6711
5.1025	11.6926
5.0975	11.7092
5.0925	11.7238
5.0875	11.7407
5.0825	11.7592
5.0775	11.7793
5.0726	11.8017
5.0676	11.8266
5.0627	11.8510
5.0577	11.8730
5.0528	11.8965
5.0479	11.9228
5.0430	11.9521
5.0380	11.9831
5.0332	12.0134
5.0283	12.0415
5.0234	12.0664
5.0185	12.0910
5.0137	12.1201
5.0088	12.1565
5.0040	12.2019
4.9992	12.2546
4.9944	12.3132
4.9896	12.3769
4.9848	12.4470
4.9800	12.5234
4.9752	12.6052
4.9704	12.6911
4.9657	12.7793
4.9609	12.8657
4.9562	12.9482
4.9514	13.0263
4.9467	13.1030
4.9420	13.1794
4.9373	13.2568
4.9326	13.3393
4.9279	13.4277
4.9232	13.5202
4.9186	13.6154
4.9139	13.7119
4.9092	13.8112
4.9046	13.9143
4.9000	14.0207
4.8953	14.1291
4.8907	14.2370
4.8861	14.3388
4.8815	14.4294
4.8769	14.5070
4.8723	14.5766
4.8678	14.6428
4.8632	14.7080
4.8586	14.7739
4.8541	14.8405
4.8495	14.9043
4.8450	14.9621
4.8405	15.0131
4.8360	15.0598
4.8315	15.1027
4.8270	15.1442
4.8225	15.1855
4.8180	15.2273
4.8135	15.2695
4.8090	15.3127
4.8046	15.3554
4.8001	15.3950
4.7957	15.4304
4.7913	15.4607
4.7868	15.4856
4.7824	15.5068
4.7780	15.5266
4.7736	15.5471
4.7692	15.5700
4.7648	15.5947
4.7605	15.6191
