Name:  Dark reddish brown fine sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P473
Owner:  JHU
Wavelength range:  All
Origin:  Nacogdoches Co., Tx. via USDA Soil Conservation service.

Description:  from upland slope incoastal plains.  Dark reddish brown 
fine sandy loam (fine mixed, thermic rhodic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P473a.txt

5.8512	2.6980
5.8446	2.8039
5.8380	2.8997
5.8314	3.0024
5.8249	3.0703
5.8184	3.1674
5.8118	3.3418
5.8053	3.4885
5.7988	3.6186
5.7923	3.7329
5.7859	3.8323
5.7794	3.9289
5.7730	3.9936
5.7666	4.0237
5.7602	4.2187
5.7538	4.4058
5.7474	4.5183
5.7410	4.6460
5.7347	4.7783
5.7283	4.9104
5.7220	5.0098
5.7157	5.0889
5.7094	5.1431
5.7031	5.2383
5.6969	5.2556
5.6906	5.2192
5.6844	5.1592
5.6782	4.9966
5.6719	4.8508
5.6657	4.7012
5.6596	4.4587
5.6534	4.2207
5.6472	3.9880
5.6411	3.7466
5.6349	3.6484
5.6288	3.5647
5.6227	3.4753
5.6166	3.4126
5.6106	3.3433
5.6045	3.2900
5.5984	3.2849
5.5924	3.2754
5.5864	3.2502
5.5804	3.2256
5.5744	3.2668
5.5684	3.3364
5.5624	3.4009
5.5564	3.4419
5.5505	3.5046
5.5445	3.5950
5.5386	3.6941
5.5327	3.7651
5.5268	3.8498
5.5209	3.9861
5.5151	4.1377
5.5092	4.2659
5.5033	4.3774
5.4975	4.5007
5.4917	4.6438
5.4859	4.7866
5.4801	4.8786
5.4743	4.9800
5.4685	5.0903
5.4628	5.1843
5.4570	5.2739
5.4513	5.2812
5.4455	5.2407
5.4398	5.1623
5.4341	5.0417
5.4284	4.8374
5.4228	4.5644
5.4171	4.3528
5.4114	4.1370
5.4058	3.8950
5.4002	3.6760
5.3945	3.4499
5.3889	3.2385
5.3833	3.0747
5.3778	2.9460
5.3722	2.8247
5.3666	2.7429
5.3611	2.6858
5.3555	2.6560
5.3500	2.6267
5.3445	2.6113
5.3390	2.6260
5.3335	2.6619
5.3280	2.6976
5.3225	2.7074
5.3171	2.7317
5.3116	2.7563
5.3062	2.7883
5.3008	2.8384
5.2954	2.8596
5.2900	2.8826
5.2846	2.9446
5.2792	3.0239
5.2738	3.1189
5.2684	3.2285
5.2631	3.3415
5.2578	3.4766
5.2524	3.6103
5.2471	3.7720
5.2418	3.9812
5.2365	4.1960
5.2312	4.4619
5.2260	4.7290
5.2207	4.9602
5.2154	5.1748
5.2102	5.3511
5.2050	5.4831
5.1998	5.5588
5.1945	5.6124
5.1893	5.6203
5.1842	5.6067
5.1790	5.5901
5.1738	5.5784
5.1686	5.5505
5.1635	5.5190
5.1584	5.4714
5.1532	5.4368
5.1481	5.3950
5.1430	5.3616
5.1379	5.3301
5.1328	5.3235
5.1277	5.3330
5.1227	5.3550
5.1176	5.3476
5.1126	5.3105
5.1075	5.3044
5.1025	5.2805
5.0975	5.1819
5.0925	5.0830
5.0875	4.9878
5.0825	4.8967
5.0775	4.8152
5.0726	4.7517
5.0676	4.7126
5.0627	4.6904
5.0577	4.6926
5.0528	4.6763
5.0479	4.6562
5.0430	4.6645
5.0380	4.6655
5.0332	4.6572
5.0283	4.6306
5.0234	4.6182
5.0185	4.6224
5.0137	4.6465
5.0088	4.6650
5.0040	4.6897
4.9992	4.7173
4.9944	4.7576
4.9896	4.8462
4.9848	4.9619
4.9800	5.0959
4.9752	5.2969
4.9704	5.5454
4.9657	5.8093
4.9609	6.0578
4.9562	6.2973
4.9514	6.5408
4.9467	6.7234
4.9420	6.8533
4.9373	7.0036
4.9326	7.1638
4.9279	7.3457
4.9232	7.5942
4.9186	7.9529
4.9139	8.3835
4.9092	8.8960
4.9046	9.5332
4.9000	10.2705
4.8953	11.0234
4.8907	11.7737
4.8861	12.5127
4.8815	13.2174
4.8769	13.8524
4.8723	14.4282
4.8678	14.9548
4.8632	15.4397
4.8586	15.8742
4.8541	16.2751
4.8495	16.6540
4.8450	16.9797
4.8405	17.3024
4.8360	17.6203
4.8315	17.8872
4.8270	18.1091
4.8225	18.3435
4.8180	18.6030
4.8135	18.8313
4.8090	19.0268
4.8046	19.2163
4.8001	19.4047
4.7957	19.6008
4.7913	19.8015
4.7868	19.9676
4.7824	20.1315
4.7780	20.2917
4.7736	20.4276
4.7692	20.5659
4.7648	20.6828
4.7605	20.8051
4.7561	20.9370
4.7517	21.0390
4.7474	21.1433
4.7431	21.2236
4.7387	21.2812
4.7344	21.3359
4.7301	21.4025
4.7258	21.4379
4.7215	21.4169
4.7172	21.3862
4.7129	21.3149
4.7086	21.1625
4.7043	20.9511
4.7000	20.6994
4.6958	20.3942
4.6915	20.0693
4.6873	19.7988
4.6831	19.6645
4.6788	19.7490
4.6746	19.9538
4.6704	20.2207
4.6662	20.5710
4.6620	20.9165
4.6578	21.2119
4.6536	21.4902
4.6495	21.7392
4.6453	21.9990
4.6411	22.2822
4.6370	22.5451
4.6328	22.8024
4.6287	23.0449
4.6246	23.2316
4.6205	23.3759
4.6163	23.5143
4.6122	23.6393
4.6081	23.7525
4.6040	23.8581
4.6000	23.9335
4.5959	24.0009
4.5918	24.0644
4.5877	24.0871
4.5837	24.1310
4.5796	24.1838
4.5756	24.1718
4.5716	24.1550
4.5675	24.1464
4.5635	24.1183
4.5595	24.0473
4.5555	23.9345
4.5515	23.8012
4.5475	23.6152
4.5435	23.4013
4.5395	23.1713
4.5356	22.9423
4.5316	22.6484
4.5276	22.3461
4.5237	22.0314
4.5197	21.6623
4.5158	21.2475
4.5119	20.8226
4.5080	20.4047
4.5040	19.9990
4.5001	19.6359
4.4962	19.3540
4.4923	19.1521
4.4884	18.9902
4.4846	18.8850
4.4807	18.8081
4.4768	18.6955
4.4730	18.5456
4.4691	18.4702
4.4652	18.4975
4.4614	18.6096
4.4576	18.8054
4.4537	19.0207
4.4499	19.2128
4.4461	19.4016
4.4423	19.5231
4.4385	19.6596
4.4347	19.8120
4.4309	19.9392
4.4271	20.0581
4.4233	20.2258
4.4196	20.3906
4.4158	20.5388
4.4120	20.7133
4.4083	20.9121
4.4045	21.1025
4.4008	21.2939
4.3971	21.5039
4.3934	21.7546
4.3896	21.9997
4.3859	22.2172
4.3822	22.4528
4.3785	22.6865
4.3748	22.8908
4.3711	23.1162
4.3674	23.3283
4.3638	23.5366
4.3601	23.7260
4.3564	23.9033
4.3528	24.0590
4.3491	24.1923
4.3455	24.2912
4.3418	24.3613
4.3382	24.4514
4.3346	24.5139
4.3310	24.5881
4.3273	24.6124
4.3237	24.5536
4.3201	24.5121
4.3165	24.5090
4.3129	24.4787
4.3094	24.3818
4.3058	24.2700
4.3022	24.2153
4.2986	24.1252
4.2951	24.0287
4.2915	23.9689
4.2880	23.9345
4.2844	23.8891
4.2809	23.8481
4.2774	23.8237
4.2738	23.8171
4.2703	23.8588
4.2668	23.9572
4.2633	24.0881
4.2598	24.2331
4.2563	24.3415
4.2528	24.3784
4.2493	24.3630
4.2458	24.3620
4.2424	24.3168
4.2389	24.2468
4.2354	24.2525
4.2320	24.2783
4.2285	24.3098
4.2251	24.3408
4.2216	24.4194
4.2182	24.5165
4.2148	24.5536
4.2113	24.5519
4.2079	24.5434
4.2045	24.5417
4.2011	24.5502
4.1977	24.5632
4.1943	24.5666
4.1909	24.6064
4.1875	24.6806
4.1841	24.7216
4.1808	24.7460
4.1774	24.7861
4.1740	24.8295
4.1707	24.8803
4.1673	24.8881
4.1640	24.8950
4.1606	24.9186
4.1573	24.9467
4.1540	24.9636
4.1506	25.0073
4.1473	25.0363
4.1440	25.0319
4.1407	25.0424
4.1374	25.0654
4.1341	25.0873
4.1308	25.0937
4.1275	25.1147
4.1242	25.1818
4.1209	25.2206
4.1177	25.2280
4.1144	25.2314
4.1111	25.2482
4.1079	25.2802
4.1046	25.3129
4.1014	25.3222
4.0981	25.3371
4.0949	25.3444
4.0917	25.3513
4.0884	25.3869
4.0852	25.4264
4.0820	25.4325
4.0788	25.4272
4.0756	25.4201
4.0724	25.4389
4.0692	25.4033
4.0660	25.3826
4.0628	25.3726
4.0596	25.3320
4.0565	25.3061
4.0533	25.3034
4.0501	25.2741
4.0470	25.2358
4.0438	25.1845
4.0406	25.1210
4.0375	25.0775
4.0344	25.0502
4.0312	25.0073
4.0281	24.9809
4.0250	24.9098
4.0218	24.8862
4.0187	24.8559
4.0156	24.8102
4.0125	24.7990
4.0094	24.7563
4.0063	24.7094
4.0032	24.7009
4.0001	24.6928
3.9970	24.6887
3.9940	24.6784
3.9909	24.6393
3.9878	24.5649
3.9847	24.5632
3.9817	24.5934
3.9786	24.5659
3.9756	24.5881
3.9725	24.5908
3.9695	24.5295
3.9665	24.5046
3.9634	24.5502
3.9604	24.5407
3.9574	24.4776
3.9544	24.4770
3.9513	24.5053
3.9483	24.5002
3.9453	24.4719
3.9423	24.4521
3.9393	24.4479
3.9363	24.4545
3.9333	24.4367
3.9304	24.3962
3.9274	24.3903
3.9244	24.3535
3.9214	24.3107
3.9185	24.2560
3.9155	24.2553
3.9126	24.2231
3.9096	24.1550
3.9067	24.0778
3.9037	23.9892
3.9008	23.9511
3.8979	23.9318
3.8949	23.8522
3.8920	23.7725
3.8891	23.7150
3.8862	23.6635
3.8833	23.6345
3.8804	23.5964
3.8775	23.5183
3.8746	23.4186
3.8717	23.3422
3.8688	23.3022
3.8659	23.2482
3.8630	23.1823
3.8601	23.1203
3.8573	23.0626
3.8544	23.0100
3.8515	22.9675
3.8487	22.9062
3.8458	22.8417
3.8430	22.8322
3.8401	22.8063
3.8373	22.7424
3.8344	22.6689
3.8316	22.6157
3.8288	22.6047
3.8259	22.5832
3.8231	22.5444
3.8203	22.4843
3.8175	22.4172
3.8147	22.3818
3.8119	22.3461
3.8091	22.2790
3.8063	22.2225
3.8035	22.1913
3.8007	22.1137
3.7979	22.0546
3.7951	22.0136
3.7924	21.9597
3.7896	21.9186
3.7868	21.8471
3.7841	21.7714
3.7813	21.7119
3.7785	21.5998
3.7758	21.5085
3.7730	21.4584
3.7703	21.3832
3.7676	21.2961
3.7648	21.2424
3.7621	21.1828
3.7594	21.1047
3.7566	21.0344
3.7539	20.9946
3.7512	20.9189
3.7485	20.8410
3.7458	20.7744
3.7431	20.7009
3.7404	20.6442
3.7377	20.6096
3.7350	20.5529
3.7323	20.4558
3.7296	20.4033
3.7269	20.3698
3.7242	20.3288
3.7216	20.2719
3.7189	20.2128
3.7162	20.1633
3.7136	20.1462
3.7109	20.1164
3.7083	20.0488
3.7056	20.0290
3.7030	20.0080
3.7003	19.9721
3.6977	19.9252
3.6950	19.8554
3.6924	19.7939
3.6898	19.7622
3.6872	19.7121
3.6845	19.6513
3.6819	19.6271
3.6793	19.5974
3.6767	19.5507
3.6741	19.5114
3.6715	19.4574
3.6689	19.4221
3.6663	19.3879
3.6637	19.3151
3.6611	19.2480
3.6585	19.1921
3.6560	19.1389
3.6534	19.0898
3.6508	19.0544
3.6482	19.0021
3.6457	18.9309
3.6431	18.8498
3.6406	18.7556
