Name:  Light yellowish brown loam
Type:  Soils
Class:  Aridisol
Subclass:  Calciorthid
Particle Size:  see additional information
Sample No.:  84P3721
Owner:  JHU
Wavelength range:  All
Origin:  1.5 km NE of Minkher Gharbi, Syria via USDA Soil Conservation 
service.
Description:  The parent material is igneous-basaltic rock.  
Physiography: level to undulating upland plains.  Light yellowish brown 
loam, (typic xerollic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  84P3721a.txt

6.6892	2.2947
6.6806	2.2932
6.672	2.2942
6.6634	2.2979
6.6549	2.3086
6.6464	2.3296
6.6378	2.3645
6.6294	2.4131
6.6209	2.471
6.6124	2.5313
6.604	2.5877
6.5956	2.6384
6.5872	2.6878
6.5789	2.7439
6.5705	2.8154
6.5622	2.9075
6.5539	3.0154
6.5456	3.1292
6.5374	3.2339
6.5292	3.3191
6.5209	3.3833
6.5128	3.4375
6.5046	3.502
6.4964	3.5979
6.4883	3.7378
6.4802	3.919
6.4721	4.1206
6.464	4.3106
6.456	4.4568
6.448	4.5386
6.4399	4.5552
6.432	4.5244
6.424	4.4771
6.416	4.4409
6.4081	4.4331
6.4002	4.4529
6.3923	4.4851
6.3844	4.5076
6.3766	4.502
6.3687	4.4612
6.3609	4.3892
6.3531	4.2986
6.3454	4.2048
6.3376	4.1184
6.3299	4.0442
6.3221	3.9807
6.3144	3.9224
6.3068	3.8648
6.2991	3.8052
6.2914	3.7434
6.2838	3.6802
6.2762	3.6172
6.2686	3.5545
6.2611	3.4912
6.2535	3.4243
6.246	3.3516
6.2385	3.2703
6.231	3.179
6.2235	3.0777
6.216	2.9688
6.2086	2.856
6.2011	2.7439
6.1937	2.6384
6.1863	2.544
6.179	2.4632
6.1716	2.396
6.1643	2.3408
6.157	2.2942
6.1496	2.2532
6.1424	2.2161
6.1351	2.1831
6.1278	2.156
6.1206	2.1362
6.1134	2.1238
6.1062	2.1155
6.099	2.1067
6.0918	2.0925
6.0847	2.0701
6.0776	2.0415
6.0704	2.0142
6.0633	1.9981
6.0563	2.0029
6.0492	2.0342
6.0421	2.0904
6.0351	2.1633
6.0281	2.2412
6.0211	2.3137
6.0141	2.3736
6.0071	2.4197
6.0002	2.4561
5.9932	2.4881
5.9863	2.521
5.9794	2.5574
5.9725	2.5989
5.9657	2.6477
5.9588	2.7078
5.952	2.7859
5.9451	2.8877
5.9383	3.0154
5.9315	3.1633
5.9247	3.3206
5.918	3.4729
5.9112	3.6104
5.9045	3.7315
5.8978	3.846
5.8911	3.97
5.8844	4.1189
5.8777	4.2993
5.8711	4.5047
5.8644	4.7166
5.8578	4.9131
5.8512	5.0774
5.8446	5.2063
5.838	5.3108
5.8314	5.4104
5.8249	5.5247
5.8184	5.6621
5.8118	5.8159
5.8053	5.9673
5.7988	6.0923
5.7923	6.1753
5.7859	6.2153
5.7794	6.2268
5.773	6.2346
5.7666	6.2632
5.7602	6.3274
5.7538	6.4268
5.7474	6.5501
5.741	6.6787
5.7347	6.798
5.7283	6.902
5.722	6.991
5.7157	7.076
5.7094	7.164
5.7031	7.261
5.6969	7.363
5.6906	7.462
5.6844	7.545
5.6782	7.602
5.6719	7.629
5.6657	7.628
5.6596	7.611
5.6534	7.591
5.6472	7.58
5.6411	7.584
5.6349	7.597
5.6288	7.602
5.6227	7.572
5.6166	7.477
5.6106	7.297
5.6045	7.022
5.5984	6.666
5.5924	6.2625
5.5864	5.8611
5.5804	5.5198
5.5744	5.2925
5.5684	5.2178
5.5624	5.3128
5.5564	5.5679
5.5505	5.9522
5.5445	6.4182
5.5386	6.915
5.5327	7.396
5.5268	7.827
5.5209	8.189
5.5151	8.477
5.5092	8.697
5.5033	8.859
5.4975	8.98
5.4917	9.076
5.4859	9.164
5.4801	9.26
5.4743	9.375
5.4685	9.514
5.4628	9.67
5.457	9.829
5.4513	9.971
5.4455	10.081
5.4398	10.151
5.4341	10.184
5.4284	10.194
5.4228	10.195
5.4171	10.199
5.4114	10.21
5.4058	10.223
5.4002	10.227
5.3945	10.211
5.3889	10.17
5.3833	10.103
5.3778	10.018
5.3722	9.926
5.3666	9.841
5.3611	9.779
5.3555	9.751
5.35	9.762
5.3445	9.812
5.339	9.895
5.3335	10
5.328	10.11
5.3225	10.216
5.3171	10.308
5.3116	10.385
5.3062	10.454
5.3008	10.521
5.2954	10.596
5.29	10.688
5.2846	10.802
5.2792	10.936
5.2738	11.09
5.2684	11.258
5.2631	11.435
5.2578	11.616
5.2524	11.793
5.2471	11.963
5.2418	12.124
5.2365	12.274
5.2312	12.412
5.226	12.541
5.2207	12.665
5.2154	12.786
5.2102	12.905
5.205	13.024
5.1998	13.138
5.1945	13.244
5.1893	13.337
5.1842	13.412
5.179	13.468
5.1738	13.505
