Name:  Brown to dark brown gravelly loam 
Type:  Soils
Class:  Alfisol
Subclass:  Haploxeralf
Particle Size:  see additional information
Sample No.:  87P313
Owner:  JHU
Wavelength range:  All
Origin:  Klickitat Co., Wa. via USDA Soil Conservation service.

Description:  Brown to dark brown gravelly loam (medial-skeletal, 
frigid ultic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P313a.txt

5.8446	3.3430
5.8380	3.3948
5.8314	3.4402
5.8249	3.4861
5.8184	3.5403
5.8118	3.6028
5.8053	3.6665
5.7988	3.7351
5.7923	3.8039
5.7859	3.8667
5.7794	3.9348
5.7730	4.0088
5.7666	4.0852
5.7602	4.1643
5.7538	4.2500
5.7474	4.3384
5.7410	4.4272
5.7347	4.5217
5.7283	4.6223
5.7220	4.7256
5.7157	4.8332
5.7094	4.9451
5.7031	5.0608
5.6969	5.1731
5.6906	5.2825
5.6844	5.3928
5.6782	5.5015
5.6719	5.6057
5.6657	5.7117
5.6596	5.8144
5.6534	5.9231
5.6472	6.0373
5.6411	6.1584
5.6349	6.2873
5.6288	6.4216
5.6227	6.5559
5.6166	6.6936
5.6106	6.8325
5.6045	6.9778
5.5984	7.1301
5.5924	7.2851
5.5864	7.4409
5.5804	7.6001
5.5744	7.7612
5.5684	7.9250
5.5624	8.0920
5.5564	8.2639
5.5505	8.4345
5.5445	8.6035
5.5386	8.7729
5.5327	8.9348
5.5268	9.0903
5.5209	9.2419
5.5151	9.3850
5.5092	9.5176
5.5033	9.6404
5.4975	9.7571
5.4917	9.8691
5.4859	9.9685
5.4801	10.0591
5.4743	10.1462
5.4685	10.2292
5.4628	10.3073
5.4570	10.3803
5.4513	10.4507
5.4455	10.5114
5.4398	10.5561
5.4341	10.5891
5.4284	10.6179
5.4228	10.6438
5.4171	10.6679
5.4114	10.6850
5.4058	10.6963
5.4002	10.6946
5.3945	10.6723
5.3889	10.6465
5.3833	10.6233
5.3778	10.6040
5.3722	10.5884
5.3666	10.5749
5.3611	10.5710
5.3555	10.5739
5.3500	10.5749
5.3445	10.5840
5.3390	10.6045
5.3335	10.6345
5.3280	10.6692
5.3225	10.7104
5.3171	10.7636
5.3116	10.8186
5.3062	10.8657
5.3008	10.9160
5.2954	10.9719
5.2900	11.0278
5.2846	11.0837
5.2792	11.1504
5.2738	11.2212
5.2684	11.2876
5.2631	11.3571
5.2578	11.4345
5.2524	11.5168
5.2471	11.5959
5.2418	11.6777
5.2365	11.7663
5.2312	11.8476
5.2260	11.9182
5.2207	11.9824
5.2154	12.0381
5.2102	12.0893
5.2050	12.1328
5.1998	12.1784
5.1945	12.2268
5.1893	12.2695
5.1842	12.3044
5.1790	12.3381
5.1738	12.3684
5.1686	12.3901
5.1635	12.3991
5.1584	12.4113
5.1532	12.4240
5.1481	12.4353
5.1430	12.4463
5.1379	12.4658
5.1328	12.4875
5.1277	12.5063
5.1227	12.5261
