Name:  Brown sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P2410
Owner:  JHU
Wavelength range:  All
Origin:  Llano Co., Tx. via USDA Soil Conservation service.

Description:  The parent material is granitic rock from level or 
undulating plains.  Brown sandy loam (fine, mixed, thermic udic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P2410a.txt

5.8446	3.2832
5.8380	3.3369
5.8314	3.3472
5.8249	3.3721
5.8184	3.4646
5.8118	3.5857
5.8053	3.6687
5.7988	3.7190
5.7923	3.8157
5.7859	3.8701
5.7794	3.9280
5.7730	3.9392
5.7666	3.9077
5.7602	4.0327
5.7538	4.1572
5.7474	4.1941
5.7410	4.2585
5.7347	4.3218
5.7283	4.3830
5.7220	4.4455
5.7157	4.4700
5.7094	4.4993
5.7031	4.5896
5.6969	4.6130
5.6906	4.5859
5.6844	4.5964
5.6782	4.5764
5.6719	4.5745
5.6657	4.5657
5.6596	4.4822
5.6534	4.4072
5.6472	4.3159
5.6411	4.2351
5.6349	4.2612
5.6288	4.2805
5.6227	4.2444
5.6166	4.2143
5.6106	4.2029
5.6045	4.1992
5.5984	4.2051
5.5924	4.2165
5.5864	4.2100
5.5804	4.2073
5.5744	4.2405
5.5684	4.2917
5.5624	4.3254
5.5564	4.3652
5.5505	4.3857
5.5445	4.4407
5.5386	4.5200
5.5327	4.5859
5.5268	4.6641
5.5209	4.7497
5.5151	4.8252
5.5092	4.8953
5.5033	4.9526
5.4975	5.0420
5.4917	5.1435
5.4859	5.2014
5.4801	5.2598
5.4743	5.3376
5.4685	5.3660
5.4628	5.3884
5.4570	5.4678
5.4513	5.5129
5.4455	5.5083
5.4398	5.4985
5.4341	5.4858
5.4284	5.4094
5.4228	5.2827
5.4171	5.2273
5.4114	5.1670
5.4058	5.0517
5.4002	4.9512
5.3945	4.8318
5.3889	4.6933
5.3833	4.5798
5.3778	4.4978
5.3722	4.4267
5.3666	4.3608
5.3611	4.2969
5.3555	4.2605
5.3500	4.2234
5.3445	4.2576
5.3390	4.3008
5.3335	4.3235
5.3280	4.3367
5.3225	4.3542
5.3171	4.4162
5.3116	4.4774
5.3062	4.4863
5.3008	4.5210
5.2954	4.5976
5.2900	4.6477
5.2846	4.7217
5.2792	4.8205
5.2738	4.9197
5.2684	5.0029
5.2631	5.1042
5.2578	5.2244
5.2524	5.3457
5.2471	5.4819
5.2418	5.6357
5.2365	5.7861
5.2312	5.9680
5.2260	6.1199
5.2207	6.2739
5.2154	6.3945
5.2102	6.5124
5.2050	6.6218
5.1998	6.7014
5.1945	6.7812
5.1893	6.8303
5.1842	6.8464
5.1790	6.8689
5.1738	6.9050
5.1686	6.9463
5.1635	6.9756
5.1584	6.9931
5.1532	7.0083
5.1481	7.0027
5.1430	7.0129
5.1379	7.0581
5.1328	7.0808
5.1277	7.1125
5.1227	7.1760
5.1176	7.2007
5.1126	7.2025
5.1075	7.2451
5.1025	7.2761
5.0975	7.2717
5.0925	7.2595
5.0875	7.2392
5.0825	7.2156
5.0775	7.1982
5.0726	7.1899
5.0676	7.1792
5.0627	7.1623
5.0577	7.1787
5.0528	7.2004
5.0479	7.2080
5.0430	7.2138
5.0380	7.2490
5.0332	7.2781
5.0283	7.2710
5.0234	7.2688
5.0185	7.2973
5.0137	7.3254
5.0088	7.3533
5.0040	7.4011
4.9992	7.4521
4.9944	7.5217
4.9896	7.5989
4.9848	7.6892
4.9800	7.8159
4.9752	7.9590
4.9704	8.1321
4.9657	8.3074
4.9609	8.4614
4.9562	8.5952
4.9514	8.7370
4.9467	8.8371
4.9420	8.9287
4.9373	8.9961
4.9326	9.0595
4.9279	9.1792
4.9232	9.3254
4.9186	9.5198
4.9139	9.7295
4.9092	9.9625
4.9046	10.2729
4.9000	10.6230
4.8953	10.9824
4.8907	11.3427
4.8861	11.6987
4.8815	12.0322
4.8769	12.3342
4.8723	12.6296
4.8678	12.9106
4.8632	13.1501
4.8586	13.3752
4.8541	13.6052
4.8495	13.8408
4.8450	14.0327
4.8405	14.1738
4.8360	14.3318
4.8315	14.4882
4.8270	14.6152
4.8225	14.7280
4.8180	14.8315
4.8135	14.9653
4.8090	15.0598
4.8046	15.1303
4.8001	15.2074
4.7957	15.3051
4.7913	15.4045
4.7868	15.5087
4.7824	15.5803
4.7780	15.6359
4.7736	15.7375
4.7692	15.8383
4.7648	15.9160
4.7605	16.0295
4.7561	16.1294
4.7517	16.1972
4.7474	16.2805
4.7431	16.3691
4.7387	16.4223
4.7344	16.4753
4.7301	16.5131
4.7258	16.5229
4.7215	16.5141
4.7172	16.4968
4.7129	16.4448
4.7086	16.3662
4.7043	16.2878
4.7000	16.1811
4.6958	16.0266
4.6915	15.9003
4.6873	15.8129
4.6831	15.7695
4.6788	15.7956
4.6746	15.9284
4.6704	16.0875
4.6662	16.2529
4.6620	16.4528
4.6578	16.6294
4.6536	16.8010
4.6495	16.9843
4.6453	17.1518
4.6411	17.3498
4.6370	17.5417
4.6328	17.7175
4.6287	17.8775
4.6246	18.0356
4.6205	18.1965
4.6163	18.3112
4.6122	18.4184
4.6081	18.5256
4.6040	18.6220
4.6000	18.7290
4.5959	18.8122
4.5918	18.8745
4.5877	18.9309
4.5837	19.0356
4.5796	19.1235
4.5756	19.1518
4.5716	19.2143
4.5675	19.2636
4.5635	19.2858
4.5595	19.2995
4.5555	19.2922
4.5515	19.2900
4.5475	19.2492
4.5435	19.1818
4.5395	19.1154
4.5356	19.0141
4.5316	18.9223
4.5276	18.8193
4.5237	18.6457
4.5197	18.4741
4.5158	18.3313
4.5119	18.1538
4.5080	17.9318
4.5040	17.7700
4.5001	17.6289
4.4962	17.4975
4.4923	17.4135
4.4884	17.3852
4.4846	17.3671
4.4807	17.3461
