Name:  Reddish brown fine sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P2376
Owner:  JHU
Wavelength range:  All
Origin:  Howard Co. Tx. via USDA Soil Conservation service.

Description:  The parent  material is eolian from level or undulating 
plains.  Reddish brown fine sandy loam (fine-loamy, mixed thermic aridic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P2376a.txt

5.8578	1.4436
5.8512	1.4900
5.8446	1.5271
5.8380	1.5569
5.8314	1.5837
5.8249	1.6130
5.8184	1.6536
5.8118	1.7080
5.8053	1.7659
5.7988	1.8179
5.7923	1.8601
5.7859	1.8909
5.7794	1.9123
5.7730	1.9297
5.7666	1.9556
5.7602	1.9976
5.7538	2.0500
5.7474	2.1023
5.7410	2.1497
5.7347	2.1875
5.7283	2.2104
5.7220	2.2214
5.7157	2.2288
5.7094	2.2378
5.7031	2.2451
5.6969	2.2434
5.6906	2.2295
5.6844	2.1992
5.6782	2.1477
5.6719	2.0801
5.6657	2.0029
5.6596	1.9226
5.6534	1.8459
5.6472	1.7803
5.6411	1.7307
5.6349	1.6977
5.6288	1.6765
5.6227	1.6663
5.6166	1.6621
5.6106	1.6562
5.6045	1.6467
5.5984	1.6350
5.5924	1.6245
5.5864	1.6150
5.5804	1.6082
5.5744	1.6091
5.5684	1.6167
5.5624	1.6287
5.5564	1.6436
5.5505	1.6623
5.5445	1.6841
5.5386	1.7068
5.5327	1.7300
5.5268	1.7554
5.5209	1.7815
5.5151	1.8076
5.5092	1.8367
5.5033	1.8691
5.4975	1.9033
5.4917	1.9375
5.4859	1.9702
5.4801	2.0010
5.4743	2.0278
5.4685	2.0503
5.4628	2.0720
5.4570	2.0920
5.4513	2.1033
5.4455	2.1018
5.4398	2.0859
5.4341	2.0544
5.4284	2.0083
5.4228	1.9541
5.4171	1.9019
5.4114	1.8533
5.4058	1.8071
5.4002	1.7642
5.3945	1.7236
5.3889	1.6860
5.3833	1.6523
5.3778	1.6257
5.3722	1.6062
5.3666	1.5920
5.3611	1.5818
5.3555	1.5740
5.3500	1.5684
5.3445	1.5671
5.3390	1.5698
5.3335	1.5759
5.3280	1.5840
5.3225	1.5923
5.3171	1.6011
5.3116	1.6103
5.3062	1.6226
5.3008	1.6384
5.2954	1.6562
5.2900	1.6748
5.2846	1.6936
5.2792	1.7104
5.2738	1.7263
5.2684	1.7444
5.2631	1.7668
5.2578	1.7949
5.2524	1.8306
5.2471	1.8745
5.2418	1.9248
5.2365	1.9785
5.2312	2.0347
5.2260	2.0925
5.2207	2.1484
5.2154	2.2004
5.2102	2.2488
5.2050	2.2908
5.1998	2.3223
5.1945	2.3423
5.1893	2.3523
5.1842	2.3547
5.1790	2.3525
5.1738	2.3477
5.1686	2.3435
5.1635	2.3415
5.1584	2.3406
5.1532	2.3401
5.1481	2.3401
5.1430	2.3406
5.1379	2.3408
5.1328	2.3401
5.1277	2.3398
5.1227	2.3425
5.1176	2.3464
5.1126	2.3498
5.1075	2.3503
5.1025	2.3462
5.0975	2.3367
5.0925	2.3213
5.0875	2.3030
5.0825	2.2837
5.0775	2.2649
5.0726	2.2488
5.0676	2.2356
5.0627	2.2273
5.0577	2.2253
5.0528	2.2273
5.0479	2.2322
5.0430	2.2378
5.0380	2.2407
5.0332	2.2402
5.0283	2.2373
5.0234	2.2351
5.0185	2.2353
5.0137	2.2380
5.0088	2.2441
5.0040	2.2519
4.9992	2.2588
4.9944	2.2666
4.9896	2.2820
4.9848	2.3086
4.9800	2.3508
4.9752	2.4092
4.9704	2.4814
4.9657	2.5618
4.9609	2.6428
4.9562	2.7192
4.9514	2.7895
4.9467	2.8511
4.9420	2.9067
4.9373	2.9622
4.9326	3.0237
4.9279	3.0984
4.9232	3.1938
4.9186	3.3176
4.9139	3.4792
4.9092	3.6853
4.9046	3.9414
4.9000	4.2480
4.8953	4.5998
4.8907	4.9844
4.8861	5.3869
4.8815	5.7910
4.8769	6.1846
4.8723	6.5610
4.8678	6.9180
4.8632	7.2568
4.8586	7.5781
4.8541	7.8843
4.8495	8.1770
4.8450	8.4541
4.8405	8.7143
4.8360	8.9597
4.8315	9.1921
4.8270	9.4145
4.8225	9.6260
4.8180	9.8286
4.8135	10.0259
4.8090	10.2175
4.8046	10.4023
4.8001	10.5815
4.7957	10.7583
4.7913	10.9326
4.7868	11.1010
4.7824	11.2619
4.7780	11.4162
4.7736	11.5632
4.7692	11.7036
4.7648	11.8401
4.7605	11.9726
4.7561	12.0998
4.7517	12.2187
4.7474	12.3249
4.7431	12.4177
4.7387	12.4961
4.7344	12.5593
4.7301	12.6047
4.7258	12.6257
4.7215	12.6150
4.7172	12.5625
4.7129	12.4570
4.7086	12.2905
4.7043	12.0605
4.7000	11.7783
4.6958	11.4719
4.6915	11.1858
4.6873	10.9702
4.6831	10.8669
4.6788	10.8972
4.6746	11.0551
4.6704	11.3125
4.6662	11.6296
4.6620	11.9709
4.6578	12.3122
4.6536	12.6438
4.6495	12.9675
4.6453	13.2885
4.6411	13.6054
4.6370	13.9143
4.6328	14.2087
4.6287	14.4782
4.6246	14.7160
4.6205	14.9221
4.6163	15.1013
4.6122	15.2573
4.6081	15.3942
4.6040	15.5151
4.6000	15.6230
4.5959	15.7180
4.5918	15.7973
4.5877	15.8613
4.5837	15.9084
4.5796	15.9362
4.5756	15.9441
4.5716	15.9287
4.5675	15.8908
4.5635	15.8278
4.5595	15.7324
4.5555	15.5983
4.5515	15.4228
4.5475	15.2046
4.5435	14.9472
4.5395	14.6584
4.5356	14.3469
4.5316	14.0141
4.5276	13.6557
4.5237	13.2675
4.5197	12.8498
4.5158	12.4084
4.5119	11.9599
4.5080	11.5290
4.5040	11.1411
4.5001	10.8120
4.4962	10.5490
4.4923	10.3474
4.4884	10.1950
4.4846	10.0749
4.4807	9.9724
4.4768	9.8847
4.4730	9.8213
4.4691	9.7959
4.4652	9.8220
4.4614	9.9082
4.4576	10.0495
4.4537	10.2260
4.4499	10.4121
4.4461	10.5920
4.4423	10.7571
4.4385	10.9070
4.4347	11.0488
4.4309	11.1916
4.4271	11.3425
4.4233	11.5049
4.4196	11.6789
4.4158	11.8667
4.4120	12.0686
4.4083	12.2827
4.4045	12.5117
4.4008	12.7575
4.3971	13.0212
4.3934	13.3003
4.3896	13.5905
4.3859	13.8913
4.3822	14.1989
4.3785	14.5090
4.3748	14.8220
4.3711	15.1377
4.3674	15.4492
4.3638	15.7470
4.3601	16.0251
4.3564	16.2812
4.3528	16.5146
4.3491	16.7253
4.3455	16.9155
4.3418	17.0878
4.3382	17.2392
4.3346	17.3664
4.3310	17.4658
4.3273	17.5378
4.3237	17.5803
4.3201	17.5937
4.3165	17.5808
4.3129	17.5466
4.3094	17.4968
4.3058	17.4362
4.3022	17.3750
4.2986	17.3232
4.2951	17.2895
4.2915	17.2778
4.2880	17.2890
4.2844	17.3217
4.2809	17.3708
4.2774	17.4370
4.2738	17.5266
4.2703	17.6464
4.2668	17.8002
4.2633	17.9768
4.2598	18.1555
4.2563	18.3105
4.2528	18.4194
4.2493	18.4758
4.2458	18.4853
4.2424	18.4677
4.2389	18.4499
4.2354	18.4528
4.2320	18.4853
4.2285	18.5459
4.2251	18.6281
4.2216	18.7214
4.2182	18.8115
4.2148	18.8906
4.2113	18.9558
4.2079	19.0073
4.2045	19.0485
4.2011	19.0852
4.1977	19.1279
4.1943	19.1884
4.1909	19.2734
4.1875	19.3806
4.1841	19.5043
4.1808	19.6386
4.1774	19.7746
4.1740	19.9035
4.1707	20.0241
4.1673	20.1413
4.1640	20.2565
4.1606	20.3688
4.1573	20.4787
4.1540	20.5883
4.1506	20.6950
4.1473	20.7932
4.1440	20.8884
4.1407	20.9868
4.1374	21.0893
4.1341	21.1992
4.1308	21.3220
4.1275	21.4570
4.1242	21.5959
4.1209	21.7355
4.1177	21.8747
4.1144	22.0109
4.1111	22.1423
4.1079	22.2758
4.1046	22.4179
4.1014	22.5676
4.0981	22.7180
4.0949	22.8640
4.0917	23.0024
4.0884	23.1271
4.0852	23.2380
4.0820	23.3408
4.0788	23.4374
4.0756	23.5256
4.0724	23.5998
4.0692	23.6608
4.0660	23.7155
4.0628	23.7634
4.0596	23.8037
4.0565	23.8369
4.0533	23.8598
4.0501	23.8688
4.0470	23.8632
4.0438	23.8510
4.0406	23.8412
4.0375	23.8337
4.0344	23.8295
4.0312	23.8293
4.0281	23.8310
4.0250	23.8354
4.0218	23.8388
4.0187	23.8412
4.0156	23.8439
4.0125	23.8449
4.0094	23.8459
4.0063	23.8498
4.0032	23.8618
4.0001	23.8867
3.9970	23.9203
3.9940	23.9609
3.9909	24.0085
3.9878	24.0612
3.9847	24.1157
3.9817	24.1708
3.9786	24.2316
3.9756	24.2997
3.9725	24.3725
3.9695	24.4489
3.9665	24.5297
3.9634	24.6137
3.9604	24.6962
3.9574	24.7751
3.9544	24.8520
3.9513	24.9230
3.9483	24.9872
3.9453	25.0466
3.9423	25.1037
3.9393	25.1577
3.9363	25.2087
3.9333	25.2543
3.9304	25.2917
3.9274	25.3168
3.9244	25.3315
3.9214	25.3368
3.9185	25.3329
3.9155	25.3156
3.9126	25.2866
3.9096	25.2451
3.9067	25.1940
3.9037	25.1381
3.9008	25.0815
3.8979	25.0236
3.8949	24.9633
3.8920	24.8957
3.8891	24.8198
3.8862	24.7360
3.8833	24.6503
3.8804	24.5651
3.8775	24.4807
3.8746	24.3981
3.8717	24.3188
3.8688	24.2431
3.8659	24.1725
3.8630	24.1105
3.8601	24.0612
3.8573	24.0241
3.8544	23.9963
3.8515	23.9728
3.8487	23.9501
3.8458	23.9255
3.8430	23.8984
3.8401	23.8679
3.8373	23.8378
3.8344	23.8144
3.8316	23.8017
3.8288	23.8005
3.8259	23.8093
3.8231	23.8222
3.8203	23.8332
3.8175	23.8332
3.8147	23.8193
3.8119	23.7936
3.8091	23.7587
3.8063	23.7165
3.8035	23.6694
3.8007	23.6186
3.7979	23.5661
3.7951	23.5109
3.7924	23.4526
3.7896	23.3886
3.7868	23.3168
3.7841	23.2368
3.7813	23.1501
3.7785	23.0583
3.7758	22.9606
3.7730	22.8579
3.7703	22.7507
3.7676	22.6401
3.7648	22.5305
3.7621	22.4269
3.7594	22.3332
3.7566	22.2468
3.7539	22.1662
3.7512	22.0903
3.7485	22.0195
3.7458	21.9514
3.7431	21.8840
3.7404	21.8176
3.7377	21.7551
3.7350	21.6979
3.7323	21.6491
3.7296	21.6113
3.7269	21.5861
3.7242	21.5695
3.7216	21.5551
3.7189	21.5414
3.7162	21.5317
3.7136	21.5268
3.7109	21.5270
3.7083	21.5317
3.7056	21.5419
3.7030	21.5529
3.7003	21.5600
3.6977	21.5622
3.6950	21.5598
3.6924	21.5546
3.6898	21.5495
3.6872	21.5451
3.6845	21.5414
3.6819	21.5344
3.6793	21.5241
3.6767	21.5087
3.6741	21.4870
3.6715	21.4631
3.6689	21.4411
3.6663	21.4182
3.6637	21.3901
3.6611	21.3566
3.6585	21.3171
3.6560	21.2653
3.6534	21.1994
3.6508	21.1262
3.6482	21.0505
3.6457	20.9731
3.6431	20.8998
3.6406	20.8361
3.6380	20.7768
3.6355	20.7126
3.6329	20.6401
3.6304	20.5571
3.6278	20.4665
3.6253	20.3725
3.6227	20.2817
3.6202	20.1984
3.6177	20.1232
3.6152	20.0510
3.6127	19.9777
3.6101	19.8981
3.6076	19.8159
3.6051	19.7304
3.6026	19.6411
3.6001	19.5517
3.5976	19.4689
3.5951	19.3903
3.5926	19.3110
3.5901	19.2309
3.5876	19.1535
3.5852	19.0744
3.5827	18.9890
3.5802	18.8996
3.5777	18.8090
3.5753	18.7160
3.5728	18.6198
3.5704	18.5253
3.5679	18.4397
3.5654	18.3620
3.5630	18.2890
3.5605	18.2158
3.5581	18.1364
3.5557	18.0478
3.5532	17.9484
3.5508	17.8415
3.5484	17.7343
3.5459	17.6308
3.5435	17.5324
3.5411	17.4370
3.5387	17.3418
3.5363	17.2448
3.5338	17.1455
3.5314	17.0398
3.5290	16.9245
3.5266	16.7993
3.5242	16.6638
3.5218	16.5180
3.5195	16.3625
3.5171	16.1987
3.5147	16.0283
3.5123	15.8498
3.5099	15.6662
3.5075	15.4912
3.5052	15.3379
3.5028	15.2175
3.5004	15.1362
3.4981	15.0915
3.4957	15.0720
3.4934	15.0578
3.4910	15.0310
3.4887	14.9824
3.4863	14.9148
3.4840	14.8349
3.4816	14.7500
3.4793	14.6655
3.4770	14.5864
3.4746	14.5112
3.4723	14.4323
3.4700	14.3493
3.4677	14.2695
3.4653	14.1938
3.4630	14.1167
3.4607	14.0324
3.4584	13.9431
3.4561	13.8454
3.4538	13.7360
3.4515	13.6211
3.4492	13.5066
3.4469	13.3938
3.4446	13.2812
3.4423	13.1694
3.4400	13.0581
3.4378	12.9409
3.4355	12.8093
3.4332	12.6611
3.4309	12.4939
3.4287	12.3127
3.4264	12.1311
3.4241	11.9643
3.4219	11.8215
3.4196	11.7050
3.4174	11.6113
3.4151	11.5320
3.4129	11.4614
3.4106	11.4023
3.4084	11.3596
3.4061	11.3340
3.4039	11.3217
3.4017	11.3164
3.3994	11.3061
