Name:  Very dark grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  87P4453
Owner:  JHU
Wavelength range:  All
Origin:  Wayne Co., Utah, via USDA Soil Conservation service.

Description:  Very dark grayish brown loam, (loamy-skeletal, mixed, typic).  
Physiography: plateaus or tablelands.




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P4453a.txt

7.8667	1.7012
7.8548	1.6772
7.8429	1.6609
7.8310	1.6536
7.8192	1.6479
7.8075	1.6443
7.7957	1.6455
7.7840	1.6494
7.7723	1.6558
7.7607	1.6587
7.7491	1.6558
7.7375	1.6506
7.7260	1.6489
7.7145	1.6460
7.7031	1.6440
7.6916	1.6523
7.6802	1.6628
7.6689	1.6636
7.6575	1.6572
7.6462	1.6431
7.6350	1.6282
7.6238	1.6177
7.6126	1.6094
7.6014	1.6096
7.5903	1.6150
7.5792	1.6199
7.5681	1.6260
7.5571	1.6218
7.5461	1.6167
7.5351	1.6150
7.5242	1.6089
7.5133	1.6016
7.5024	1.5984
7.4916	1.5967
7.4807	1.5972
7.4700	1.5967
7.4592	1.5935
7.4485	1.5933
7.4378	1.5998
7.4272	1.6028
7.4165	1.6116
7.4059	1.6255
7.3954	1.6345
7.3848	1.6367
7.3743	1.6299
7.3639	1.6213
7.3534	1.6165
7.3430	1.6030
7.3326	1.5986
7.3223	1.6013
7.3119	1.6047
7.3016	1.6064
7.2914	1.6055
7.2811	1.6025
7.2709	1.5994
7.2607	1.5925
7.2506	1.5940
7.2404	1.5896
7.2303	1.5874
7.2203	1.5920
7.2102	1.6016
7.2002	1.6118
7.1902	1.6223
7.1803	1.6362
7.1703	1.6504
7.1604	1.6528
7.1506	1.6536
7.1407	1.6553
7.1309	1.6592
7.1211	1.6553
7.1113	1.6465
7.1016	1.6401
7.0919	1.6414
7.0822	1.6445
7.0725	1.6467
7.0629	1.6477
7.0533	1.6499
7.0437	1.6492
7.0341	1.6543
7.0246	1.6631
7.0151	1.6792
7.0056	1.6975
6.9962	1.7078
6.9867	1.7087
6.9773	1.7129
6.9679	1.7222
6.9586	1.7436
6.9493	1.7688
6.9400	1.7961
6.9307	1.8271
6.9214	1.8486
6.9122	1.8606
6.9030	1.8716
6.8938	1.8748
6.8847	1.8791
6.8755	1.8926
6.8664	1.9131
6.8573	1.9387
6.8483	1.9705
6.8393	2.0088
6.8302	2.0454
6.8213	2.0737
6.8123	2.1018
6.8034	2.1404
6.7944	2.1870
6.7855	2.2383
6.7767	2.2971
6.7678	2.3557
6.7590	2.4065
6.7502	2.4468
6.7414	2.4736
6.7327	2.4893
6.7239	2.5037
6.7152	2.5156
6.7065	2.5183
6.6979	2.5144
6.6892	2.5088
6.6806	2.5100
6.6720	2.5107
6.6634	2.4910
6.6549	2.4592
6.6464	2.4319
6.6378	2.4018
6.6294	2.3721
6.6209	2.3486
6.6124	2.3403
6.6040	2.3315
6.5956	2.3018
6.5872	2.2664
6.5789	2.2410
6.5705	2.2222
6.5622	2.2078
6.5539	2.2021
6.5456	2.2031
6.5374	2.2046
6.5292	2.1985
6.5209	2.1789
6.5128	2.1489
6.5046	2.1228
6.4964	2.1033
6.4883	2.0942
6.4802	2.0974
6.4721	2.1094
6.4640	2.1133
6.4560	2.1091
6.4480	2.1064
6.4399	2.0959
6.4320	2.0774
6.4240	2.0618
6.4160	2.0547
6.4081	2.0518
6.4002	2.0393
6.3923	2.0300
6.3844	2.0354
6.3766	2.0320
6.3687	2.0168
6.3609	2.0024
6.3531	1.9932
6.3454	1.9822
6.3376	1.9631
6.3299	1.9419
6.3221	1.9287
6.3144	1.9175
6.3068	1.9021
6.2991	1.8835
6.2914	1.8628
6.2838	1.8437
6.2762	1.8230
6.2686	1.7974
6.2611	1.7766
6.2535	1.7664
6.2460	1.7573
6.2385	1.7380
6.2310	1.7173
6.2235	1.7029
6.2160	1.6841
6.2086	1.6611
6.2011	1.6399
6.1937	1.6265
6.1863	1.6143
6.1790	1.5996
6.1716	1.5906
6.1643	1.5886
6.1570	1.5894
6.1496	1.5859
6.1424	1.5747
6.1351	1.5608
6.1278	1.5459
6.1206	1.5383
6.1134	1.5344
6.1062	1.5349
6.0990	1.5403
6.0918	1.5435
6.0847	1.5430
6.0776	1.5386
6.0704	1.5205
6.0633	1.5068
6.0563	1.5051
6.0492	1.5129
6.0421	1.5293
6.0351	1.5476
6.0281	1.5693
6.0211	1.5913
6.0141	1.5964
6.0071	1.6011
6.0002	1.6182
5.9932	1.6423
5.9863	1.6689
5.9794	1.6926
5.9725	1.7190
5.9657	1.7532
5.9588	1.7786
5.9520	1.7988
5.9451	1.8259
5.9383	1.8606
5.9315	1.9048
5.9247	1.9595
5.9180	2.0117
5.9112	2.0684
5.9045	2.1191
5.8978	2.1619
5.8911	2.2107
5.8844	2.2673
5.8777	2.3364
5.8711	2.4170
5.8644	2.4905
5.8578	2.5632
5.8512	2.6294
5.8446	2.6763
5.8380	2.7170
5.8314	2.7622
5.8249	2.8137
5.8184	2.8787
5.8118	2.9531
5.8053	3.0300
5.7988	3.1030
5.7923	3.1658
5.7859	3.2129
5.7794	3.2595
5.7730	3.3147
5.7666	3.3791
5.7602	3.4536
5.7538	3.5371
5.7474	3.6311
5.7410	3.7312
5.7347	3.8201
5.7283	3.9084
5.7220	4.0066
