Name:  Dark brown fine sandy loam 
Type:  Soils
Class:  Inceptisol
Subclass:  Haplumbrept
Particle Size:  see additional information
Sample No.:  86P4561
Owner:  JHU
Wavelength range:  All
Origin:  Haywood Co. NC. via USDA Soil Conservation service.

Description:  Dark brown fine sandy loam (sandy-skeletal, mixed, 
mesic Fluventic haplumbrept).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P4561a.txt

10.3270	3.4138
10.3065	3.4492
10.2860	3.4829
10.2657	3.5173
10.2454	3.5508
10.2252	3.5830
10.2050	3.6111
10.1850	3.6394
10.1650	3.6704
10.1451	3.6982
10.1253	3.7204
10.1056	3.7429
10.0859	3.7656
10.0663	3.7805
10.0468	3.7871
10.0274	3.8083
10.0080	3.8533
9.9887	3.9082
9.9695	3.9704
9.9504	4.0444
9.9313	4.1152
9.9123	4.1660
9.8934	4.1990
9.8746	4.2212
9.8558	4.2353
9.8371	4.2456
9.8185	4.2554
9.7999	4.2729
9.7814	4.3003
9.7630	4.3420
9.7447	4.3962
9.7264	4.4519
9.7082	4.5034
9.6900	4.5493
9.6719	4.5867
9.6539	4.6101
9.6360	4.6191
9.6181	4.6099
9.6003	4.5766
9.5825	4.5334
9.5649	4.4888
9.5472	4.4463
9.5297	4.4141
9.5122	4.3911
9.4948	4.3743
9.4774	4.3662
9.4601	4.3706
9.4429	4.4111
9.4257	4.4885
9.4086	4.5962
9.3916	4.7273
9.3746	4.8716
9.3577	5.0068
9.3408	5.1250
9.3240	5.2156
9.3073	5.2822
9.2906	5.3252
9.2740	5.3442
9.2574	5.3435
9.2409	5.3381
9.2245	5.3276
9.2081	5.3135
9.1918	5.2969
9.1755	5.2834
9.1593	5.2690
9.1431	5.2432
9.1270	5.2090
9.1110	5.1772
9.0950	5.1438
9.0791	5.1218
9.0632	5.1025
9.0474	5.0759
9.0316	5.0447
9.0159	5.0127
9.0003	4.9834
8.9847	4.9568
8.9691	4.9365
8.9536	4.9326
8.9382	4.9372
8.9228	4.9441
8.9075	4.9578
8.8922	4.9746
8.8770	4.9866
8.8618	4.9905
8.8467	4.9849
8.8316	4.9663
8.8166	4.9451
8.8016	4.9202
8.7867	4.8882
8.7718	4.8479
8.7570	4.7998
8.7423	4.7561
8.7275	4.7129
8.7129	4.6496
8.6982	4.5515
8.6837	4.4048
8.6692	4.2226
8.6547	4.0425
8.6403	3.9084
8.6259	3.8691
8.6116	3.9451
8.5973	4.1072
8.5830	4.3057
8.5688	4.4929
8.5547	4.6472
8.5406	4.7558
8.5266	4.8227
8.5126	4.8635
8.4986	4.8972
8.4847	4.9302
8.4708	4.9617
8.4570	4.9878
8.4432	5.0163
8.4295	5.0454
8.4158	5.0720
8.4022	5.0896
8.3886	5.1064
8.3750	5.1308
8.3615	5.1460
8.3481	5.1467
8.3347	5.1450
8.3213	5.1453
8.3079	5.1382
8.2946	5.1213
8.2814	5.0976
8.2682	5.0710
8.2550	5.0300
8.2419	4.9741
8.2288	4.9092
8.2158	4.8379
8.2028	4.7541
8.1898	4.6594
8.1769	4.5478
8.1640	4.4211
8.1512	4.2783
8.1384	4.1194
8.1256	3.9556
8.1129	3.7917
8.1002	3.6306
8.0876	3.4773
8.0750	3.3320
8.0624	3.1970
8.0499	3.0727
8.0374	2.9592
8.0250	2.8520
8.0126	2.7512
8.0002	2.6597
7.9879	2.5762
7.9756	2.5017
7.9634	2.4338
7.9512	2.3684
7.9390	2.3054
7.9268	2.2427
7.9147	2.1858
7.9027	2.1338
7.8906	2.0842
7.8786	2.0391
7.8667	1.9990
7.8548	1.9614
7.8429	1.9343
7.8310	1.9185
7.8192	1.9111
7.8075	1.9043
7.7957	1.8989
7.7840	1.8926
7.7723	1.8840
7.7607	1.8711
7.7491	1.8665
7.7375	1.8652
7.7260	1.8574
7.7145	1.8435
7.7031	1.8306
7.6916	1.8123
7.6802	1.7873
7.6689	1.7676
7.6575	1.7605
7.6462	1.7576
7.6350	1.7515
7.6238	1.7446
7.6126	1.7415
7.6014	1.7344
7.5903	1.7229
7.5792	1.7136
7.5681	1.7053
7.5571	1.6960
7.5461	1.6880
7.5351	1.6824
7.5242	1.6821
7.5133	1.6765
7.5024	1.6714
7.4916	1.6689
7.4807	1.6655
7.4700	1.6621
7.4592	1.6609
7.4485	1.6597
7.4378	1.6597
7.4272	1.6577
7.4165	1.6609
7.4059	1.6643
7.3954	1.6633
