Name:  Dark brown interior moist clay loam
Type:  Soils
Class:  Aridisol
Subclass:  Salorthid
Particle Size:  see additional information
Sample No.:  79P1530
Owner:  JHU
Wavelength range:  All
Origin:  Mrayia Dair El zor, Syria via USDA Soil Conservation service.

Description:  The parent material is alluvium from terracettes in lake plains; 
nonreclaimed salt-affected soil, barren land runoff.  Dark brown interior moist clay 
loam, surface crust of 0.5 cm formed by salt deposition in microdepressions (fine-
loamy, mixed, thermic typic salorthid).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  79P1530a.txt
	
6.9586	3.5122
6.9493	3.5173
6.9400	3.5400
6.9307	3.5723
6.9214	3.6033
6.9122	3.6225
6.9030	3.6233
6.8938	3.6050
6.8847	3.5759
6.8755	3.5481
6.8664	3.5344
6.8573	3.5415
6.8483	3.5684
6.8393	3.6069
6.8302	3.6470
6.8213	3.6804
6.8123	3.7068
6.8034	3.7322
6.7944	3.7661
6.7855	3.8159
6.7767	3.8826
6.7678	3.9604
6.7590	4.0400
6.7502	4.1106
6.7414	4.1672
6.7327	4.2107
6.7239	4.2478
6.7152	4.2866
6.7065	4.3323
6.6979	4.3860
6.6892	4.4431
6.6806	4.4978
6.6720	4.5456
6.6634	4.5884
6.6549	4.6345
6.6464	4.6946
6.6378	4.7751
6.6294	4.8760
6.6209	4.9858
6.6124	5.0891
6.6040	5.1728
6.5956	5.2346
6.5872	5.2842
6.5789	5.3406
6.5705	5.4214
6.5622	5.5334
6.5539	5.6655
6.5456	5.7915
6.5374	5.8811
6.5292	5.9131
6.5209	5.8869
6.5128	5.8269
6.5046	5.7744
6.4964	5.7724
6.4883	5.8469
6.4802	5.9936
6.4721	6.1777
6.4640	6.3435
6.4560	6.4365
6.4480	6.4258
6.4399	6.3154
6.4320	6.1423
6.4240	5.9617
6.4160	5.8223
6.4081	5.7488
6.4002	5.7341
6.3923	5.7466
6.3844	5.7463
6.3766	5.7029
6.3687	5.6057
6.3609	5.4658
6.3531	5.3064
6.3454	5.1506
6.3376	5.0137
6.3299	4.8994
6.3221	4.8025
6.3144	4.7139
6.3068	4.6255
6.2991	4.5329
6.2914	4.4350
6.2838	4.3313
6.2762	4.2226
6.2686	4.1091
6.2611	3.9910
6.2535	3.8682
6.2460	3.7419
6.2385	3.6121
6.2310	3.4780
6.2235	3.3396
6.2160	3.1982
6.2086	3.0574
6.2011	2.9238
6.1937	2.8049
6.1863	2.7075
6.1790	2.6348
6.1716	2.5854
6.1643	2.5544
6.1570	2.5332
6.1496	2.5146
6.1424	2.4946
6.1351	2.4726
6.1278	2.4517
6.1206	2.4360
6.1134	2.4297
6.1062	2.4326
6.0990	2.4399
6.0918	2.4448
6.0847	2.4416
6.0776	2.4287
6.0704	2.4114
6.0633	2.4001
6.0563	2.4084
6.0492	2.4458
6.0421	2.5132
6.0351	2.6023
6.0281	2.6985
6.0211	2.7856
6.0141	2.8525
6.0071	2.8979
6.0002	2.9292
5.9932	2.9560
5.9863	2.9885
5.9794	3.0300
5.9725	3.0801
5.9657	3.1357
5.9588	3.1968
5.9520	3.2681
5.9451	3.3572
5.9383	3.4687
5.9315	3.5998
5.9247	3.7392
5.9180	3.8713
5.9112	3.9834
5.9045	4.0742
5.8978	4.1560
5.8911	4.2512
5.8844	4.3808
5.8777	4.5544
5.8711	4.7632
5.8644	4.9824
5.8578	5.1809
5.8512	5.3352
5.8446	5.4385
5.8380	5.5056
5.8314	5.5652
5.8249	5.6452
5.8184	5.7598
5.8118	5.9021
5.8053	6.0483
5.7988	6.1672
5.7923	6.2366
5.7859	6.2536
5.7794	6.2366
5.7730	6.2160
5.7666	6.2212
5.7602	6.2685
5.7538	6.3562
5.7474	6.4673
5.7410	6.5793
5.7347	6.6750
5.7283	6.7488
5.7220	6.8054
5.7157	6.8562
5.7094	6.9123
5.7031	6.9790
5.6969	7.0532
5.6906	7.1247
5.6844	7.1811
5.6782	7.2117
5.6719	7.2117
5.6657	7.1841
5.6596	7.1401
5.6534	7.0947
5.6472	7.0630
5.6411	7.0513
5.6349	7.0564
5.6288	7.0622
5.6227	7.0449
5.6166	6.9770
5.6106	6.8379
5.6045	6.6203
5.5984	6.3349
5.5924	6.0095
5.5864	5.6872
5.5804	5.4162
5.5744	5.2412
5.5684	5.1946
5.5624	5.2878
5.5564	5.5115
5.5505	5.8345
5.5445	6.2153
5.5386	6.6111
5.5327	6.9851
5.5268	7.3144
5.5209	7.5906
5.5151	7.8157
5.5092	7.9980
5.5033	8.1460
5.4975	8.2680
5.4917	8.3738
5.4859	8.4734
5.4801	8.5783
5.4743	8.6992
