Name:  Dark grayish brown silty loam
Type:  Soils
Class:  Mollisol
Subclass:  Agialboll
Particle Size:  see additional information
Sample No.:  85P5339
Owner:  JHU
Wavelength range:  All
Origin:  Nez Perce Co., Id. via USDA Soil Conservation service.

Description: Parent material is loess from mixed material.  Dark 
grayish brown silty loam, (fine, montmorillonitic, mesic xeric).  
Physiography:  upland slope in plateaus or tablelands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P5339a.txt

7.8906	2.3249
7.8786	2.2986
7.8667	2.2678
7.8548	2.2361
7.8429	2.2085
7.8310	2.1897
7.8192	2.1829
7.8075	2.1865
7.7957	2.1965
7.7840	2.2087
7.7723	2.2180
7.7607	2.2224
7.7491	2.2222
7.7375	2.2195
7.7260	2.2168
7.7145	2.2151
7.7031	2.2151
7.6916	2.2170
7.6802	2.2197
7.6689	2.2227
7.6575	2.2244
7.6462	2.2273
7.6350	2.2305
7.6238	2.2331
7.6126	2.2341
7.6014	2.2336
7.5903	2.2327
7.5792	2.2327
7.5681	2.2356
7.5571	2.2441
7.5461	2.2571
7.5351	2.2720
7.5242	2.2852
7.5133	2.2949
7.5024	2.3003
7.4916	2.3027
7.4807	2.3052
7.4700	2.3093
7.4592	2.3144
7.4485	2.3181
7.4378	2.3186
7.4272	2.3176
7.4165	2.3164
7.4059	2.3169
7.3954	2.3201
7.3848	2.3252
7.3743	2.3279
7.3639	2.3245
7.3534	2.3181
7.3430	2.3149
7.3326	2.3162
7.3222	2.3213
7.3119	2.3286
7.3016	2.3352
7.2914	2.3386
7.2811	2.3398
7.2709	2.3423
7.2607	2.3481
7.2506	2.3569
7.2404	2.3667
7.2303	2.3772
7.2203	2.3882
7.2102	2.4006
7.2002	2.4158
7.1902	2.4326
7.1803	2.4480
7.1703	2.4624
7.1604	2.4756
7.1506	2.4868
7.1407	2.4968
7.1309	2.5061
7.1211	2.5159
7.1113	2.5251
7.1016	2.5330
7.0919	2.5410
7.0822	2.5486
7.0725	2.5561
7.0629	2.5662
7.0533	2.5806
7.0437	2.6011
7.0341	2.6269
7.0246	2.6555
7.0151	2.6846
7.0056	2.7109
6.9962	2.7331
6.9867	2.7539
6.9773	2.7756
6.9679	2.8018
6.9586	2.8352
6.9493	2.8774
6.9400	2.9255
6.9307	2.9758
6.9214	3.0234
6.9122	3.0640
6.9030	3.0962
6.8938	3.1233
6.8847	3.1501
6.8755	3.1811
6.8664	3.2173
6.8573	3.2595
6.8483	3.3069
6.8393	3.3562
6.8302	3.4080
6.8213	3.4636
6.8123	3.5244
6.8034	3.5898
6.7944	3.6562
6.7855	3.7212
6.7767	3.7822
6.7678	3.8364
6.7590	3.8821
6.7502	3.9204
6.7414	3.9541
6.7327	3.9858
6.7239	4.0144
6.7152	4.0405
6.7065	4.0662
6.6979	4.0930
6.6892	4.1164
6.6806	4.1335
6.6720	4.1428
6.6634	4.1440
6.6549	4.1372
6.6464	4.1252
6.6378	4.1147
6.6294	4.1108
6.6209	4.1067
6.6124	4.0969
6.6040	4.0784
6.5956	4.0505
6.5872	4.0173
6.5789	3.9851
6.5705	3.9595
6.5622	3.9431
6.5539	3.9307
6.5456	3.9189
6.5374	3.9038
6.5292	3.8826
6.5209	3.8589
6.5128	3.8364
6.5046	3.8164
6.4964	3.7998
6.4883	3.7866
6.4802	3.7744
6.4721	3.7578
6.4640	3.7339
6.4560	3.7007
6.4480	3.6567
6.4399	3.6042
6.4320	3.5508
6.4240	3.5015
6.4160	3.4580
6.4081	3.4206
6.4002	3.3904
6.3923	3.3606
6.3844	3.3237
6.3766	3.2798
6.3687	3.2324
6.3609	3.1829
6.3531	3.1323
6.3454	3.0825
6.3376	3.0376
6.3299	2.9946
6.3221	2.9524
6.3144	2.9128
6.3068	2.8760
6.2991	2.8408
6.2914	2.8042
6.2838	2.7637
6.2762	2.7185
6.2686	2.6677
6.2611	2.6160
6.2535	2.5674
6.2460	2.5244
6.2385	2.4875
6.2310	2.4524
6.2235	2.4138
6.2160	2.3691
6.2086	2.3184
6.2011	2.2676
6.1937	2.2207
6.1863	2.1816
6.1790	2.1504
6.1716	2.1223
6.1643	2.0937
6.1570	2.0632
6.1496	2.0320
6.1424	2.0034
6.1351	1.9792
6.1278	1.9622
6.1206	1.9546
6.1134	1.9556
6.1062	1.9639
6.0990	1.9797
6.0918	2.0005
6.0847	2.0222
6.0776	2.0417
6.0704	2.0601
6.0633	2.0808
6.0563	2.1047
6.0492	2.1343
6.0421	2.1724
6.0351	2.2170
6.0281	2.2642
6.0211	2.3122
6.0141	2.3618
6.0071	2.4133
6.0002	2.4658
5.9932	2.5200
5.9863	2.5793
5.9794	2.6433
5.9725	2.7097
5.9657	2.7788
5.9588	2.8511
5.9520	2.9260
5.9451	3.0063
5.9383	3.0950
5.9315	3.1953
5.9247	3.3054
5.9180	3.4197
5.9112	3.5354
5.9045	3.6504
5.8978	3.7637
5.8911	3.8813
5.8844	4.0063
5.8777	4.1401
5.8711	4.2803
5.8644	4.4202
5.8578	4.5564
5.8512	4.6850
5.8446	4.8066
5.8380	4.9263
5.8314	5.0481
5.8249	5.1758
5.8184	5.3140
5.8118	5.4639
5.8053	5.6203
5.7988	5.7771
5.7923	5.9321
5.7859	6.0840
5.7794	6.2297
5.7730	6.3701
5.7666	6.5110
5.7602	6.6579
5.7538	6.8078
5.7474	6.9570
5.7410	7.1067
5.7347	7.2563
5.7283	7.4018
5.7220	7.5429
5.7157	7.6816
5.7094	7.8179
5.7031	7.9480
5.6969	8.0679
5.6906	8.1772
5.6844	8.2766
5.6782	8.3611
5.6719	8.4292
5.6657	8.4809
5.6596	8.5161
5.6534	8.5388
5.6472	8.5559
5.6411	8.5744
5.6349	8.6001
5.6288	8.6311
5.6227	8.6655
5.6166	8.7011
5.6106	8.7346
5.6045	8.7654
5.5984	8.7971
5.5924	8.8330
5.5864	8.8762
5.5804	8.9282
5.5744	8.9909
5.5684	9.0632
5.5624	9.1421
5.5564	9.2243
5.5505	9.3088
5.5445	9.3940
5.5386	9.4800
5.5327	9.5666
5.5268	9.6531
5.5209	9.7390
5.5151	9.8232
5.5092	9.9040
5.5033	9.9817
5.4975	10.0566
5.4917	10.1296
5.4859	10.2011
5.4801	10.2697
5.4743	10.3364
5.4685	10.3989
5.4628	10.4570
5.4570	10.5083
5.4513	10.5468
5.4455	10.5696
5.4398	10.5749
5.4341	10.5608
5.4284	10.5268
5.4228	10.4734
5.4171	10.4033
5.4114	10.3152
5.4058	10.2063
5.4002	10.0781
5.3945	9.9365
5.3889	9.7890
5.3833	9.6450
5.3778	9.5115
5.3722	9.3962
5.3666	9.3049
5.3611	9.2405
5.3555	9.2036
5.3500	9.1941
5.3445	9.2112
5.3390	9.2500
5.3335	9.3039
5.3280	9.3664
5.3225	9.4350
5.3171	9.5085
5.3116	9.5857
5.3062	9.6665
5.3008	9.7534
5.2954	9.8496
5.2900	9.9587
5.2846	10.0815
5.2792	10.2192
5.2738	10.3723
5.2684	10.5368
5.2631	10.7102
5.2578	10.8904
5.2524	11.0781
5.2471	11.2741
5.2418	11.4768
5.2365	11.6826
5.2312	11.8850
5.2260	12.0759
5.2207	12.2502
5.2154	12.4040
5.2102	12.5366
5.2050	12.6494
5.1998	12.7434
5.1945	12.8198
5.1893	12.8801
5.1842	12.9292
5.1790	12.9702
