Name:  Brown gravelly sandy loam
Type:  Soils
Class:  Aridisol
Subclass:  Haplargid
Particle Size:  see additional information
Sample No.:  89P1793
Owner:  JHU
Wavelength range:  All
Origin:  Inyo Co., Ca., (Wild Horse Mesa) via USDA Soil Conservation 
service.
Description:  The parent material is alluvium from fan terrace.  Brown 
gravelly sandy loam, (fine-loamy, mixed, mesic Xerollic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1793a.txt

6.9122	3.1343
6.9030	3.1485
6.8938	3.1504
6.8847	3.1433
6.8755	3.1357
6.8664	3.1362
6.8573	3.1499
6.8483	3.1776
6.8393	3.2162
6.8302	3.2581
6.8213	3.2934
6.8123	3.3185
6.8034	3.3370
6.7944	3.3557
6.7855	3.3787
6.7767	3.4071
6.7678	3.4390
6.7590	3.4703
6.7502	3.4947
6.7414	3.5106
6.7327	3.5205
6.7239	3.5304
6.7152	3.5444
6.7065	3.5638
6.6979	3.5880
6.6892	3.6129
6.6806	3.6323
6.6720	3.6403
6.6634	3.6346
6.6549	3.6226
6.6464	3.6140
6.6378	3.6164
6.6294	3.6320
6.6209	3.6555
6.6124	3.6768
6.6040	3.6849
6.5956	3.6759
6.5872	3.6579
6.5789	3.6446
6.5705	3.6481
6.5622	3.6740
6.5539	3.7164
6.5456	3.7632
6.5374	3.8007
6.5292	3.8175
6.5209	3.8106
6.5128	3.7881
6.5046	3.7656
6.4964	3.7602
6.4883	3.7834
6.4802	3.8359
6.4721	3.9063
6.4640	3.9719
6.4560	4.0086
6.4480	4.0057
6.4399	3.9662
6.4320	3.9086
6.4240	3.8606
6.4160	3.8435
6.4081	3.8641
6.4002	3.9115
6.3923	3.9650
6.3844	4.0043
6.3766	4.0143
6.3687	3.9932
6.3609	3.9544
6.3531	3.9141
6.3454	3.8838
6.3376	3.8672
6.3299	3.8627
6.3221	3.8639
6.3144	3.8618
6.3068	3.8509
6.2991	3.8322
6.2914	3.8087
6.2838	3.7815
6.2762	3.7500
6.2686	3.7145
6.2611	3.6747
6.2535	3.6323
6.2460	3.5889
6.2385	3.5477
6.2310	3.5091
6.2235	3.4710
6.2160	3.4300
6.2086	3.3839
6.2011	3.3346
6.1937	3.2887
6.1863	3.2515
6.1790	3.2271
6.1716	3.2167
6.1643	3.2155
6.1570	3.2155
6.1496	3.2096
6.1424	3.1956
6.1351	3.1759
6.1278	3.1560
6.1206	3.1447
6.1134	3.1482
6.1062	3.1662
6.0990	3.1909
6.0918	3.2115
6.0847	3.2205
6.0776	3.2148
6.0704	3.1984
6.0633	3.1859
6.0563	3.1928
6.0492	3.2269
