Name:  Brown to dark brown gravelly fine sandy loam
Type:  Soils
Class:  Inceptisol
Subclass:  Xerumbrept
Particle Size:  see additional information
Sample No.:  87P325
Owner:  JHU
Wavelength range:  All
Origin:  Klickitat Co., Wa. via USDA Soil Conservation service.

Description:  The parent material is volcanic ash from ejecta-ash 
material over local colluvium from cinders material from hillside or 
mountainside in mountains or deeply dissected plateaus.  Brown to dark 
brown gravelly fine sandy loam (medial-skeletal, frigid andic).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P325a.txt

7.9268	1.9443
7.9147	1.9082
7.9027	1.8684
7.8906	1.8535
7.8786	1.8801
7.8667	1.8660
7.8548	1.8484
7.8429	1.8303
7.8310	1.8306
7.8192	1.8540
7.8075	1.8237
7.7957	1.7859
7.7840	1.8132
7.7723	1.8149
7.7607	1.8135
7.7491	1.7915
7.7375	1.7805
7.7260	1.8015
7.7145	1.8303
7.7031	1.8152
7.6916	1.8120
7.6802	1.8223
7.6689	1.8024
7.6575	1.7766
7.6462	1.7944
7.6350	1.8044
7.6238	1.8201
7.6126	1.8154
7.6014	1.7852
7.5903	1.7751
7.5792	1.8040
7.5681	1.8032
7.5571	1.8008
7.5461	1.7991
7.5351	1.8049
7.5242	1.8054
7.5133	1.8091
7.5024	1.7998
7.4916	1.8035
7.4807	1.7926
7.4700	1.7764
7.4592	1.7703
7.4485	1.7947
7.4378	1.8054
7.4272	1.7864
7.4165	1.7742
7.4059	1.7812
7.3954	1.7717
7.3848	1.7932
7.3743	1.7969
7.3639	1.7961
7.3534	1.7766
7.3430	1.7422
7.3326	1.7217
7.3223	1.7349
7.3119	1.7280
7.3016	1.7485
7.2914	1.7747
7.2811	1.7349
7.2709	1.7043
7.2607	1.7187
7.2506	1.7314
7.2404	1.7300
7.2303	1.7253
7.2203	1.7356
7.2102	1.7258
7.2002	1.7419
7.1902	1.7515
7.1803	1.7488
7.1703	1.7639
7.1604	1.7690
7.1506	1.7417
7.1407	1.7610
7.1309	1.8042
7.1211	1.7766
7.1113	1.7637
7.1016	1.7964
7.0919	1.8052
7.0822	1.8022
7.0725	1.7869
7.0629	1.7959
7.0533	1.7766
7.0437	1.7729
7.0341	1.8120
7.0246	1.8330
