Name:  Light yellowish brown clay
Type:  Soils
Class:  Aridisol
Subclass:  Salorthid
Particle Size:  see additional information
Sample No.:  89P1763 
Owner:  JHU
Wavelength range:  all
Origin:  San Bernadino Co., Ca.  China Lake via USDA Soil Conservation 
service.
Description: The parent material is alluvium over lacustrine material 
from  playa.  Light yellowish brown clay, (fine-loamy, mixed calcareous, 
thermic typic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1763a.txt

6.9122	2.6879
6.9030	2.6808
6.8938	2.6647
6.8847	2.6450
6.8755	2.6291
6.8664	2.6237
6.8573	2.6315
6.8483	2.6516
6.8393	2.6803
6.8302	2.7111
6.8213	2.7362
6.8123	2.7549
6.8034	2.7712
6.7944	2.7928
6.7855	2.8245
6.7767	2.8695
6.7678	2.9268
6.7590	2.9896
6.7502	3.0490
6.7414	3.0987
6.7327	3.1385
6.7239	3.1738
6.7152	3.2119
6.7065	3.2591
6.6979	3.3185
6.6892	3.3879
6.6806	3.4589
6.6720	3.5212
6.6634	3.5683
6.6549	3.6048
6.6464	3.6396
6.6378	3.6813
6.6294	3.7353
6.6209	3.7992
6.6124	3.8634
6.6040	3.9153
6.5956	3.9484
6.5872	3.9697
6.5789	3.9911
6.5705	4.0244
6.5622	4.0768
6.5539	4.1436
6.5456	4.2115
6.5374	4.2643
6.5292	4.2909
6.5209	4.2887
6.5128	4.2691
6.5046	4.2525
6.4964	4.2606
6.4883	4.3079
6.4802	4.3944
6.4721	4.5045
6.4640	4.6084
6.4560	4.6750
6.4480	4.6854
6.4399	4.6380
6.4320	4.5511
6.4240	4.4562
6.4160	4.3806
6.4081	4.3368
6.4002	4.3193
6.3923	4.3091
6.3844	4.2878
6.3766	4.2409
6.3687	4.1680
6.3609	4.0832
6.3531	4.0017
6.3454	3.9319
6.3376	3.8748
6.3299	3.8253
6.3221	3.7772
6.3144	3.7235
6.3068	3.6626
6.2991	3.5989
6.2914	3.5371
6.2838	3.4769
6.2762	3.4161
6.2686	3.3514
6.2611	3.2794
6.2535	3.1980
6.2460	3.1063
6.2385	3.0061
6.2310	2.8970
6.2235	2.7769
6.2160	2.6448
6.2086	2.5024
6.2011	2.3542
6.1937	2.2085
6.1863	2.0738
6.1790	1.9582
6.1716	1.8652
6.1643	1.7941
6.1570	1.7406
6.1496	1.7006
6.1424	1.6712
6.1351	1.6527
6.1278	1.6466
6.1206	1.6570
6.1134	1.6857
6.1062	1.7285
6.0990	1.7780
6.0918	1.8254
6.0847	1.8652
6.0776	1.8948
6.0704	1.9173
6.0633	1.9428
6.0563	1.9821
6.0492	2.0395
6.0421	2.1124
6.0351	2.1953
6.0281	2.2803
6.0211	2.3587
6.0141	2.4248
6.0071	2.4816
6.0002	2.5361
5.9932	2.5912
5.9863	2.6481
5.9794	2.7049
5.9725	2.7570
5.9657	2.7987
5.9588	2.8266
5.9520	2.8477
5.9451	2.8749
5.9383	2.9178
5.9315	2.9806
5.9247	3.0599
5.9180	3.1449
5.9112	3.2238
5.9045	3.2887
5.8978	3.3436
5.8911	3.4026
5.8844	3.4781
5.8777	3.5759
5.8711	3.6920
5.8644	3.8127
5.8578	3.9221
5.8512	4.0064
5.8446	4.0623
5.8380	4.0998
5.8314	4.1353
5.8249	4.1841
5.8184	4.2523
5.8118	4.3359
5.8053	4.4216
5.7988	4.4919
5.7923	4.5329
5.7859	4.5417
5.7794	4.5310
5.7730	4.5187
5.7666	4.5194
5.7602	4.5419
5.7538	4.5869
5.7474	4.6447
5.7410	4.7006
5.7347	4.7434
5.7283	4.7723
5.7220	4.7920
5.7157	4.8069
5.7094	4.8225
5.7031	4.8424
5.6969	4.8663
5.6906	4.8900
5.6844	4.9099
5.6782	4.9253
5.6719	4.9367
5.6657	4.9438
5.6596	4.9483
5.6534	4.9568
5.6472	4.9738
5.6411	5.0025
5.6349	5.0425
5.6288	5.0868
5.6227	5.1211
5.6166	5.1264
5.6106	5.0856
5.6045	4.9895
5.5984	4.8381
5.5924	4.6473
5.5864	4.4479
5.5804	4.2764
5.5744	4.1675
5.5684	4.1471
5.5624	4.2257
5.5564	4.3934
5.5505	4.6226
5.5445	4.8796
5.5386	5.1327
5.5327	5.3570
5.5268	5.5391
5.5209	5.6796
5.5151	5.7871
5.5092	5.8709
5.5033	5.9377
5.4975	5.9922
5.4917	6.0381
5.4859	6.0788
5.4801	6.1191
5.4743	6.1660
5.4685	6.2240
5.4628	6.2927
5.4570	6.3656
5.4513	6.4338
5.4455	6.4892
5.4398	6.5281
5.4341	6.5544
5.4284	6.5783
