Name:  Dark yellowish brown micaceous loam
Type:  Soils
Class:  Inceptisol
Subclass:  Dystrochrept
Particle Size:  see additional information
Sample No.:  88P2535
Owner:  JHU
Wavelength range:  All
Origin: Howard Co., Md. via USDA Soil Conservation service.

Description:  The parent material is schist and phyllite.  Dark 
yellowish brown micaceous loam (coarse-loamy, micaceous, mesic typic), 
from piedmonts.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  88P2535a.txt

10.3683	3.6433
10.3476	3.7019
10.3270	3.7602
10.3065	3.8091
10.2860	3.8594
10.2657	3.9116
10.2454	3.9614
10.2252	4.0117
10.2050	4.0705
10.1850	4.1301
10.1650	4.1902
10.1451	4.2353
10.1253	4.2854
10.1056	4.3367
10.0859	4.3982
10.0663	4.4817
10.0468	4.5867
10.0274	4.7080
10.0080	4.8393
9.9887	4.9668
9.9695	5.0945
9.9504	5.2082
9.9313	5.2993
9.9123	5.3608
9.8934	5.4001
9.8746	5.4119
9.8558	5.3972
9.8371	5.3777
9.8185	5.3830
9.7999	5.4236
9.7814	5.5029
9.7630	5.6316
9.7447	5.8130
9.7264	6.0320
9.7082	6.2641
9.6900	6.4873
9.6719	6.6938
9.6539	6.8662
9.6360	6.9953
9.6181	7.0835
9.6003	7.1406
9.5825	7.1814
9.5649	7.2002
9.5472	7.1943
9.5297	7.1721
9.5122	7.1401
9.4948	7.1118
9.4774	7.0981
9.4601	7.1184
9.4429	7.1848
9.4257	7.2920
9.4086	7.4336
9.3916	7.6067
9.3746	7.7825
9.3577	7.9367
9.3408	8.0591
9.3240	8.1470
9.3073	8.2004
9.2906	8.2141
9.2740	8.1860
9.2574	8.1238
9.2409	8.0478
9.2245	7.9599
9.2081	7.8594
9.1918	7.7522
9.1755	7.6321
9.1593	7.5051
9.1431	7.3594
9.1270	7.1858
9.1110	7.0073
9.0950	6.8247
9.0791	6.6250
9.0632	6.4031
9.0474	6.1721
9.0316	5.9636
9.0159	5.7981
9.0003	5.7065
8.9847	5.7038
8.9691	5.7761
8.9536	5.8918
8.9382	6.0315
8.9228	6.1645
8.9075	6.2619
