Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic 
Particle Size:  Whole rock chips
Sample No.:  ba9c2f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9c2fa.txt

0.768	0.101
0.769	0.101
0.77	0.101
0.771	0.101
0.772	0.098
0.773	0.1
0.774	0.1
0.775	0.1
0.776	0.1
0.777	0.101
0.778	0.098
0.779	0.1
0.78	0.098
0.781	0.098
0.782	0.1
0.783	0.1
0.784	0.1
0.785	0.1
0.786	0.101
0.787	0.1
0.788	0.1
0.789	0.1
0.79	0.1
0.791	0.101
0.792	0.101
0.793	0.101
0.794	0.1
0.795	0.101
0.796	0.1
0.797	0.101
0.798	0.093
0.799	0.085
0.8	0.096
0.804	0.096
0.808	0.096
0.812	0.096
0.816	0.098
0.82	0.095
0.824	0.095
0.828	0.096
0.832	0.096
0.836	0.096
0.84	0.096
0.844	0.096
0.848	0.098
0.852	0.098
0.856	0.098
0.86	0.096
0.864	0.098
0.868	0.096
0.872	0.098
0.876	0.099
0.88	0.099
0.884	0.098
0.888	0.1
0.892	0.099
0.896	0.099
0.9	0.099
0.904	0.099
0.908	0.099
0.912	0.1
0.916	0.099
0.92	0.1
0.924	0.1
0.928	0.1
0.932	0.1
0.936	0.1
0.94	0.099
0.944	0.1
0.948	0.1
0.952	0.1
0.956	0.1
0.96	0.099
0.964	0.1
0.968	0.1
0.972	0.1
0.976	0.1
0.98	0.099
0.984	0.099
0.988	0.099
0.992	0.099
0.996	0.099
1	0.099
1.004	0.099
1.008	0.099
1.012	0.099
1.016	0.099
1.02	0.1
1.024	0.1
1.028	0.099
1.032	0.099
1.036	0.1
1.04	0.1
1.044	0.101
1.048	0.1
1.052	0.099
1.056	0.099
1.06	0.099
1.064	0.099
1.068	0.099
1.072	0.099
1.076	0.098
1.08	0.099
1.084	0.099
1.088	0.099
1.092	0.099
1.096	0.1
1.1	0.098
1.104	0.099
1.108	0.098
1.112	0.098
1.116	0.099
1.12	0.099
1.124	0.099
1.128	0.096
1.132	0.096
1.136	0.096
1.14	0.096
1.144	0.099
1.148	0.098
1.152	0.098
1.156	0.098
1.16	0.098
1.164	0.098
1.168	0.098
1.172	0.098
1.176	0.098
1.18	0.098
1.184	0.098
1.188	0.096
1.192	0.096
1.196	0.098
1.2	0.098
1.204	0.098
1.208	0.096
1.212	0.096
1.216	0.095
