Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic  
Particle Size:  Whole rock chips
Sample No.:  ba9a1f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9a1fa.txt

0.768	0.066
0.769	0.066
0.77	0.067
0.771	0.068
0.772	0.066
0.773	0.066
0.774	0.065
0.775	0.067
0.776	0.067
0.777	0.066
0.778	0.066
0.779	0.065
0.78	0.065
0.781	0.068
0.782	0.066
0.783	0.066
0.784	0.065
0.785	0.066
0.786	0.065
0.787	0.065
0.788	0.068
0.789	0.066
0.79	0.066
0.791	0.066
0.792	0.066
0.793	0.067
0.794	0.068
0.795	0.068
0.796	0.067
0.797	0.068
0.798	0.062
0.799	0.057
0.8	0.067
0.804	0.067
0.808	0.068
0.812	0.068
0.816	0.068
0.82	0.068
0.824	0.067
0.828	0.068
0.832	0.068
0.836	0.067
0.84	0.067
0.844	0.067
0.848	0.067
0.852	0.067
0.856	0.068
0.86	0.068
0.864	0.068
0.868	0.068
0.872	0.068
0.876	0.07
0.88	0.07
0.884	0.068
0.888	0.068
0.892	0.068
0.896	0.068
0.9	0.068
0.904	0.07
0.908	0.068
0.912	0.07
0.916	0.07
0.92	0.07
0.924	0.07
0.928	0.07
0.932	0.07
0.936	0.07
0.94	0.07
0.944	0.071
0.948	0.07
0.952	0.07
0.956	0.07
0.96	0.071
0.964	0.071
0.968	0.07
0.972	0.071
0.976	0.07
0.98	0.071
0.984	0.07
0.988	0.07
0.992	0.07
0.996	0.068
1	0.07
1.004	0.07
1.008	0.07
1.012	0.07
1.016	0.07
1.02	0.07
1.024	0.07
1.028	0.07
1.032	0.07
1.036	0.07
1.04	0.07
1.044	0.071
1.048	0.07
1.052	0.07
1.056	0.07
1.06	0.07
1.064	0.07
1.068	0.07
1.072	0.07
1.076	0.07
1.08	0.07
1.084	0.07
1.088	0.07
1.092	0.07
1.096	0.07
1.1	0.07
1.104	0.07
1.108	0.068
1.112	0.068
1.116	0.068
1.12	0.068
1.124	0.068
1.128	0.068
1.132	0.067
1.136	0.067
1.14	0.067
1.144	0.067
1.148	0.068
1.152	0.067
1.156	0.067
1.16	0.067
1.164	0.067
1.168	0.067
1.172	0.067
1.176	0.067
1.18	0.067
1.184	0.067
1.188	0.067
1.192	0.066
1.196	0.066
1.2	0.066
1.204	0.065
1.208	0.065
1.212	0.065
1.216	0.065
1.22	0.063
1.224	0.063
1.228	0.063
1.232	0.063
1.236	0.066
1.24	0.066
1.244	0.063
1.248	0.063
1.252	0.063
1.256	0.062
1.26	0.062
1.264	0.062
1.268	0.062
1.272	0.062
1.276	0.063
1.28	0.062
1.284	0.062
1.288	0.062
1.292	0.062
1.296	0.062
1.3	0.062
1.304	0.062
1.308	0.062
1.312	0.062
1.316	0.061
1.32	0.062
1.324	0.062
1.328	0.062
1.332	0.062
1.336	0.062
1.34	0.062
1.344	0.061
1.348	0.061
1.352	0.061
1.356	0.061
1.36	0.061
1.364	0.06
1.368	0.06
1.372	0.06
1.376	0.06
1.38	0.06
1.384	0.06
1.388	0.06
1.392	0.06
1.396	0.06
1.4	0.06
1.404	0.059
1.408	0.06
1.412	0.059
1.416	0.059
1.42	0.059
1.424	0.059
1.428	0.059
1.432	0.059
1.436	0.059
1.44	0.059
1.444	0.059
1.448	0.059
1.452	0.059
1.456	0.059
1.46	0.059
1.464	0.059
1.468	0.059
1.472	0.059
1.476	0.059
1.48	0.057
1.484	0.059
1.488	0.059
1.492	0.057
1.496	0.057
1.5	0.057
1.504	0.056
1.508	0.057
1.512	0.057
1.516	0.056
1.52	0.057
1.524	0.057
1.528	0.057
1.532	0.059
1.536	0.059
1.54	0.059
1.544	0.059
1.548	0.056
1.552	0.056
1.556	0.056
1.56	0.056
1.564	0.056
1.568	0.056
1.572	0.056
1.576	0.056
1.58	0.056
1.584	0.056
1.588	0.056
1.592	0.056
1.596	0.056
1.6	0.056
1.604	0.056
1.608	0.056
1.612	0.055
1.616	0.055
1.62	0.056
1.624	0.055
1.628	0.056
1.632	0.056
1.636	0.056
1.64	0.056
1.644	0.056
1.648	0.056
1.652	0.056
1.656	0.056
1.66	0.055
1.664	0.055
1.668	0.056
1.672	0.056
1.676	0.056
1.68	0.055
1.684	0.056
1.688	0.056
1.692	0.056
1.696	0.055
1.7	0.056
1.704	0.055
1.708	0.055
1.712	0.055
1.716	0.055
1.72	0.055
1.724	0.055
1.728	0.055
1.732	0.055
1.736	0.055
1.74	0.055
1.744	0.055
1.748	0.055
1.752	0.055
1.756	0.055
1.76	0.054
1.764	0.054
1.768	0.054
1.772	0.054
1.776	0.055
1.78	0.054
1.784	0.055
1.788	0.055
1.792	0.054
1.796	0.054
1.8	0.054
1.804	0.054
1.808	0.055
1.812	0.055
1.816	0.055
1.82	0.054
1.824	0.054
1.828	0.055
1.832	0.055
1.836	0.054
1.84	0.055
1.844	0.054
1.848	0.054
1.852	0.054
1.856	0.054
1.86	0.053
1.864	0.053
1.868	0.053
1.872	0.054
1.876	0.054
1.88	0.053
1.884	0.051
1.888	0.051
1.892	0.05
1.896	0.049
1.9	0.049
1.904	0.049
1.908	0.049
1.912	0.048
1.916	0.049
1.92	0.049
1.924	0.05
1.928	0.049
1.932	0.05
1.936	0.051
1.94	0.051
1.944	0.05
1.948	0.051
1.952	0.05
1.956	0.051
1.96	0.051
1.964	0.051
1.968	0.051
1.972	0.051
1.976	0.051
1.98	0.051
1.984	0.053
1.988	0.053
1.992	0.051
1.996	0.053
2	0.053
2.004	0.053
2.008	0.053
2.012	0.053
2.016	0.053
2.02	0.053
2.024	0.053
2.028	0.053
2.032	0.053
2.036	0.053
2.04	0.053
2.044	0.053
2.048	0.053
2.052	0.054
2.056	0.053
2.06	0.054
2.064	0.053
2.068	0.053
2.072	0.053
2.076	0.053
2.08	0.054
2.084	0.054
2.088	0.054
2.092	0.054
2.096	0.054
2.1	0.054
2.10043	0.049
2.10128	0.0476
2.10213	0.0478
2.10298	0.0478
2.10383	0.0477
2.10469	0.0461
2.10554	0.0474
2.1064	0.0493
2.10725	0.0473
2.10811	0.0486
2.10897	0.049
2.10983	0.0487
2.11068	0.0467
2.11154	0.0461
2.1124	0.0485
2.11327	0.0488
2.11413	0.0465
2.11499	0.0486
2.11585	0.0497
2.11672	0.0489
2.11758	0.0478
2.11844	0.0481
2.11931	0.0474
2.12018	0.0468
2.12104	0.0468
2.12191	0.0476
2.12278	0.0483
2.12365	0.0501
2.12452	0.0504
2.12539	0.0497
2.12626	0.0472
2.12713	0.0468
2.12801	0.0476
2.12888	0.0476
2.12975	0.048
2.13063	0.0487
2.1315	0.0472
2.13238	0.0481
2.13326	0.0483
2.13414	0.0476
2.13501	0.0464
2.13589	0.0458
2.13677	0.0464
2.13765	0.0469
2.13854	0.0471
2.13942	0.0468
2.1403	0.0462
2.14118	0.048
2.14207	0.0495
2.14295	0.0473
2.14384	0.0465
2.14473	0.0493
2.14561	0.0501
2.1465	0.0478
2.14739	0.0454
2.14828	0.0454
2.14917	0.0459
2.15006	0.0478
2.15095	0.0484
2.15185	0.0478
2.15274	0.0467
2.15363	0.0478
2.15453	0.0479
2.15542	0.0489
2.15632	0.0504
2.15722	0.0505
2.15811	0.049
2.15901	0.0484
2.15991	0.0465
2.16081	0.0454
2.16171	0.0471
2.16261	0.0476
2.16352	0.0465
2.16442	0.0457
2.16532	0.0479
2.16623	0.0507
2.16713	0.0494
2.16804	0.0472
2.16894	0.0468
2.16985	0.048
2.17076	0.0474
2.17167	0.0477
2.17258	0.0465
2.17349	0.0452
2.1744	0.0467
2.17531	0.0483
2.17623	0.0472
2.17714	0.0468
2.17805	0.0463
2.17897	0.0463
2.17989	0.0479
2.1808	0.049
2.18172	0.0472
2.18264	0.0468
2.18356	0.047
2.18448	0.0454
2.1854	0.0439
2.18632	0.0444
2.18724	0.0446
2.18816	0.0459
2.18909	0.0455
2.19001	0.0455
2.19094	0.047
2.19186	0.0483
2.19279	0.0485
2.19372	0.0485
2.19464	0.0473
2.19557	0.0459
2.1965	0.0459
2.19743	0.0469
2.19837	0.0465
2.1993	0.0469
2.20023	0.047
2.20116	0.0463
2.2021	0.0459
2.20303	0.0459
2.20397	0.0461
2.20491	0.0469
2.20585	0.0458
2.20678	0.045
2.20772	0.0443
2.20866	0.0468
2.20961	0.0478
2.21055	0.045
2.21149	0.0459
2.21243	0.0481
2.21338	0.0469
2.21432	0.0454
2.21527	0.0459
2.21621	0.0469
2.21716	0.0477
2.21811	0.0493
2.21906	0.0469
2.22001	0.0458
2.22096	0.0457
2.22191	0.0463
2.22286	0.0475
2.22382	0.0467
2.22477	0.0467
2.22573	0.0477
2.22668	0.0479
2.22764	0.0475
2.2286	0.047
2.22955	0.047
2.23051	0.0486
2.23147	0.0492
2.23243	0.0487
2.23339	0.0487
2.23436	0.0472
2.23532	0.0464
2.23628	0.048
2.23725	0.0501
2.23821	0.0498
2.23918	0.0482
2.24015	0.0465
2.24112	0.0461
2.24208	0.0465
2.24305	0.0473
2.24402	0.0471
2.245	0.0473
2.24597	0.0473
2.24694	0.0469
2.24791	0.0462
2.24889	0.0459
2.24987	0.0452
2.25084	0.0464
2.25182	0.0467
2.2528	0.0466
2.25378	0.0468
2.25476	0.0465
2.25574	0.0465
2.25672	0.0479
2.2577	0.0469
2.25868	0.0462
2.25967	0.0469
2.26065	0.0477
2.26164	0.0473
2.26263	0.0464
2.26361	0.0459
2.2646	0.0461
2.26559	0.0459
2.26658	0.046
2.26757	0.0479
2.26856	0.0489
2.26956	0.0477
2.27055	0.047
2.27155	0.0461
2.27254	0.0455
2.27354	0.0449
2.27453	0.0447
2.27553	0.046
2.27653	0.0462
2.27753	0.0451
2.27853	0.0468
2.27953	0.0493
2.28054	0.0503
2.28154	0.0483
2.28254	0.0459
2.28355	0.0448
2.28455	0.045
2.28556	0.0456
2.28657	0.0464
2.28758	0.0469
2.28859	0.0463
2.2896	0.0457
2.29061	0.0473
2.29162	0.0469
2.29263	0.0469
2.29365	0.0472
2.29466	0.0478
2.29568	0.048
2.29669	0.0467
2.29771	0.0456
2.29873	0.0468
2.29975	0.0472
2.30077	0.0468
2.30179	0.0459
2.30281	0.047
2.30384	0.0471
2.30486	0.0468
2.30588	0.0465
2.30691	0.0469
2.30794	0.0471
2.30896	0.0469
2.30999	0.0476
2.31102	0.0471
2.31205	0.046
2.31308	0.0464
2.31412	0.047
2.31515	0.0469
2.31618	0.047
2.31722	0.0468
2.31825	0.0446
2.31929	0.0444
2.32033	0.0459
2.32137	0.0475
2.32241	0.0476
2.32345	0.0473
2.32449	0.046
2.32553	0.0468
2.32657	0.0468
2.32762	0.0468
2.32866	0.046
2.32971	0.0456
2.33076	0.0452
2.3318	0.0462
2.33285	0.046
2.3339	0.0459
2.33495	0.0477
2.33601	0.0483
2.33706	0.047
2.33811	0.0469
2.33917	0.0457
2.34022	0.044
2.34128	0.0437
2.34234	0.0446
2.34339	0.0442
2.34445	0.0454
2.34551	0.0466
2.34657	0.0472
2.34764	0.0468
2.3487	0.0469
2.34976	0.047
2.35083	0.0472
2.3519	0.0464
2.35296	0.0456
2.35403	0.0454
2.3551	0.0473
2.35617	0.0477
2.35724	0.0467
2.35831	0.0471
2.35939	0.0466
2.36046	0.0457
2.36153	0.046
2.36261	0.0457
2.36369	0.0457
2.36476	0.0463
2.36584	0.0477
2.36692	0.0465
2.368	0.0451
2.36909	0.0442
2.37017	0.0454
2.37125	0.0456
2.37234	0.0457
2.37342	0.0453
2.37451	0.0445
2.3756	0.0441
2.37669	0.0456
2.37778	0.0472
2.37887	0.048
2.37996	0.0478
2.38105	0.0469
2.38214	0.0461
2.38324	0.0457
2.38433	0.0455
2.38543	0.0459
2.38653	0.0452
2.38763	0.0444
2.38873	0.0442
2.38983	0.0452
2.39093	0.0447
2.39203	0.0437
2.39314	0.044
2.39424	0.0449
2.39535	0.0449
2.39645	0.0456
2.39756	0.0471
2.39867	0.0478
2.39978	0.0459
2.40089	0.045
2.402	0.0452
2.40312	0.0462
2.40423	0.0469
2.40535	0.0461
2.40646	0.0441
2.40758	0.0436
2.4087	0.0442
2.40982	0.0458
2.41094	0.0454
2.41206	0.045
2.41318	0.0444
2.4143	0.0453
2.41543	0.0451
2.41655	0.0449
2.41768	0.0442
2.41881	0.0445
2.41994	0.0462
2.42107	0.0463
2.4222	0.0436
2.42333	0.0458
2.42446	0.0463
2.4256	0.045
2.42673	0.0459
2.42787	0.0463
2.429	0.0458
2.43014	0.0446
2.43128	0.0432
2.43242	0.0446
2.43356	0.0456
2.43471	0.0453
2.43585	0.0455
