Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic 
Particle Size:  Whole rock chips
Sample No.:  ba9a4f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9a4fa.txt

0.4 	0.102
0.401	0.102
0.402	0.104
0.403	0.102
0.404	0.101
0.405	0.102
0.406	0.1
0.407	0.1
0.408	0.102
0.409	0.101
0.41	0.1
0.411	0.102
0.412	0.102
0.413	0.102
0.414	0.102
0.415	0.104
0.416	0.102
0.417	0.102
0.418	0.101
0.419	0.1
0.42	0.1
0.421	0.098
0.422	0.1
0.423	0.098
0.424	0.1
0.425	0.1
0.426	0.098
0.427	0.098
0.428	0.1
0.429	0.097
0.43	0.097
0.431	0.096
0.432	0.097
0.433	0.097
0.434	0.097
0.435	0.097
0.436	0.097
0.437	0.096
0.438	0.096
0.439	0.096
0.44	0.096
0.441	0.097
0.442	0.093
0.443	0.093
0.444	0.096
0.445	0.096
0.446	0.093
0.447	0.091
0.448	0.093
0.449	0.091
0.45	0.091
0.451	0.091
0.452	0.091
0.453	0.09
0.454	0.089
0.455	0.087
0.456	0.089
0.457	0.089
0.458	0.09
0.459	0.089
0.46	0.087
0.461	0.087
0.462	0.086
0.463	0.086
0.464	0.086
0.465	0.086
0.466	0.086
0.467	0.086
0.468	0.086
0.469	0.085
0.47	0.086
0.471	0.083
0.472	0.085
0.473	0.085
0.474	0.086
0.475	0.085
0.476	0.085
0.477	0.086
0.478	0.085
0.479	0.082
0.48	0.082
0.481	0.083
0.482	0.085
0.483	0.085
0.484	0.083
0.485	0.085
0.486	0.083
0.487	0.083
0.488	0.083
0.489	0.082
0.49	0.082
0.491	0.08
0.492	0.082
0.493	0.082
0.494	0.083
0.495	0.083
0.496	0.085
0.497	0.085
0.498	0.082
0.499	0.08
0.5	0.085
0.501	0.082
0.502	0.082
0.503	0.082
0.504	0.082
0.505	0.08
0.506	0.083
0.507	0.082
0.508	0.082
0.509	0.085
0.51	0.085
0.511	0.082
0.512	0.08
0.513	0.082
0.514	0.083
0.515	0.082
0.516	0.082
0.517	0.083
0.518	0.082
0.519	0.083
0.52	0.08
0.521	0.08
0.522	0.082
0.523	0.079
0.524	0.079
0.525	0.083
0.526	0.083
0.527	0.083
0.528	0.083
0.529	0.085
0.53	0.083
0.531	0.083
0.532	0.083
0.533	0.083
0.534	0.083
0.535	0.083
0.536	0.082
0.537	0.082
0.538	0.083
0.539	0.083
0.54	0.082
0.541	0.083
0.542	0.083
0.543	0.082
0.544	0.083
0.545	0.082
0.546	0.082
0.547	0.083
0.548	0.082
0.549	0.083
0.55	0.083
0.551	0.083
0.552	0.083
0.553	0.085
0.554	0.085
0.555	0.085
0.556	0.087
0.557	0.087
0.558	0.086
0.559	0.083
0.56	0.085
0.561	0.085
0.562	0.083
0.563	0.083
0.564	0.083
0.565	0.085
0.566	0.086
0.567	0.086
0.568	0.085
0.569	0.086
0.57	0.086
0.571	0.086
0.572	0.086
0.573	0.086
0.574	0.083
0.575	0.085
0.576	0.083
0.577	0.085
0.578	0.086
0.579	0.086
0.58	0.085
0.581	0.085
0.582	0.086
0.583	0.086
0.584	0.086
0.585	0.085
0.586	0.083
0.587	0.086
0.588	0.083
0.589	0.085
0.59	0.085
0.591	0.085
0.592	0.085
0.593	0.086
0.594	0.086
0.595	0.085
0.596	0.086
0.597	0.085
0.598	0.086
0.599	0.086
0.6	0.086
0.601	0.086
0.602	0.086
0.603	0.087
0.604	0.085
0.605	0.087
0.606	0.086
0.607	0.087
0.608	0.086
0.609	0.087
0.61	0.087
0.611	0.087
0.612	0.087
0.613	0.086
0.614	0.086
0.615	0.086
0.616	0.086
0.617	0.086
0.618	0.086
0.619	0.086
0.62	0.085
0.621	0.086
0.622	0.086
0.623	0.086
0.624	0.086
0.625	0.086
0.626	0.087
0.627	0.086
0.628	0.086
0.629	0.086
0.63	0.087
0.631	0.087
0.632	0.089
0.633	0.086
0.634	0.086
0.635	0.086
0.636	0.086
0.637	0.087
0.638	0.087
0.639	0.087
0.64	0.089
0.641	0.086
0.642	0.086
0.643	0.086
0.644	0.086
0.645	0.086
0.646	0.089
0.647	0.086
0.648	0.086
0.649	0.087
0.65	0.086
0.651	0.089
0.652	0.089
0.653	0.087
0.654	0.087
0.655	0.089
0.656	0.087
0.657	0.087
0.658	0.089
0.659	0.089
0.66	0.086
0.661	0.087
0.662	0.089
0.663	0.089
0.664	0.09
0.665	0.087
0.666	0.089
0.667	0.089
0.668	0.089
0.669	0.087
0.67	0.089
0.671	0.09
0.672	0.087
0.673	0.089
0.674	0.089
0.675	0.09
0.676	0.089
0.677	0.089
0.678	0.089
0.679	0.09
0.68	0.089
0.681	0.089
0.682	0.089
0.683	0.089
0.684	0.089
0.685	0.09
0.686	0.09
0.687	0.089
0.688	0.089
0.689	0.089
0.69	0.089
0.691	0.09
0.692	0.089
0.693	0.089
0.694	0.089
0.695	0.09
0.696	0.087
0.697	0.089
0.698	0.087
0.699	0.087
0.7	0.087
0.701	0.089
0.702	0.089
0.703	0.087
0.704	0.089
0.705	0.087
0.706	0.089
0.707	0.09
0.708	0.087
0.709	0.09
0.71	0.091
0.711	0.09
0.712	0.091
0.713	0.091
0.714	0.091
0.715	0.09
0.716	0.09
0.717	0.091
0.718	0.09
0.719	0.09
0.72	0.091
0.721	0.093
0.722	0.091
0.723	0.091
0.724	0.09
0.725	0.091
0.726	0.093
0.727	0.091
0.728	0.093
0.729	0.09
0.73	0.089
0.731	0.089
0.732	0.09
0.733	0.091
0.734	0.09
0.735	0.091
0.736	0.093
0.737	0.093
0.738	0.093
0.739	0.093
0.74	0.093
0.741	0.091
0.742	0.091
0.743	0.09
0.744	0.093
0.745	0.093
0.746	0.093
0.747	0.091
0.748	0.093
0.749	0.091
0.75	0.09
0.751	0.091
0.752	0.09
0.753	0.089
0.754	0.091
0.755	0.091
0.756	0.091
0.757	0.09
0.758	0.09
0.759	0.091
0.76	0.091
0.761	0.091
0.762	0.091
0.763	0.09
0.764	0.091
0.765	0.09
0.766	0.09
0.767	0.091
0.768	0.091
0.769	0.093
0.77	0.09
0.771	0.09
0.772	0.091
0.773	0.091
0.774	0.09
0.775	0.09
0.776	0.091
0.777	0.091
0.778	0.091
0.779	0.091
0.78	0.09
0.781	0.09
0.782	0.091
0.783	0.091
0.784	0.093
0.785	0.091
0.786	0.091
0.787	0.091
0.788	0.091
0.789	0.091
0.79	0.091
0.791	0.091
0.792	0.091
0.793	0.091
0.794	0.091
0.795	0.093
0.796	0.09
0.797	0.09
0.798	0.085
0.799	0.081
0.8	0.095
0.804	0.095
