Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic   
Particle Size:  Whole rock chips
Sample No.:  ba9c1f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9c1fa.txt

0.4	0.101
0.401	0.101
0.402	0.1
0.403	0.101
0.404	0.1
0.405	0.1
0.406	0.098
0.407	0.097
0.408	0.1
0.409	0.101
0.41	0.1
0.411	0.1
0.412	0.098
0.413	0.097
0.414	0.098
0.415	0.098
0.416	0.1
0.417	0.097
0.418	0.097
0.419	0.097
0.42	0.096
0.421	0.096
0.422	0.096
0.423	0.097
0.424	0.097
0.425	0.097
0.426	0.096
0.427	0.093
0.428	0.094
0.429	0.096
0.43	0.094
0.431	0.094
0.432	0.094
0.433	0.091
0.434	0.091
0.435	0.093
0.436	0.091
0.437	0.091
0.438	0.091
0.439	0.09
0.44	0.09
0.441	0.089
0.442	0.089
0.443	0.087
0.444	0.089
0.445	0.089
0.446	0.087
0.447	0.087
0.448	0.087
0.449	0.087
0.45	0.087
0.451	0.086
0.452	0.086
0.453	0.085
0.454	0.082
0.455	0.083
0.456	0.085
0.457	0.085
0.458	0.083
0.459	0.083
0.46	0.083
0.461	0.083
0.462	0.08
0.463	0.082
0.464	0.082
0.465	0.079
0.466	0.082
0.467	0.083
0.468	0.079
0.469	0.082
0.47	0.079
0.471	0.078
0.472	0.078
0.473	0.08
0.474	0.078
0.475	0.079
0.476	0.078
0.477	0.078
0.478	0.078
0.479	0.078
0.48	0.078
0.481	0.078
0.482	0.078
0.483	0.076
0.484	0.075
0.485	0.076
0.486	0.075
0.487	0.075
0.488	0.075
0.489	0.075
0.49	0.075
0.491	0.075
0.492	0.075
0.493	0.075
0.494	0.075
0.495	0.075
0.496	0.075
0.497	0.075
0.498	0.074
0.499	0.074
0.5	0.075
0.501	0.074
0.502	0.071
0.503	0.074
0.504	0.074
0.505	0.074
0.506	0.074
0.507	0.074
0.508	0.075
0.509	0.075
0.51	0.074
0.511	0.074
0.512	0.074
0.513	0.074
0.514	0.074
0.515	0.072
0.516	0.074
0.517	0.072
0.518	0.074
0.519	0.074
0.52	0.072
0.521	0.072
0.522	0.074
0.523	0.074
0.524	0.072
0.525	0.072
0.526	0.072
0.527	0.072
0.528	0.072
0.529	0.074
0.53	0.072
0.531	0.074
0.532	0.074
0.533	0.072
0.534	0.074
0.535	0.072
0.536	0.071
0.537	0.069
0.538	0.071
0.539	0.071
0.54	0.072
0.541	0.071
0.542	0.072
0.543	0.069
0.544	0.069
0.545	0.069
0.546	0.069
0.547	0.069
0.548	0.071
0.549	0.071
0.55	0.072
0.551	0.071
0.552	0.071
0.553	0.072
0.554	0.074
0.555	0.074
0.556	0.075
0.557	0.075
0.558	0.075
0.559	0.072
0.56	0.072
0.561	0.071
0.562	0.071
0.563	0.071
0.564	0.069
0.565	0.069
0.566	0.071
0.567	0.071
0.568	0.071
0.569	0.071
0.57	0.074
0.571	0.072
0.572	0.072
0.573	0.071
0.574	0.071
0.575	0.069
0.576	0.072
0.577	0.071
0.578	0.072
0.579	0.071
0.58	0.071
0.581	0.069
0.582	0.071
0.583	0.071
0.584	0.071
0.585	0.071
0.586	0.071
0.587	0.071
0.588	0.071
0.589	0.071
0.59	0.069
0.591	0.071
0.592	0.071
0.593	0.068
0.594	0.071
0.595	0.069
0.596	0.069
0.597	0.071
0.598	0.071
0.599	0.069
0.6	0.069
0.601	0.069
0.602	0.071
0.603	0.072
0.604	0.072
0.605	0.072
0.606	0.071
0.607	0.072
0.608	0.069
0.609	0.071
0.61	0.071
0.611	0.071
0.612	0.069
0.613	0.071
0.614	0.071
0.615	0.071
0.616	0.071
0.617	0.071
0.618	0.071
0.619	0.071
0.62	0.071
0.621	0.069
0.622	0.069
0.623	0.069
0.624	0.071
0.625	0.071
0.626	0.071
0.627	0.069
0.628	0.072
0.629	0.074
0.63	0.072
0.631	0.071
0.632	0.071
0.633	0.072
0.634	0.071
0.635	0.072
0.636	0.071
0.637	0.071
0.638	0.071
0.639	0.071
0.64	0.071
0.641	0.071
0.642	0.071
0.643	0.071
0.644	0.072
0.645	0.071
0.646	0.069
0.647	0.072
0.648	0.072
0.649	0.072
0.65	0.072
0.651	0.072
0.652	0.071
0.653	0.072
0.654	0.072
0.655	0.072
0.656	0.072
0.657	0.072
0.658	0.072
0.659	0.072
0.66	0.072
0.661	0.074
0.662	0.071
0.663	0.072
0.664	0.072
0.665	0.074
0.666	0.074
0.667	0.074
0.668	0.072
0.669	0.072
0.67	0.072
0.671	0.071
0.672	0.072
0.673	0.072
0.674	0.072
0.675	0.074
0.676	0.074
0.677	0.072
0.678	0.074
0.679	0.074
0.68	0.074
0.681	0.072
0.682	0.072
0.683	0.074
0.684	0.074
0.685	0.072
0.686	0.074
0.687	0.074
0.688	0.074
0.689	0.072
0.69	0.074
0.691	0.072
0.692	0.072
0.693	0.072
0.694	0.072
0.695	0.074
0.696	0.071
0.697	0.072
0.698	0.069
0.699	0.074
0.7	0.072
0.701	0.074
0.702	0.071
0.703	0.071
0.704	0.072
0.705	0.074
0.706	0.075
0.707	0.072
0.708	0.072
0.709	0.072
0.71	0.074
0.711	0.075
0.712	0.075
0.713	0.075
0.714	0.075
0.715	0.072
0.716	0.075
0.717	0.074
0.718	0.074
0.719	0.074
0.72	0.074
0.721	0.074
0.722	0.075
0.723	0.075
0.724	0.075
0.725	0.075
0.726	0.075
0.727	0.075
0.728	0.075
0.729	0.075
0.73	0.074
0.731	0.075
0.732	0.074
0.733	0.075
0.734	0.075
0.735	0.075
0.736	0.075
0.737	0.075
0.738	0.075
0.739	0.075
0.74	0.075
0.741	0.075
0.742	0.075
0.743	0.075
0.744	0.075
0.745	0.074
0.746	0.075
0.747	0.075
0.748	0.075
0.749	0.075
0.75	0.075
0.751	0.075
0.752	0.075
0.753	0.075
0.754	0.076
0.755	0.076
0.756	0.075
0.757	0.075
0.758	0.075
0.759	0.075
0.76	0.075
0.761	0.075
0.762	0.075
0.763	0.075
0.764	0.075
0.765	0.075
0.766	0.075
0.767	0.075
0.768	0.075
0.769	0.076
0.77	0.076
0.771	0.075
0.772	0.076
0.773	0.078
0.774	0.075
0.775	0.076
0.776	0.075
0.777	0.075
0.778	0.076
0.779	0.076
0.78	0.075
0.781	0.076
0.782	0.075
0.783	0.076
0.784	0.075
0.785	0.075
0.786	0.076
0.787	0.076
0.788	0.076
0.789	0.076
0.79	0.078
0.791	0.076
0.792	0.076
0.793	0.076
0.794	0.078
0.795	0.078
0.796	0.079
0.797	0.076
0.798	0.071
0.799	0.067
0.8	0.079
0.804	0.079
0.808	0.081
