Name: Graphite Schist 
Type:  Rocks
Class:  Metamorphic 
Subclass: Schist 
Particle Size:  500-1500 Micrometer
Sample No.:   schist5.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 468, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description:  This schistose rock contains abundant carbonaceous grains 
throughout the section along with quartz.  The quartz grains are often strained, 
contain fluid inclusions, and evidence some pressure solution, while other 
regions of quartz have recrystallized.  


Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  schist5a.txt

14.9831	6.9595
14.9399	6.8958
14.897	6.875
14.8543	6.8826
14.8119	6.902
14.7697	6.9188
14.7277	6.9233
14.686	6.911
14.6445	6.8831
14.6033	6.8428
14.5622	6.7945
14.5214	6.7426
14.4809	6.69
14.4405	6.6394
14.4004	6.593
14.3605	6.5532
14.3209	6.5221
14.2814	6.5027
14.2422	6.4959
14.2032	6.5023
14.1643	6.521
14.1258	6.5494
14.0874	6.584
14.0492	6.6207
14.0112	6.6552
13.9734	6.6841
13.9359	6.705
13.8985	6.7166
13.8614	6.7189
13.8244	6.713
13.7876	6.7019
13.7511	6.6882
13.7147	6.6758
13.6785	6.6673
13.6425	6.6649
13.6067	6.6694
13.5711	6.6806
13.5356	6.6964
13.5004	6.7156
13.4653	6.7362
13.4304	6.7571
13.3957	6.7774
13.3612	6.7978
13.3269	6.8179
13.2927	6.8388
13.2587	6.8598
13.2249	6.8819
13.1912	6.9051
13.1577	6.9316
13.1244	6.9636
13.0913	7.0055
13.0583	7.0609
13.0255	7.1324
12.9929	7.2198
12.9604	7.3193
12.9281	7.4223
12.8959	7.5172
12.8639	7.5921
12.8321	7.6366
12.8004	7.6463
12.7688	7.6233
12.7375	7.5767
12.7063	7.5198
12.6752	7.4673
12.6443	7.4294
12.6135	7.4104
12.5829	7.4052
12.5524	7.401
12.5221	7.3811
12.4919	7.3294
12.4619	7.2357
12.432	7.0986
12.4023	6.9266
12.3727	6.7365
12.3432	6.5489
12.3139	6.3843
12.2847	6.2588
12.2557	6.1797
12.2268	6.1477
12.198	6.1553
12.1694	6.1918
12.1409	6.2451
12.1125	6.3045
12.0843	6.3623
12.0562	6.4142
12.0282	6.4592
12.0003	6.4978
11.9726	6.5309
11.945	6.5605
11.9176	6.587
11.8903	6.6112
11.8631	6.6332
11.836	6.6531
11.809	6.6713
11.7822	6.6882
11.7555	6.7043
11.7289	6.7201
11.7024	6.7358
11.676	6.7511
11.6498	6.7663
11.6237	6.7807
11.5977	6.7938
11.5718	6.8056
11.546	6.816
11.5203	6.8253
11.4948	6.8338
11.4694	6.8423
11.444	6.8518
11.4188	6.862
11.3937	6.8738
11.3688	6.8873
11.3439	6.9025
11.3191	6.9193
11.2944	6.9373
11.2699	6.9558
11.2455	6.9749
11.2211	6.9936
11.1969	7.0121
11.1727	7.0301
11.1487	7.0479
11.1248	7.0659
11.101	7.0851
11.0773	7.1059
11.0536	7.1289
11.0301	7.1537
11.0067	7.1803
10.9834	7.2073
10.9602	7.2335
10.937	7.2582
10.914	7.2804
10.8911	7.2994
10.8682	7.3152
10.8455	7.3283
10.8229	7.3389
10.8003	7.3477
10.7779	7.3557
10.7555	7.3631
10.7332	7.3709
10.7111	7.3797
10.689	7.3898
10.667	7.4019
10.6451	7.4166
10.6233	7.4334
10.6015	7.4528
10.5799	7.4741
10.5584	7.4971
10.5369	7.5215
10.5155	7.5471
10.4942	7.5743
10.473	7.6034
10.4519	7.6352
10.4309	7.6702
10.4099	7.7088
10.3891	7.7515
10.3683	7.7979
10.3476	7.8478
10.327	7.9014
10.3065	7.9575
10.286	8.016
10.2656	8.0766
10.2454	8.1389
10.2251	8.2028
10.205	8.2677
10.185	8.3331
10.165	8.3987
10.1451	8.464
10.1253	8.5284
10.1056	8.5917
10.0859	8.654
10.0663	8.7153
10.0468	8.7762
10.0274	8.837
10.008	8.8974
9.9887	8.9566
9.9695	9.0134
9.9504	9.0658
9.9313	9.1115
9.9123	9.1484
9.8934	9.1759
9.8746	9.1948
9.8558	9.2076
9.8371	9.2185
9.8185	9.2323
9.7999	9.2545
9.7814	9.2893
9.763	9.3398
9.7447	9.4063
9.7264	9.488
9.7082	9.582
9.69	9.6848
9.6719	9.7921
9.6539	9.9006
9.636	10.0081
9.6181	10.113
9.6003	10.2158
9.5825	10.3176
9.5649	10.4208
9.5472	10.53
9.5297	10.6506
9.5122	10.7886
9.4948	10.9518
9.4774	11.1462
9.4601	11.3773
9.4429	11.6466
9.4257	11.9516
9.4086	12.2855
9.3916	12.6367
9.3746	12.9898
9.3577	13.3287
9.3408	13.6373
9.324	13.9023
9.3073	14.1152
9.2906	14.2724
9.274	14.3752
9.2574	14.4292
9.2409	14.4432
9.2245	14.4268
9.2081	14.3892
9.1918	14.339
9.1755	14.2826
9.1593	14.2243
9.1431	14.167
9.127	14.1123
9.111	14.0609
9.095	14.0126
9.0791	13.9674
9.0632	13.9252
9.0474	13.8869
9.0316	13.8518
9.0159	13.821
9.0003	13.7945
8.9847	13.7727
8.9691	13.7552
8.9536	13.7419
8.9382	13.7322
8.9228	13.7256
8.9075	13.7216
8.8922	13.7197
8.877	13.7199
8.8618	13.723
8.8467	13.7292
8.8316	13.7386
8.8166	13.7505
8.8016	13.7611
8.7867	13.7642
8.7718	13.7502
8.757	13.7078
8.7422	13.6257
8.7275	13.4966
8.7129	13.3207
8.6982	13.1075
8.6837	12.8783
8.6692	12.6611
8.6547	12.4887
8.6403	12.3895
8.6259	12.3831
8.6116	12.4747
8.5973	12.6535
8.583	12.8958
8.5688	13.17
8.5547	13.4426
8.5406	13.6861
8.5266	13.8817
8.5126	14.0226
8.4986	14.1114
8.4847	14.1583
8.4708	14.1758
8.457	14.1763
8.4432	14.1692
8.4295	14.1604
8.4158	14.1523
8.4022	14.145
8.3886	14.1377
8.375	14.1291
8.3615	14.1185
8.3481	14.1059
8.3347	14.092
8.3213	14.0775
8.3079	14.0631
8.2946	14.0484
8.2814	14.0323
8.2682	14.0114
8.255	13.9821
8.2419	13.9378
8.2288	13.8722
8.2158	13.7784
8.2028	13.6498
8.1898	13.4819
8.1769	13.2731
8.164	13.0237
8.1512	12.7381
8.1384	12.4234
8.1256	12.0885
8.1129	11.7437
8.1002	11.3989
8.0876	11.0633
8.075	10.7431
8.0624	10.4433
8.0499	10.1653
8.0374	9.9084
8.025	9.6708
8.0126	9.4497
8.0002	9.2415
7.9879	9.0445
7.9756	8.8562
7.9634	8.6762
7.9512	8.5043
7.939	8.3411
7.9268	8.1879
7.9147	8.0451
7.9027	7.9134
7.8906	7.7936
7.8786	7.6851
7.8667	7.5878
7.8548	7.5014
7.8429	7.4254
7.831	7.3588
7.8192	7.301
7.8075	7.2511
7.7957	7.2082
7.784	7.171
7.7723	7.1383
7.7607	7.1087
7.7491	7.0815
7.7375	7.0557
7.726	7.0301
7.7145	7.005
7.7031	6.9799
7.6916	6.9548
7.6802	6.9295
7.6689	6.9044
7.6575	6.8797
7.6462	6.8561
7.635	6.8333
7.6238	6.812
7.6126	6.7926
7.6014	6.7751
7.5903	6.7597
7.5792	6.7457
7.5681	6.7331
7.5571	6.7215
7.5461	6.7102
7.5351	6.6983
7.5242	6.6863
7.5133	6.6739
7.5024	6.6612
7.4916	6.6491
7.4807	6.6375
7.47	6.6275
7.4592	6.6192
7.4485	6.6126
7.4378	6.6074
7.4272	6.6031
7.4165	6.5993
7.4059	6.5958
7.3954	6.5915
7.3848	6.587
7.3743	6.5823
7.3639	6.5776
7.3534	6.5733
7.343	6.57
7.3326	6.5683
7.3223	6.5683
7.3119	6.5705
7.3016	6.5747
7.2914	6.5806
7.2811	6.588
7.2709	6.5963
7.2607	6.605
7.2506	6.6136
7.2404	6.6214
7.2303	6.628
7.2203	6.6334
7.2102	6.6379
7.2002	6.642
7.1902	6.6465
7.1803	6.6514
7.1703	6.6576
