Name: Red Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  500 - 1500 Micrometer
File Name:   qtzite1.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 377, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description:  A well-compacted sample with medium-grained subangular to 
subrounded quartz grains and small amounts of interstitial calcite cement.  There 
is also a trace amount of secondary quartz cement   Fluid inclusions are common 
in the quartz with some grains showing strain while trace amounts of feldspar are 
present.  The calcite cement itself is stained with ferruginous material and some 
clay.  Modal analyses gave 69% quartz, 25% calcite, 5% clay, 1% feldspar.    
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112	
Last X Value:  0.4
Number of X Values:  2844
Additional Information:  None

7.9634	7.8101
7.9512	7.318
7.939	6.8394
7.9268	6.3856
7.9147	5.9661
7.9027	5.5893
7.8906	5.2567
7.8786	4.9656
7.8667	4.7078
7.8548	4.4779
7.8429	4.2701
7.831	4.082
7.8192	3.9145
7.8075	3.7698
7.7957	3.6478
7.784	3.5462
7.7723	3.4587
7.7607	3.3795
7.7491	3.302
7.7375	3.2214
7.726	3.1352
7.7145	3.0436
7.7031	2.9476
7.6916	2.8477
7.6802	2.7443
7.6689	2.6407
7.6575	2.5388
7.6462	2.443
7.635	2.3572
7.6238	2.2835
7.6126	2.2218
7.6014	2.1703
7.5903	2.1272
7.5792	2.0906
7.5681	2.0566
7.5571	2.0236
7.5461	1.9894
7.5351	1.9535
7.5242	1.9162
7.5133	1.8808
7.5024	1.8516
7.4916	1.8301
7.4807	1.8157
7.47	1.8061
7.4592	1.7975
7.4485	1.7884
7.4378	1.7779
7.4272	1.7674
7.4165	1.7585
7.4059	1.7512
7.3954	1.7439
7.3848	1.7349
7.3743	1.722
7.3639	1.7057
7.3534	1.6884
7.343	1.675
7.3326	1.6693
7.3223	1.6743
7.3119	1.6896
7.3016	1.7119
7.2914	1.7336
7.2811	1.7502
7.2709	1.7593
7.2607	1.7648
7.2506	1.7719
7.2404	1.7877
7.2303	1.8153
7.2203	1.8545
7.2102	1.9002
7.2002	1.9469
7.1902	1.992
7.1803	2.0359
7.1703	2.0787
7.1604	2.1248
7.1506	2.178
7.1407	2.2414
7.1309	2.316
7.1211	2.4009
7.1113	2.4923
7.1016	2.584
7.0919	2.6673
7.0822	2.7357
7.0725	2.7859
7.0629	2.8187
7.0533	2.8386
7.0437	2.8515
7.0341	2.8622
7.0246	2.8761
7.0151	2.894
7.0056	2.9134
6.9962	2.9307
6.9867	2.9422
6.9773	2.9453
6.9679	2.9393
6.9586	2.9269
6.9493	2.9141
6.94	2.907
6.9307	2.9091
6.9214	2.9218
6.9122	2.944
6.903	2.9702
6.8938	2.9928
6.8847	3.0084
6.8755	3.0168
6.8664	3.019
6.8573	3.0175
6.8483	3.017
6.8393	3.0202
6.8302	3.0263
6.8213	3.0355
6.8123	3.0481
6.8034	3.0653
6.7944	3.0867
6.7855	3.1103
6.7767	3.1334
6.7678	3.1531
6.759	3.1682
6.7502	3.18
6.7414	3.1912
6.7327	3.2049
6.7239	3.2228
6.7152	3.2439
6.7065	3.2661
6.6979	3.2893
6.6892	3.3149
6.6806	3.3448
6.672	3.3797
6.6634	3.419
6.6549	3.4599
6.6464	3.4996
6.6378	3.5351
6.6294	3.5666
6.6209	3.5941
6.6124	3.6174
6.604	3.636
6.5956	3.6499
6.5872	3.6609
6.5789	3.6724
6.5705	3.6879
6.5622	3.7118
6.5539	3.7439
6.5456	3.7812
6.5374	3.8188
6.5292	3.853
6.5209	3.8822
6.5128	3.9087
6.5046	3.9348
6.4964	3.963
6.4883	3.9925
6.4802	4.0169
6.4721	4.0243
6.464	4.0015
6.456	3.9389
6.448	3.8329
6.4399	3.6876
6.432	3.5152
6.424	3.3297
6.416	3.1436
6.4081	2.9629
6.4002	2.7906
6.3923	2.6273
6.3844	2.4737
6.3766	2.3313
6.3687	2.2024
6.3609	2.0861
6.3531	1.9784
6.3454	1.8755
6.3376	1.7751
6.3299	1.6775
6.3221	1.5858
6.3144	1.5047
6.3068	1.4368
6.2991	1.3827
6.2914	1.3405
6.2838	1.309
6.2762	1.2864
6.2686	1.2715
6.2611	1.2602
6.2535	1.2474
6.246	1.2308
6.2385	1.2089
6.231	1.1838
6.2235	1.1588
6.216	1.1389
6.2086	1.1264
6.2011	1.1197
6.1937	1.1161
6.1863	1.1151
6.179	1.1171
6.1716	1.1207
6.1643	1.1247
6.157	1.1291
6.1496	1.1317
6.1424	1.1331
6.1351	1.1362
6.1278	1.1458
6.1206	1.1631
6.1134	1.1853
6.1062	1.2076
6.099	1.2243
6.0918	1.231
6.0847	1.2286
6.0776	1.2222
6.0704	1.2174
6.0633	1.2185
6.0563	1.2267
6.0492	1.2413
6.0421	1.2604
6.0351	1.2791
6.0281	1.2949
6.0211	1.3061
6.0141	1.3118
6.0071	1.3113
6.0002	1.3054
5.9932	1.297
5.9863	1.2881
5.9794	1.2796
5.9725	1.2731
5.9657	1.2698
5.9588	1.2698
5.952	1.2731
5.9451	1.2783
5.9383	1.2846
5.9315	1.2903
5.9247	1.2934
5.918	1.2951
5.9112	1.297
5.9045	1.3032
5.8978	1.3155
5.8911	1.3341
5.8844	1.3573
5.8777	1.3817
5.8711	1.4049
5.8644	1.4257
5.8578	1.4449
5.8512	1.463
5.8446	1.481
5.838	1.4975
5.8314	1.5121
5.8249	1.5246
5.8184	1.537
5.8118	1.5515
5.8053	1.5703
5.7988	1.5937
5.7923	1.6202
5.7859	1.6478
5.7794	1.6738
5.773	1.6971
5.7666	1.7167
5.7602	1.7334
5.7538	1.7482
5.7474	1.7633
5.741	1.7796
5.7347	1.7968
5.7283	1.8143
5.722	1.8301
5.7157	1.8413
5.7094	1.8458
5.7031	1.843
5.6969	1.8332
5.6906	1.8164
5.6844	1.7937
5.6782	1.7669
5.6719	1.7389
5.6657	1.7126
