Name: Banded Hornfels 
Type:  Rocks
Class: Metamorphic 
Subclass: Hornfels 
Particle Size:  500-1500 Micrometer
Sample No.:  hornfel1.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 470, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description:  This is a fine-grained to microcrystalline sample showing relict 
bedding.  It consists of a pleochroic greenish brown phase--probably epidote; and 
cordierite or andalusite.  The latter occur as the coarser grains in veins parallel to 
the bedding, as well as finer material along with the epidote in the groundmass.  
In addition there are scattered grains of calcite and opaques, along with veinlets 
of carbonaceous material which again parallel the bedding.  
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4000
Number of X Values: 2868
Additional Information:  None

14.9831	2.1958
14.9399	1.6681
14.897	1.149	
14.8543	1.0685
14.8119	1.4967
14.7697	1.4512
14.7277	1.2229
14.686	1.1168
14.6445	1.0666
14.6033	1.3494
14.5214	1.4346
14.4809	1.3001
14.4405	1.1471
14.4004	1.3584
14.3605	1.5241
14.3209	1.5322
14.2814	1.5492
14.2422	1.5253
14.2032	1.6681
14.1643	1.6634
14.1258	1.6305
14.0874	1.6968
14.0492	1.7141
14.0112	1.6156
13.9734	1.6203
13.9359	1.6646
13.8985	1.7029
13.8614	1.688
13.8244	1.71
13.7876	1.7567
13.7511	1.7747
13.7147	1.7785
13.6785	1.8197
13.6425	1.805
13.6067	1.7674
13.5711	1.7333
13.5356	1.7482
13.5004	1.7827
13.4653	1.8585
13.4304	1.8983
13.3957	1.8827
13.3612	1.9
13.3269	1.9478
13.2927	1.94
13.2587	1.9658
13.2249	1.9592
13.1912	1.9533
13.1577	1.9615
13.1244	2.0028
13.0913	2.0241
13.0583	2.0376
13.0255	2.0132
12.9929	1.949
12.9604	1.9315
12.9281	1.9623
12.8959	2.0016
12.8639	2.0409
12.8321	2.0271
12.8004	2.0248
12.7688	2.0845
12.7375	2.1233
12.7063	2.1226
12.6752	2.1759
12.6443	2.2218
12.6135	2.24
12.5829	2.2592
12.5524	2.3016
12.5221	2.3298
12.4919	2.3843
12.4619	2.4307
12.432	2.4465
12.4023	2.4686
12.3727	2.5268
12.3432	2.6021
12.3139	2.6128
12.2847	2.6625
12.2557	2.7461
12.2268	2.7696
12.198	2.8084
12.1694	2.8442
12.1409	2.8704
12.1125	2.9735
12.0843	3.0521
12.0562	3.0959
12.0282	3.1392
12.0003	3.1935
11.9726	3.2669
11.945	3.345
11.9176	3.3798
11.8903	3.4139
11.8631	3.503
11.836	3.5603
11.809	3.6368
11.7822	3.7289
11.7555	3.8705
11.7289	4.0055
11.7024	4.1263
11.676	4.2579
11.6498	4.37
11.6237	4.4813
11.5977	4.5698
11.5718	4.6676
11.546	4.8012
11.5203	4.8865
11.4948	4.9502
11.4694	5.0622
11.444	5.191
11.4188	5.3194
11.3937	5.4077
11.3688	5.5086
11.3439	5.6014
11.3191	5.6296
11.2944	5.6696
11.2699	5.7184
11.2455	5.7177
11.2211	5.7087
11.1969	5.7141
11.1727	5.6987
11.1487	5.7298
11.1248	5.7939
11.101	5.8477
11.0773	5.9055
11.0536	5.927
11.0301	5.9104
11.0067	5.9535
10.9834	6.0161
10.9602	6.0362
10.937	6.0866
10.914	6.1089
10.8911	6.0781
