Name: Green Slate
Type:  Rocks
Class:  Metamorphic 
Subclass: Slate
Particle Size:  500-1500 Micrometer
Sample No.:   slate2.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 461, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a medium-grained sample dissected by thin veins.  
Microscopically it consists of about equal amounts of actinolite and recrystallized 
albite lathes.  The groundmass also consists of some chlorite, and carbonate, 
which is especially prominent in the veins, along with scattered pyrite.  Modes 
were 59.3% amphibole, 25.7% albite, 10.8% chlorite, 3% calcite and 1% pyrite.

Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112	
Last X Value:  0.4
Number of X Values: 2844
Additional Information:  None

7.939	2.0086
7.9268	1.9768
7.9147	1.9482
7.9027	1.9253
7.8906	1.9059
7.8786	1.8861
7.8667	1.8624
7.8548	1.836
7.8429	1.8103
7.831	1.791
7.8192	1.7844
7.8075	1.7894
7.7957	1.7987
7.784	1.805
7.7723	1.8033
7.7607	1.7958
7.7491	1.7887
7.7375	1.7897
7.726	1.8038
7.7145	1.8257
7.7031	1.844
7.6916	1.8461
7.6802	1.826
7.6689	1.7875
7.6575	1.7406
7.6462	1.6997
7.635	1.6767
7.6238	1.6758
7.6126	1.6937
7.6014	1.7226
7.5903	1.7542
7.5792	1.7827
7.5681	1.8045
7.5571	1.8189
7.5461	1.8251
7.5351	1.8241
7.5242	1.8184
7.5133	1.8095
7.5024	1.7973
7.4916	1.7824
7.4807	1.7664
7.47	1.7514
7.4592	1.7379
7.4485	1.7284
7.4378	1.7258
7.4272	1.7318
7.4165	1.7459
7.4059	1.7666
7.3954	1.7918
7.3848	1.8167
7.3743	1.8353
7.3639	1.8428
7.3534	1.8385
7.343	1.8257
7.3326	1.8111
7.3223	1.8013
7.3119	1.8007
7.3016	1.8105
7.2914	1.8265
7.2811	1.8428
7.2709	1.8545
7.2607	1.8602
7.2506	1.8599
7.2404	1.8559
7.2303	1.8518
7.2203	1.8523
7.2102	1.8597
7.2002	1.8758
7.1902	1.9006
7.1803	1.9315
7.1703	1.9628
7.1604	1.9902
7.1506	2.0119
7.1407	2.0294
7.1309	2.044
7.1211	2.0603
7.1113	2.0818
7.1016	2.1081
7.0919	2.1366
7.0822	2.1632
7.0725	2.1871
7.0629	2.2074
7.0533	2.2236
7.0437	2.2368
7.0341	2.25
7.0246	2.2651
7.0151	2.2802
7.0056	2.2921
6.9962	2.2988
6.9867	2.2986
6.9773	2.2897
6.9679	2.2727
6.9586	2.2536
6.9493	2.237
6.94	2.2244
6.9307	2.2143
6.9214	2.2074
6.9122	2.2052
6.903	2.2062
6.8938	2.2098
6.8847	2.2172
6.8755	2.2282
6.8664	2.2402
6.8573	2.2495
6.8483	2.255
6.8393	2.256
6.8302	2.2512
6.8213	2.2395
6.8123	2.2244
6.8034	2.2098
6.7944	2.1987
6.7855	2.1935
6.7767	2.1962
6.7678	2.2062
6.759	2.2206
6.7502	2.2366
6.7414	2.2531
6.7327	2.2691
6.7239	2.2835
6.7152	2.2952
6.7065	2.3048
6.6979	2.3124
6.6892	2.3182
6.6806	2.3227
6.672	2.3268
6.6634	2.329
6.6549	2.328
6.6464	2.3232
6.6378	2.3167
6.6294	2.3107
6.6209	2.3074
6.6124	2.3093
6.604	2.3157
6.5956	2.3237
6.5872	2.3292
6.5789	2.3294
6.5705	2.3253
6.5622	2.3179
6.5539	2.3071
6.5456	2.295
6.5374	2.2827
6.5292	2.2711
6.5209	2.2596
6.5128	2.2502
6.5046	2.2478
6.4964	2.2523
6.4883	2.2605
6.4802	2.2691
6.4721	2.2754
6.464	2.276
6.456	2.2684
6.448	2.2553
6.4399	2.2399
6.432	2.2227
6.424	2.204
6.416	2.1849
6.4081	2.1655
6.4002	2.1444
6.3923	2.122
6.3844	2.0999
6.3766	2.0782
6.3687	2.0566
6.3609	2.0382
6.3531	2.0246
6.3454	2.0146
6.3376	2.0057
6.3299	1.997
6.3221	1.9875
6.3144	1.9748
6.3068	1.9624
6.2991	1.954
6.2914	1.9521
6.2838	1.9555
6.2762	1.9607
6.2686	1.9638
6.2611	1.9612
6.2535	1.9504
6.246	1.9336
6.2385	1.915
6.231	1.8994
6.2235	1.8908
6.216	1.8899
6.2086	1.8966
6.2011	1.91
6.1937	1.927
6.1863	1.9434
6.179	1.9562
6.1716	1.9638
6.1643	1.9662
6.157	1.964
6.1496	1.9619
6.1424	1.9643
6.1351	1.9722
6.1278	1.9846
6.1206	1.9987
6.1134	2.0121
6.1062	2.0224
6.099	2.0284
6.0918	2.0317
6.0847	2.0339
6.0776	2.037
6.0704	2.0408
6.0633	2.0458
6.0563	2.0543
6.0492	2.0657
6.0421	2.0794
6.0351	2.0928
6.0281	2.1054
6.0211	2.1157
6.0141	2.1205
6.0071	2.1195
6.0002	2.115
5.9932	2.1064
5.9863	2.0951
5.9794	2.0842
5.9725	2.0777
5.9657	2.0772
5.9588	2.0808
5.952	2.0878
5.9451	2.0956
5.9383	2.0999
5.9315	2.0999
5.9247	2.0988
5.918	2.1009
5.9112	2.1086
5.9045	2.1225
5.8978	2.1423
5.8911	2.1638
5.8844	2.1813
5.8777	2.1919
5.8711	2.1962
5.8644	2.1969
5.8578	2.1964
5.8512	2.198
5.8446	2.2045
5.838	2.2153
5.8314	2.227
5.8249	2.2368
5.8184	2.2437
5.8118	2.2466
5.8053	2.2462
5.7988	2.2452
5.7923	2.2483
5.7859	2.2578
5.7794	2.2734
5.773	2.2925
5.7666	2.3107
5.7602	2.3232
5.7538	2.327
5.7474	2.3242
5.741	2.3187
5.7347	2.3144
5.7283	2.3119
5.722	2.3105
5.7157	2.3079
5.7094	2.3019
5.7031	2.2928
5.6969	2.282
5.6906	2.2727
5.6844	2.2669
5.6782	2.2664
5.6719	2.2727
5.6657	2.2865
5.6596	2.3079
5.6534	2.3325
5.6472	2.3541
5.6411	2.3684
5.6349	2.374
5.6288	2.373
5.6227	2.3718
5.6166	2.3763
5.6106	2.3888
5.6045	2.4055
5.5984	2.4189
5.5924	2.4258
5.5864	2.4251
5.5804	2.4198
5.5744	2.416
5.5684	2.4208
5.5624	2.4374
5.5564	2.4622
5.5505	2.4895
5.5445	2.5141
5.5386	2.5309
5.5327	2.5371
5.5268	2.5371
5.5209	2.538
5.5151	2.5453
5.5092	2.5605
5.5033	2.5835
5.4975	2.6098
5.4917	2.6335
5.4859	2.651
5.4801	2.6651
5.4743	2.6784
5.4685	2.6926
5.4628	2.7093
5.457	2.7277
5.4513	2.745
5.4455	2.7584
5.4398	2.7684
5.4341	2.7773
5.4284	2.7847
5.4228	2.7916
5.4171	2.7991
5.4114	2.8062
5.4058	2.812
5.4002	2.8165
5.3945	2.8201
5.3889	2.8215
5.3833	2.8213
5.3778	2.823
5.3722	2.8288
5.3666	2.8397
5.3611	2.8555
5.3555	2.8739
5.35	2.8887
5.3445	2.895
5.339	2.8943
5.3335	2.8907
5.328	2.8887
5.3225	2.8935
5.3171	2.9091
5.3116	2.9337
5.3062	2.9611
5.3008	2.985
5.2954	3.0022
5.29	3.0094
5.2846	3.0061
5.2792	2.9958
5.2738	2.9845
5.2684	2.9752
5.2631	2.9699
5.2578	2.9711
5.2524	2.9797
5.2471	2.9953
5.2418	3.0185
5.2365	3.0496
5.2312	3.0843
5.226	3.1166
5.2207	3.1415
5.2154	3.1558
5.2102	3.1596
5.205	3.157
5.1998	3.1551
5.1945	3.1594
5.1893	3.1719
5.1842	3.1908
5.179	3.2125
5.1738	3.2321
5.1686	3.2458
5.1635	3.2517
5.1584	3.2522
5.1532	3.2506
5.1481	3.2508
5.143	3.257
5.1379	3.2707
5.1328	3.2924
5.1277	3.3195
5.1227	3.348
5.1176	3.374
5.1126	3.3941
5.1075	3.4071
5.1025	3.4142
5.0975	3.4194
5.0925	3.4264
5.0875	3.4383
5.0825	3.4546
5.0775	3.4723
5.0726	3.4876
5.0676	3.4989
5.0627	3.507
5.0577	3.5133
5.0528	3.5216
5.0479	3.5355
5.043	3.5549
5.038	3.5776
5.0332	3.5998
5.0283	3.6197
5.0234	3.6355
5.0185	3.647
5.0137	3.6571
5.0088	3.669
5.004	3.6853
4.9992	3.7056
4.9944	3.7276
4.9896	3.7484
4.9848	3.7659
4.98	3.7798
4.9752	3.792
4.9704	3.804
4.9657	3.8186
4.9609	3.837
4.9562	3.8599
4.9514	3.8889
4.9467	3.9245
4.942	3.9673
4.9373	4.0143
4.9326	4.0588
4.9279	4.0956
4.9232	4.1212
4.9186	4.1363
4.9139	4.1444
4.9092	4.1499
4.9046	4.1578
4.9	4.1707
4.8953	4.1877
4.8907	4.209
4.8861	4.2351
4.8815	4.2669
4.8769	4.3033
4.8723	4.3423
4.8678	4.383
4.8632	4.4243
4.8586	4.466
4.8541	4.5093
4.8495	4.5554
4.845	4.6031
4.8405	4.6485
4.836	4.688
4.8315	4.7194
4.827	4.743
4.8225	4.7631
4.818	4.7856
4.8135	4.8141
4.809	4.8497
4.8046	4.8912
4.8001	4.934
4.7957	4.9747
4.7913	5.0115
4.7868	5.0464
4.7824	5.0821
4.778	5.1201
4.7736	5.1636
4.7692	5.2144
4.7648	5.2732
4.7605	5.339
4.7561	5.4111
4.7517	5.4874
4.7474	5.5651
4.7431	5.6417
4.7387	5.7178
4.7344	5.7953
4.7301	5.8757
4.7258	5.9577
4.7215	6.0395
4.7172	6.1182
4.7129	6.1912
4.7086	6.259
4.7043	6.3245
4.7	6.3922
4.6958	6.4638
4.6915	6.5363
4.6873	6.6059
4.6831	6.6686
4.6788	6.7219
4.6746	6.7697
4.6704	6.82
4.6662	6.882
4.662	6.96
4.6578	7.0511
4.6536	7.1473
4.6495	7.2385
4.6453	7.316
4.6411	7.3777
4.637	7.4292
4.6328	7.4811
4.6287	7.5435
4.6246	7.6196
4.6205	7.7094
4.6163	7.8093
4.6122	7.9137
4.6081	8.0173
4.604	8.1192
4.6	8.223
4.5959	8.3322
4.5918	8.4472
4.5877	8.5692
4.5837	8.6977
4.5796	8.8298
4.5756	8.9606
4.5716	9.087
4.5675	9.2083
4.5635	9.3248
4.5595	9.437
4.5555	9.5447
4.5515	9.6483
4.5475	9.7492
4.5435	9.8466
4.5395	9.9416
4.5356	10.0359
4.5316	10.1318
4.5276	10.2285
4.5237	10.3232
4.5197	10.4149
4.5158	10.5027
4.5119	10.5886
4.508	10.6754
4.504	10.7656
4.5001	10.8592
4.4962	10.9523
4.4923	11.0403
4.4884	11.1205
4.4846	11.1937
4.4807	11.2649
4.4768	11.3406
4.473	11.4257
4.4691	11.5236
4.4652	11.6334
4.4614	11.7514
4.4576	11.8719
4.4537	11.9906
4.4499	12.1031
4.4461	12.2074
4.4423	12.3031
4.4385	12.3926
4.4347	12.4789
4.4309	12.5639
4.4271	12.6491
4.4233	12.7362
