Name: Green Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  500-1500 Micrometer
Sample No.:   qtzite2.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 376, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description:  This medium to fine-grained rock contains aligned quartz grains 
showing strain, pressure solution effects, recrystallization and scattered fluid 
inclusions.  Green bands or lenses contain cores of larger grains surrounded by 
smaller ones produced by mechanical breakage (cataclasis).  These grains are 
colorless to very pale green and appear to be tremolite.   Modes for this sample 
were 77.5% quartz and 22.5% amphibole. 
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  None

8.2419	27.3004
8.2288	27.2828
8.2158	27.1798
8.2028	26.9605
8.1898	26.5816
8.1769	26.0012
8.164	25.1783
8.1512	24.1145
8.1384	22.8733
8.1256	21.5322
8.1129	20.1653
8.1002	18.8406
8.0876	17.5909
8.075	16.422
8.0624	15.3227
8.0499	14.2928
8.0374	13.3403
8.025	12.4653
8.0126	11.653
8.0002	10.8888
7.9879	10.1497
7.9756	9.416
7.9634	8.6843
7.9512	7.9634
7.939	7.2705
7.9268	6.6235
7.9147	6.0312
7.9027	5.4965
7.8906	5.0174
7.8786	4.5914
7.8667	4.2167
7.8548	3.8835
7.8429	3.5892
7.831	3.3334
7.8192	3.1139
7.8075	2.9285
7.7957	2.7696
7.784	2.6289
7.7723	2.493
7.7607	2.3525
7.7491	2.2088
7.7375	2.062
7.726	1.9189
7.7145	1.7922
7.7031	1.6797
7.6916	1.5736
7.6802	1.469
7.6689	1.3702
7.6575	1.2857
7.6462	1.2061
7.635	1.1313
7.6238	1.0725
7.6126	1.0202
7.6014	0.9667
7.5903	0.9217
7.5792	0.8888
7.5681	0.8644
7.5571	0.839
7.5461	0.8128
7.5351	0.7919
7.5242	0.7666
7.5133	0.7408
7.5024	0.7263
7.4916	0.7171
7.4807	0.7043
7.47	0.6872
7.4592	0.6737
7.4485	0.6643
7.4378	0.655
7.4272	0.6522
7.4165	0.6546
7.4059	0.6569
7.3954	0.6557
7.3848	0.6541
7.3743	0.6536
7.3639	0.6515
7.3534	0.6493
7.343	0.6475
7.3326	0.6411
7.3223	0.6342
7.3119	0.6328
7.3016	0.6385
7.2914	0.6496
7.2811	0.6614
7.2709	0.6716
7.2607	0.6853
7.2506	0.7019
7.2404	0.7199
7.2303	0.7379
7.2203	0.7498
7.2102	0.7564
7.2002	0.7573
7.1902	0.7472
7.1803	0.7386
7.1703	0.7434
7.1604	0.7528
7.1506	0.7621
7.1407	0.7692
7.1309	0.7794
7.1211	0.7912
7.1113	0.7959
7.1016	0.7969
7.0919	0.8023
7.0822	0.8097
7.0725	0.8177
7.0629	0.8225
7.0533	0.8277
7.0437	0.8319
7.0341	0.8345
7.0246	0.8357
7.0151	0.8454
7.0056	0.8667
6.9962	0.8847
6.9867	0.8954
6.9773	0.907
6.9679	0.917
6.9586	0.9193
6.9493	0.912
6.94	0.9068
6.9307	0.9129
6.9214	0.9155
6.9122	0.9158
6.903	0.9196
6.8938	0.9271
6.8847	0.9326
6.8755	0.925
6.8664	0.9139
6.8573	0.9162
6.8483	0.9252
6.8393	0.9371
6.8302	0.9492
6.8213	0.9589
6.8123	0.9631
6.8034	0.9589
6.7944	0.9496
6.7855	0.9468
6.7767	0.9522
6.7678	0.9586
6.759	0.9681
6.7502	0.9754
6.7414	0.9811
6.7327	0.9906
6.7239	0.9989
6.7152	1.0105
6.7065	1.0185
6.6979	1.02
6.6892	1.0245
6.6806	1.032
6.672	1.0377
6.6634	1.0481
6.6549	1.0616
6.6464	1.0728
6.6378	1.0749
6.6294	1.0735
6.6209	1.0756
6.6124	1.0794
6.604	1.0818
6.5956	1.0924
6.5872	1.1
6.5789	1.096
6.5705	1.0929
6.5622	1.096
6.5539	1.1026
6.5456	1.1116
6.5374	1.1232
6.5292	1.1405
6.5209	1.1568
6.5128	1.1708
6.5046	1.1926
6.4964	1.2222
6.4883	1.2509
6.4802	1.2774
6.4721	1.3023
6.464	1.3262
6.456	1.3465
6.448	1.3612
6.4399	1.3719
6.432	1.3813
6.424	1.3847
6.416	1.3813
6.4081	1.3804
6.4002	1.3776
6.3923	1.37
6.3844	1.3598
6.3766	1.3491
6.3687	1.3399
6.3609	1.3262
6.3531	1.3096
6.3454	1.298
6.3376	1.2921
6.3299	1.2861
6.3221	1.2821
6.3144	1.2835
6.3068	1.2821
6.2991	1.2686
6.2914	1.248
6.2838	1.2281
6.2762	1.2179
6.2686	1.2115
6.2611	1.2108
6.2535	1.2203
6.246	1.2272
6.2385	1.2317
6.231	1.2374
6.2235	1.2397
6.216	1.2426
6.2086	1.2414
6.2011	1.2402
6.1937	1.2435
6.1863	1.2426
6.179	1.2438
6.1716	1.2544
6.1643	1.2734
6.157	1.2994
6.1496	1.3285
6.1424	1.361
6.1351	1.3934
6.1278	1.4136
6.1206	1.4263
6.1134	1.4406
6.1062	1.4524
6.099	1.4661
6.0918	1.4837
6.0847	1.5005
6.0776	1.5178
6.0704	1.5353
6.0633	1.553
6.0563	1.5665
6.0492	1.571
6.0421	1.5762
6.0351	1.5812
6.0281	1.5826
6.0211	1.5852
6.0141	1.5902
6.0071	1.5914
6.0002	1.5862
5.9932	1.5767
5.9863	1.5651
5.9794	1.553
5.9725	1.5402
5.9657	1.5317
5.9588	1.5353
5.952	1.5433
5.9451	1.5497
5.9383	1.5585
5.9315	1.5661
5.9247	1.5701
5.918	1.5744
5.9112	1.5862
5.9045	1.6089
5.8978	1.6364
5.8911	1.6603
5.8844	1.6878
5.8777	1.7112
5.8711	1.7292
5.8644	1.7529
5.8578	1.7797
5.8512	1.7996
5.8446	1.8211
5.838	1.8498
5.8314	1.8806
5.8249	1.9054
5.8184	1.931
5.8118	1.9601
5.8053	1.9843
5.7988	1.9978
5.7923	2.0148
5.7859	2.0404
5.7794	2.062
5.773	2.0807
5.7666	2.1046
5.7602	2.1283
5.7538	2.1448
5.7474	2.1583
5.741	2.1735
5.7347	2.1868
5.7283	2.1974
5.722	2.21
5.7157	2.2249
5.7094	2.2315
5.7031	2.2228
5.6969	2.2076
5.6906	2.1863
5.6844	2.1519
5.6782	2.1129
5.6719	2.0743
5.6657	2.0342
5.6596	1.9862
5.6534	1.936
5.6472	1.8962
5.6411	1.8659
5.6349	1.8391
5.6288	1.8202
5.6227	1.8088
5.6166	1.7984
5.6106	1.7851
5.6045	1.7704
5.5984	1.7607
5.5924	1.7584
5.5864	1.7612
5.5804	1.7629
5.5744	1.764
5.5684	1.7671
5.5624	1.7723
5.5564	1.7773
5.5505	1.787
5.5445	1.7986
5.5386	1.8121
5.5327	1.8232
5.5268	1.8327
5.5209	1.8441
5.5151	1.8611
5.5092	1.8794
5.5033	1.8993
5.4975	1.9194
5.4917	1.9405
5.4859	1.966
5.4801	1.9878
5.4743	2.0028
5.4685	2.016
5.4628	2.0297
5.457	2.0432
5.4513	2.0506
5.4455	2.048
5.4398	2.0397
5.4341	2.0222
5.4284	1.9956
5.4228	1.9672
5.4171	1.9426
5.4114	1.9229
5.4058	1.9
5.4002	1.8737
5.3945	1.8491
5.3889	1.8273
5.3833	1.8076
5.3778	1.7856
5.3722	1.7636
5.3666	1.7491
5.3611	1.7432
5.3555	1.7396
5.35	1.7363
5.3445	1.7392
5.339	1.7451
5.3335	1.7477
5.328	1.746
5.3225	1.7468
5.3171	1.7531
5.3116	1.756
5.3062	1.7579
5.3008	1.7671
5.2954	1.7804
5.29	1.792
5.2846	1.8005
5.2792	1.8107
5.2738	1.8223
5.2684	1.8315
5.2631	1.8424
5.2578	1.8626
5.2524	1.8891
5.2471	1.9168
5.2418	1.9485
5.2365	1.9848
5.2312	2.0191
5.226	2.0518
5.2207	2.0852
5.2154	2.1193
5.2102	2.1496
5.205	2.1752
5.1998	2.1927
5.1945	2.2026
5.1893	2.2062
5.1842	2.2048
5.179	2.2031
5.1738	2.2005
5.1686	2.1984
5.1635	2.196
5.1584	2.1953
5.1532	2.2012
5.1481	2.2074
5.143	2.2083
5.1379	2.2114
5.1328	2.2154
5.1277	2.2178
5.1227	2.2164
5.1176	2.2235
5.1126	2.2325
5.1075	2.2327
5.1025	2.2263
5.0975	2.2201
5.0925	2.2133
5.0875	2.2031
5.0825	2.1929
5.0775	2.1908
5.0726	2.1896
5.0676	2.1811
5.0627	2.1721
5.0577	2.1711
5.0528	2.1773
5.0479	2.1811
5.043	2.1832
5.038	2.1877
5.0332	2.1894
5.0283	2.1837
5.0234	2.178
5.0185	2.1792
5.0137	2.1853
5.0088	2.1934
5.004	2.2048
4.9992	2.2187
4.9944	2.2336
4.9896	2.2495
4.9848	2.2675
4.98	2.29
4.9752	2.3194
4.9704	2.3611
4.9657	2.4134
4.9609	2.4662
4.9562	2.514
4.9514	2.5586
4.9467	2.5957
4.942	2.6239
4.9373	2.6476
4.9326	2.6791
4.9279	2.7243
4.9232	2.7805
4.9186	2.8529
4.9139	2.9562
4.9092	3.0928
4.9046	3.2624
4.9	3.4686
4.8953	3.7135
4.8907	3.9918
4.8861	4.2892
4.8815	4.5985
4.8769	4.9182
4.8723	5.2431
4.8678	5.5671
4.8632	5.8816
4.8586	6.1842
4.8541	6.4802
4.8495	6.7691
4.845	7.051
4.8405	7.3276
4.836	7.5949
4.8315	7.8554
4.827	8.1069
4.8225	8.3506
4.818	8.5969
4.8135	8.8484
4.809	9.0985
4.8046	9.3478
4.8001	9.5894
4.7957	9.8241
4.7913	10.0588
4.7868	10.292
4.7824	10.5241
4.778	10.7543
4.7736	10.9797
4.7692	11.1988
4.7648	11.4046
4.7605	11.5985
4.7561	11.7873
4.7517	11.9691
4.7474	12.1373
4.7431	12.2915
4.7387	12.4305
4.7344	12.5441
4.7301	12.6242
4.7258	12.6647
4.7215	12.6578
4.7172	12.5884
4.7129	12.4404
4.7086	12.2005
4.7043	11.8638
4.7	11.4446
4.6958	10.9901
4.6915	10.5726
4.6873	10.2653
4.6831	10.1272
4.6788	10.1859
4.6746	10.4341
4.6704	10.8343
4.6662	11.3243
4.662	11.8514
4.6578	12.3862
4.6536	12.9136
4.6495	13.4414
4.6453	13.979
4.6411	14.5291
4.637	15.088
4.6328	15.6329
4.6287	16.1442
4.6246	16.6091
4.6205	17.0223
4.6163	17.3913
4.6122	17.7171
4.6081	17.9999
4.604	18.2471
4.6	18.4619
4.5959	18.6476
4.5918	18.7994
4.5877	18.9145
4.5837	18.9919
4.5796	19.0255
4.5756	19.0177
4.5716	18.9687
4.5675	18.8719
4.5635	18.7179
4.5595	18.4932
4.5555	18.1872
4.5515	17.7981
4.5475	17.3314
4.5435	16.8049
4.5395	16.2332
4.5356	15.6284
4.5316	15.0009
4.5276	14.352
4.5237	13.6794
4.5197	12.9875
4.5158	12.2877
4.5119	11.6061
4.508	10.9736
4.504	10.4197
4.5001	9.9692
4.4962	9.6249
4.4923	9.3748
4.4884	9.1972
4.4846	9.0594
4.4807	8.936
4.4768	8.8228
4.473	8.7323
4.4691	8.6883
4.4652	8.7148
4.4614	8.8257
4.4576	9.0149
4.4537	9.2517
4.4499	9.493
4.4461	9.7106
4.4423	9.8989
4.4385	10.0661
4.4347	10.2302
4.4309	10.4052
4.4271	10.6022
4.4233	10.8239
4.4196	11.064
4.4158	11.3158
4.412	11.5867
4.4083	11.8801
4.4045	12.1989
4.4008	12.5441
4.3971	12.9185
4.3934	13.3254
4.3896	13.7623
4.3859	14.226
4.3822	14.7131
4.3785	15.2152
4.3748	15.7267
4.3711	16.2432
4.3674	16.7587
4.3638	17.2648
4.3601	17.7519
4.3564	18.2159
4.3528	18.6495
4.3491	19.0464
4.3455	19.4026
4.3418	19.7125
4.3382	19.9754
4.3346	20.1845
4.331	20.3323
4.3273	20.4157
4.3237	20.4393
4.3201	20.4088
4.3165	20.3228
4.3129	20.1893
4.3094	20.0263
4.3058	19.8468
4.3022	19.664
4.2986	19.497
4.2951	19.3647
4.2915	19.2742
4.288	19.2252
4.2844	19.2188
4.2809	19.2503
4.2774	19.3166
4.2738	19.4317
4.2703	19.6131
4.2668	19.8553
