Name: Aplite
Type: Rocks
Class: Igneous
Subclass: Felsic
Particle Size: Solid
Sample No.: Aplite.H1
Owner: JHU
Wavelength range: All
Origin: From Boulder County, Colorado via Ward's Scientific (Cat. No. W-
101)
Description: A fine-grained to medium-grained leucocratic rock composed 
of quartz, feldspar, micas and opaques.




Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.0112
Last X Value: 0.4000
Number of X Values: 2844
Additional information:	aplite1a.doc
9.8185	20.7377
9.7999	20.6880
9.7814	20.6995
9.7630	20.7197
9.7447	20.7684
9.7264	20.9573
9.7082	21.1455
9.6900	21.2753
9.6719	21.5472
9.6539	21.8800
9.6360	22.1130
9.6181	22.3233
9.6003	22.5046
9.5825	22.6284
9.5649	22.7287
9.5472	22.7718
9.5297	22.8108
9.5122	22.8900
9.4948	22.9188
9.4774	22.8974
9.4601	22.8461
9.4429	22.7772
9.4257	22.7651
9.4086	23.0306
9.3916	23.6568
9.3746	24.4841
9.3577	25.3495
9.3408	26.1116
9.3240	26.7233
9.3073	27.1521
9.2906	27.3963
9.2740	27.5617
9.2574	27.6979
9.2409	27.8467
9.2245	27.8540
9.2081	27.7019
9.1918	27.5563
9.1755	27.6088
9.1593	27.4909
9.1431	27.2667
9.1270	27.0274
9.1110	26.6986
9.0950	26.3856
9.0791	26.1911
9.0632	25.9701
9.0474	25.7343
9.0316	25.5412
9.0159	25.3815
9.0003	25.3136
8.9847	25.4654
8.9691	25.6610
8.9536	25.8921
8.9382	26.1225
8.9228	26.3877
8.9075	26.6540
8.8922	26.8340
8.8770	26.9812
8.8618	27.1155
8.8467	27.2981
8.8316	27.4251
8.8166	27.4978
8.8016	27.5580
8.7867	27.6095
8.7718	27.6231
8.7570	27.5310
8.7423	27.5074
8.7275	27.4764
8.7129	27.3121
8.6982	27.0414
8.6837	26.5911
8.6692	25.8370
8.6547	24.7640
8.6403	23.5476
8.6259	23.0054
8.6116	23.6264
8.5973	24.9028
8.5830	26.0915
8.5688	26.8846
8.5547	27.3079
8.5406	27.5765
8.5266	27.7332
8.5126	27.7788
8.4986	27.7420
8.4847	27.6623
8.4708	27.5744
8.4570	27.5317
8.4432	27.3825
8.4295	27.1991
8.4158	27.0444
8.4022	26.8523
8.3886	26.6477
8.3750	26.3765
8.3615	26.0727
8.3481	25.7189
8.3347	25.3068
8.3213	24.9049
8.3079	24.4462
8.2946	23.9509
8.2814	23.4314
8.2682	22.9202
8.2550	22.3719
8.2419	21.7600
8.2288	21.1080
8.2158	20.4344
8.2028	19.7170
8.1898	19.0054
8.1769	18.1909
8.1640	17.2935
8.1512	16.2602
8.1384	15.1415
8.1256	14.0353
8.1129	12.9607
8.1002	11.9100
8.0876	10.9282
8.0750	10.0284
8.0624	9.2437
8.0499	8.4942
8.0374	7.8138
8.0250	7.1937
8.0126	6.6483
8.0002	6.1537
7.9879	5.6747
7.9756	5.2218
7.9634	4.8145
7.9512	4.4053
7.9390	4.0041
7.9268	3.6937
7.9147	3.4083
7.9027	3.1200
7.8906	2.8833
7.8786	2.6717
7.8667	2.4849
7.8548	2.3288
7.8429	2.1657
7.8310	2.0660
7.8192	1.9924
7.8075	1.9047
7.7957	1.8366
7.7840	1.7800
7.7723	1.6957
7.7607	1.6195
7.7491	1.5452
7.7375	1.4878
7.7260	1.4655
7.7145	1.4053
7.7031	1.3067
7.6916	1.2535
7.6802	1.2375
7.6689	1.1428
7.6575	0.9494
7.6462	0.9924
7.6350	1.0831
7.6238	1.0955
7.6126	1.0870
7.6014	1.0699
7.5903	1.0404
7.5792	1.0228
7.5681	1.0289
7.5571	1.0357
7.5461	1.0336
7.5351	1.0008
7.5242	0.9795
7.5133	1.0050
7.5024	1.0101
7.4916	1.0008
7.4807	1.0231
7.4700	1.0296
7.4592	1.0327
7.4485	1.0242
7.4378	1.0198
7.4272	1.0158
7.4165	1.0376
7.4059	1.0533
7.3954	1.0528
7.3848	1.0437
7.3743	1.0052
7.3639	1.0143
7.3534	1.0854
7.3430	1.1006
7.3326	1.0955
7.3223	1.0720
7.3119	1.0894
7.3016	1.1210
7.2914	1.1138
7.2811	1.1044
7.2709	1.1138
7.2607	1.1341
7.2506	1.1725
7.2404	1.1632
7.2303	1.1482
7.2203	1.1452
7.2102	1.1829
7.2002	1.1707
7.1902	1.1803
7.1803	1.2171
7.1703	1.2312
7.1604	1.2392
7.1506	1.2753
7.1407	1.2900
7.1309	1.3137
7.1211	1.3188
7.1113	1.3177
7.1016	1.3399
7.0919	1.3823
7.0822	1.4187
7.0725	1.4460
7.0629	1.4655
7.0533	1.4733
7.0437	1.5115
7.0341	1.5377
7.0246	1.5436
7.0151	1.5471
7.0056	1.5275
6.9962	1.5309
6.9867	1.5626
6.9773	1.5748
6.9679	1.5413
6.9586	1.5372
6.9493	1.5853
6.9400	1.5984
6.9307	1.6148
6.9214	1.6319
6.9122	1.6068
6.9030	1.6163
6.8938	1.6336
6.8847	1.6369
6.8755	1.6566
6.8664	1.6549
6.8573	1.6818
6.8483	1.7065
6.8393	1.6901
6.8302	1.6481
6.8213	1.6301
6.8123	1.6327
6.8034	1.6758
6.7944	1.6579
6.7855	1.6441
6.7767	1.6692
6.7678	1.6955
6.7590	1.7013
6.7502	1.7060
6.7414	1.6908
6.7327	1.7067
6.7239	1.7457
6.7152	1.7156
6.7065	1.6854
6.6979	1.7332
6.6892	1.7634
6.6806	1.7457
6.6720	1.7418
6.6634	1.7595
6.6549	1.7829
6.6464	1.8012
6.6378	1.8211
6.6294	1.8155
6.6209	1.8014
6.6124	1.7758
6.6040	1.7646
6.5956	1.8089
6.5872	1.8082
6.5789	1.8086
6.5705	1.8204
6.5622	1.7963
6.5539	1.7768
6.5456	1.8187
6.5374	1.8600
6.5292	1.8372
6.5209	1.8421
6.5128	1.8229
6.5046	1.8340
6.4964	1.8757
6.4883	1.8862
6.4802	1.8778
6.4721	1.8696
6.4640	1.8504
6.4560	1.8488
6.4480	1.8501
6.4399	1.8639
6.4320	1.8825
6.4240	1.8564
6.4160	1.8204
6.4081	1.8150
6.4002	1.8312
6.3923	1.8127
6.3844	1.8007
6.3766	1.7939
6.3687	1.7916
6.3609	1.7963
6.3531	1.7625
6.3454	1.7585
6.3376	1.8190
6.3299	1.7939
6.3221	1.7442
6.3144	1.7571
6.3068	1.7845
6.2991	1.8033
6.2914	1.7843
6.2838	1.7529
6.2762	1.7414
6.2686	1.7463
6.2611	1.7587
6.2535	1.7688
6.2460	1.7618
6.2385	1.7623
6.2310	1.7557
6.2235	1.7506
6.2160	1.7559
6.2086	1.7792
6.2011	1.8080
6.1937	1.7990
6.1863	1.8026
6.1790	1.7653
6.1716	1.7480
6.1643	1.7909
6.1570	1.8052
6.1496	1.7808
6.1424	1.7704
6.1351	1.8324
6.1278	1.8925
6.1206	1.8893
6.1134	1.8621
