Name:  Kyanite Al2SiO5
Type:  Mineral
Class:  Silicates
Subclass:  Nesosilicates (Isolated Tetrahedra); (Al2SiO5 Group)
Particle Size:  Coarse  (75-250 micrometers)
Sample No.: kyanite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Brazil (?) via the Smithsonian (sample no. NMNH 139740)

Description: The sample consisted of two blue crystals, each about 1.5 
cm x 0.4 cm x 0.4 cm in size.  Both displayed a very small amount of 
brown coating (limonite?), which could be scraped off or picked out 
after initial crushing of the crystals.  Under the microscope, the 
resulting sample appears pure and unaltered.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  kyanit1a.txt

11.17274743	4.6179
11.14871946	4.7678
11.12479461	4.8794
11.10097222	4.9216
11.07725165	4.9126
11.05363222	4.8362
11.03011331	4.6938
11.00669427	4.5613
10.98337447	4.4497
10.96015327	4.3296
10.93703005	4.2898
10.9140042	4.3625
10.89107509	4.4766
10.86824213	4.626
10.8455047	4.8415
10.82286221	5.0732
10.80031407	5.3047
10.77785969	5.5586
10.75549848	5.8308
10.73322986	6.1079
10.71106474	6.3972
10.68897956	6.6946
10.66698525	6.9648
10.64508128	7.185
10.62326708	7.3813
10.6015421	7.4746
10.5799058	7.4768
10.55835763	7.4819
10.53689705	7.5481
10.51552354	7.6975
10.49423657	7.9187
10.4730356	8.1767
10.45192012	8.4282
10.43088962	8.6794
10.40994358	8.9238
10.38908149	9.1255
10.36830285	9.3315
10.34760717	9.5639
10.32699394	9.7895
10.30646267	10.0049
10.28601287	10.2495
10.26564407	10.4746
10.24535578	10.5979
10.22514752	10.6841
10.20502924	10.7385
10.1849796	10.6611
10.16500858	10.4648
10.14511574	10.2134
10.12530059	9.8679
10.10556271	9.4214
10.08590162	8.9836
10.0663169	8.6067
10.04680808	8.2756
10.02737473	8.042
10.00801642	7.9433
9.98873271	7.9463
9.969523168	8.0762
9.950387369	8.3471
9.931324888	8.686
9.912335307	9.049
9.893427994	9.4487
9.874582922	9.8625
9.855809507	10.2348
9.83710734	10.5981
9.818476015	10.9616
9.799915133	11.2905
9.781424293	11.5483
9.7630031	11.7776
9.744651161	11.9729
9.726368087	12.1174
9.70815349	12.2509
9.690006986	12.3691
9.671928196	12.4502
9.653916739	12.5158
9.635972241	12.5793
9.618094328	12.6184
9.600282632	12.6538
9.582536785	12.6977
9.564856422	12.7021
9.547241181	12.6706
9.529690704	12.6484
9.512204634	12.5778
9.494782617	12.4238
9.477424301	12.2475
9.460138288	12.0515
9.4429063	11.8076
9.425736975	11.5791
9.408629972	11.4153
9.391584952	11.2712
9.374601579	11.1262
9.35767952	11.0378
9.340818443	10.9968
9.324018018	10.9414
9.307277919	10.8962
9.290597822	10.8618
9.273977405	10.8156
9.257416348	10.7651
9.240914333	10.7302
9.224471046	10.674
9.208086173	10.5945
9.191759404	10.5327
9.17549043	10.4756
9.159278945	10.376
9.143124645	10.2636
9.127027227	10.1372
9.110986392	9.9551
9.095001842	9.7348
9.079073281	9.5071
9.06320863	9.2685
9.04739114	8.9834
9.031628764	8.6972
9.015921215	8.4114
9.000268208	8.0967
8.984669459	7.7898
8.969124685	7.5071
8.953633608	7.2187
8.93819595	6.9158
8.922811435	6.6243
8.907479789	6.3118
8.89220074	5.9719
8.876974017	5.6379
8.861799353	5.3017
8.846676481	4.9609
8.831605135	4.6548
8.816585054	4.366
8.801615977	4.0864
8.786697643	3.8132
8.771829795	3.5476
8.757012178	3.2839
8.742244536	3.0305
8.727526619	2.7939
8.712858175	2.5522
8.69824652	2.3213
8.683676252	2.113
8.669154714	1.9202
8.654681663	1.7344
8.640256858	1.5474
8.625880055	1.373
8.611551018	1.22
8.597269507	1.0662
8.583035287	0.9326
8.568848124	0.8174
8.554707784	0.7126
8.540614036	0.6226
8.52656665	0.553
8.512565398	0.5054
8.498610052	0.468
8.484700388	0.4395
8.470836182	0.4324
8.45701721	0.4375
8.443243252	0.4565
8.429514089	0.4626
8.415829502	0.4846
8.402189274	0.5203
8.388593191	0.552
8.375041038	0.5872
8.361539594	0.6182
8.348074642	0.6516
8.334652987	0.6809
8.32127442	0.7151
8.307938734	0.7517
8.294645723	0.79
8.281395183	0.8281
8.268186911	0.8503
8.255020704	0.8726
8.241896361	0.8994
8.228813685	0.9321
8.215772476	0.9663
8.202772537	0.9971
8.189813674	1.0259
8.176895691	1.0591
8.164018395	1.0896
8.151188239	1.1162
8.138391724	1.1457
8.125635323	1.1775
8.11291885	1.2122
8.100242116	1.2449
8.087604937	1.261
8.075007126	1.2793
8.062448501	1.3035
8.049928879	1.3345
8.037448078	1.3696
8.025005918	1.396
8.012602221	1.4109
8.000236807	1.4329
7.9879095	1.4639
7.975620124	1.499
7.963368505	1.5293
7.951154468	1.5496
7.938977841	1.5701
7.926838452	1.5991
7.914736131	1.6277
7.902670708	1.657
7.890642014	1.6843
7.878649883	1.7148
7.866694148	1.7402
7.854780812	1.7671
7.842897355	1.7935
7.831049799	1.8154
7.819237984	1.8386
7.807461747	1.8669
7.795720929	1.8867
7.784015369	1.8962
7.772344909	1.9158
7.760709391	1.939
7.749108659	1.9546
7.737542556	1.9734
7.726010929	2.0002
7.714513623	2.0225
7.703050485	2.0381
7.691621363	2.0644
7.680226106	2.0869
7.668864563	2.1108
7.657536586	2.134
7.646242025	2.1497
7.634980733	2.165
7.623752563	2.1799
7.61255737	2.2051
7.601395008	2.218
7.590265333	2.2266
7.579173946	2.2463
7.568109199	2.2698
7.557076711	2.2793
7.546076342	2.29
7.535107952	2.3101
7.524171401	2.3279
7.51326655	2.3396
7.502393263	2.352
7.491551403	2.3655
7.480740833	2.3784
7.469961418	2.387
7.459213023	2.3943
7.448495516	2.4062
7.437808762	2.4214
7.42715263	2.4292
7.416526989	2.4304
7.405931707	2.4309
7.395366655	2.4495
7.384831703	2.4658
7.374326724	2.4834
7.363851589	2.5032
7.353406171	2.522
7.342990345	2.5386
7.332603984	2.5662
7.322252325	2.5864
7.311924506	2.5979
7.30162578	2.6128
7.291356025	2.6284
7.281115117	2.6387
7.270902937	2.6565
7.260719363	2.6731
7.250564275	2.6816
7.240437554	2.6912
7.230339081	2.7009
7.220268738	2.7026
7.210226408	2.7087
7.200211974	2.7226
7.19022532	2.7229
7.18026633	2.7244
7.17033489	2.7363
7.160436013	2.7405
7.150559317	2.7473
7.140709829	2.7605
7.130887439	2.7766
7.121092034	2.7895
7.111323503	2.802
7.101581735	2.8113
7.091866622	2.8215
7.082178053	2.8318
7.07251592	2.8372
7.062880115	2.844
7.053270531	2.8513
7.04368706	2.8562
7.034129597	2.8594
7.024598035	2.8603
7.01509227	2.8608
7.005612196	2.8645
6.99615771	2.8718
6.986728709	2.8684
6.977325089	2.8704
6.967946748	2.8882
6.958593585	2.8948
6.949265497	2.8877
6.939962385	2.8892
6.930688952	2.8923
6.921435478	2.8926
6.912206681	2.8909
6.903002461	2.8923
6.893822721	2.8979
6.884667364	2.9018
6.875536292	2.9089
6.866429409	2.9265
6.857346618	2.9363
6.848287825	2.9419
6.839252935	2.9546
6.830241852	2.9587
6.821254483	2.968
6.812290735	2.9724
6.803350514	2.9707
6.794433728	2.9719
6.785540285	2.9673
6.776670093	2.9578
6.767823062	2.9624
6.7589991	2.967
6.750198118	2.968
6.741420026	2.9744
6.732664735	2.9929
6.723932156	3.0063
6.715226709	3.0227
6.706539278	3.043
6.697874296	3.0725
6.689231675	3.0962
6.680611329	3.1072
6.672013173	3.1313
6.663437121	3.1533
6.654883087	3.1606
6.646350987	3.1767
6.637840737	3.2048
6.629352253	3.2258
6.620885451	3.238
6.612440248	3.258
6.604016563	3.2781
6.595614312	3.3057
6.587233415	3.3362
6.578873789	3.3628
6.570535354	3.3901
6.56221803	3.4116
6.553921736	3.435
6.545646392	3.4575
6.537391921	3.4785
6.529158241	3.4997
6.520945276	3.519
6.512757189	3.5349
6.504585407	3.5647
6.496434107	3.5991
6.488303211	3.616
6.480192643	3.6301
6.472102327	3.6582
6.464032186	3.6765
6.455982145	3.6977
6.44795213	3.7344
6.439942066	3.7676
6.431951879	3.7917
6.423981494	3.812
6.416030838	3.844
6.408099838	3.8696
6.400188422	3.8867
6.392296516	3.9126
6.384424048	3.9392
6.376570948	3.9656
6.368737143	4.0005
6.360922563	4.0317
6.353127136	4.0627
6.345350793	4.1011
6.337593464	4.133
6.329855078	4.1579
6.322139564	4.1792
6.314438848	4.2012
6.30675687	4.2229
6.29909356	4.238
6.291448851	4.2537
6.283822676	4.2693
6.276214965	4.2788
6.268625654	4.2829
6.261054675	4.2939
6.253501961	4.3057
6.245967447	4.3291
6.238451067	4.3533
6.230952756	4.3686
6.223472449	4.385
6.21601008	4.4058
6.208565585	4.4302
6.201142747	4.4604
6.1937338	4.4941
6.186342535	4.5276
6.178968891	4.5444
6.171612803	4.5664
6.164274209	4.605
6.156953047	4.6318
6.149649255	4.6499
6.14236277	4.6811
6.135093533	4.7117
6.12784148	4.74
6.120606552	4.7805
6.113388688	4.8218
6.106187828	4.8525
6.099003911	4.895
6.091836878	4.9485
6.084686669	4.9973
6.077553226	5.052
6.070436489	5.1011
6.063336399	5.1391
6.056252899	5.1887
6.049185931	5.2524
6.042135436	5.2898
6.035101357	5.3025
6.02808727	5.3254
6.021085843	5.3564
6.01410066	5.3852
6.007131667	5.4143
6.000178805	5.4477
5.99324202	5.4824
5.986321256	5.52
5.979416457	5.5632
5.972527568	5.6111
5.965654534	5.665
5.9587973	5.7244
5.951955813	5.7905
5.945130017	5.8596
5.938319859	5.9419
5.931525286	6.0163
5.924746243	6.0693
5.917982678	6.1233
5.911234538	6.1802
5.904501769	6.239
5.89778432	6.3069
5.891082139	6.3555
5.884395172	6.4018
5.87772337	6.4546
5.871066679	6.4812
5.864428488	6.5176
5.85780186	6.5483
5.851190191	6.5647
5.84459343	6.5827
5.838011527	6.6042
5.831444431	6.6145
5.824892094	6.6311
5.818354465	6.6372
5.811831494	6.6252
5.805323133	6.6152
5.798829332	6.6138
5.792350043	6.6145
5.785885217	6.6084
5.779434806	6.6067
5.772998761	6.615
5.766577035	6.6091
5.760169579	6.5852
5.753776347	6.5622
5.747397291	6.542
5.741032364	6.4971
5.734681519	6.4372
5.728344709	6.3667
5.722021888	6.2812
5.715713009	6.1741
5.709421287	6.0466
5.703140149	5.896
5.696872816	5.7285
5.690619242	5.5483
5.684379382	5.3459
5.678153192	5.1391
5.671940626	4.9558
5.66574164	4.7883
5.659556189	4.637
5.653384229	4.5139
5.647225716	4.4226
5.641080605	4.3437
5.634948854	4.2671
5.628830419	4.2002
5.622725256	4.134
5.616633323	4.0703
5.610557723	4.0068
5.604492113	3.9429
5.598439603	3.8806
5.592400152	3.8267
5.586373717	3.7778
5.580360257	3.7302
5.574359729	3.6887
5.568372092	3.6489
5.562397304	3.6018
5.556435324	3.5608
5.550486112	3.5327
5.544549625	3.5032
5.538625823	3.469
5.532714665	3.4448
5.526816112	3.4236
5.520930122	3.3965
5.515056656	3.375
5.509195674	3.3618
5.503347136	3.344
5.497511002	3.3262
5.491687233	3.3064
5.48587579	3.2956
5.480076633	3.2869
5.474289725	3.281
5.468518015	3.29
5.462755479	3.2883
5.457005076	3.2732
5.451266765	3.2727
5.445540511	3.2744
5.439826274	3.2703
5.434124016	3.2634
5.428433701	3.2598
5.422755291	3.2529
5.417088748	3.2483
5.411434035	3.2466
5.405791116	3.2353
5.400159953	3.2322
5.394540509	3.2341
5.388932749	3.2256
5.383336635	3.2236
5.377752132	3.2356
5.372179203	3.24
5.366617813	3.2361
5.361067925	3.2353
5.355529504	3.2327
5.350002515	3.2341
5.344486921	3.2375
5.338982689	3.2429
5.333492627	3.2439
5.328011006	3.2456
5.32254064	3.2515
5.317081497	3.2561
5.31163354	3.2663
5.306196736	3.2781
5.30077105	3.2915
5.295356449	3.3093
5.289952898	3.321
5.284560364	3.3306
5.279178813	3.3433
5.273808212	3.3596
5.268448526	3.3755
5.263099724	3.3833
5.257761771	3.3904
5.252434635	3.4021
5.247118283	3.4036
5.241812682	3.3999
5.236517799	3.3982
5.231233603	3.3918
5.225960061	3.3913
5.220697141	3.3889
5.21544481	3.3874
5.210203036	3.3918
5.204974498	3.3918
5.19975374	3.3975
5.194543444	3.4033
5.189343579	3.4082
5.184154115	3.4214
5.178975019	3.4346
5.173806261	3.4387
5.168647809	3.4431
5.163499634	3.4504
5.158361704	3.4578
5.153233989	3.4626
5.148116459	3.4756
5.143009082	3.491
5.137911829	3.5029
5.13282467	3.5271
5.127747575	3.5608
5.122680514	3.5942
5.117623458	3.6338
5.112576376	3.6865
5.107539239	3.7466
5.102512018	3.811
5.097494683	3.8765
5.092487206	3.9446
5.087489558	4.0137
5.082504292	4.0923
5.077526209	4.1736
5.072557868	4.2436
5.06759924	4.3083
5.062650297	4.3823
5.057711011	4.457
5.052781354	4.5249
5.047861297	4.6003
5.042950812	4.687
5.038049872	4.7693
5.033158448	4.8486
5.028276513	4.939
5.023404039	5.0242
5.018541	5.0998
5.013687367	5.185
5.008843113	5.269
5.004010715	5.3428
4.999185133	5.4226
4.994368849	5.5015
4.989561837	5.573
4.984764069	5.6428
4.979975518	5.7082
4.97519616	5.7785
4.970425966	5.8474
4.96566491	5.9104
4.960912967	5.98
4.95617011	6.0552
4.951436313	6.1304
4.94671155	6.2068
4.941995795	6.2912
4.937289023	6.3823
4.932591209	6.4665
4.927902325	6.5542
4.923222347	6.6374
4.918551251	6.7187
4.913889009	6.801
4.909235598	6.8691
4.904590991	6.9316
4.899955165	6.9978
4.895328095	7.0617
4.890712146	7.1304
4.886102507	7.2002
4.88150155	7.2702
4.876909249	7.3396
4.87232558	7.4172
4.86775052	7.5061
4.863184043	7.581
4.858626126	7.6594
4.854076745	7.7529
4.849535875	7.8418
4.845003493	7.9284
4.840479575	8.0163
4.835964098	8.0998
4.831457037	8.1833
4.826958369	8.2768
4.822468072	8.3667
4.81798612	8.4512
4.813512492	8.529
4.809047164	8.6177
4.804590113	8.7068
4.800141316	8.7942
4.79570075	8.8879
4.791268392	8.9797
4.78684422	9.0644
4.782430498	9.1538
4.778022625	9.2329
4.773622869	9.2988
4.769231209	9.3738
4.764847623	9.4406
4.760472086	9.4941
4.756104579	9.5447
4.751745078	9.6023
4.747393562	9.6472
4.743050009	9.6784
4.738714396	9.7224
4.734386703	9.7656
4.730066907	9.7949
4.725754987	9.831
4.721450921	9.8733
4.717154688	9.9023
4.712866266	9.9233
4.708585635	9.9514
4.704312773	9.9773
4.700047658	9.9985
4.695790271	10.0234
4.691540589	10.0439
4.687298593	10.0632
4.68306426	10.0818
4.67883976	10.1001
4.67462069	10.1167
4.670409221	10.1338
4.666205334	10.1584
4.662009009	10.1723
4.657820224	10.1855
4.65363896	10.2085
4.649465195	10.2226
4.645298911	10.2353
4.641140087	10.2527
4.636988702	10.2724
4.632844738	10.2829
4.628708174	10.2954
4.62457899	10.3125
4.620457167	10.3239
4.616342684	10.3318
4.612235523	10.3457
4.608135664	10.3601
4.604043086	10.362
4.599957772	10.3701
4.595879702	10.3906
4.591808856	10.3982
4.587745215	10.4026
4.58368876	10.4084
4.57964157	10.4157
4.575599426	10.4258
4.571564412	10.4392
4.567536508	10.4455
4.563515696	10.4536
4.559501956	10.4658
4.555495271	10.4748
4.551495621	10.4721
4.547502989	10.4758
4.543517355	10.4905
4.539538701	10.4958
4.535567009	10.4953
4.531602261	10.5053
4.527644439	10.5154
4.523693523	10.5071
4.519749497	10.5053
4.515814382	10.5176
4.511884077	10.5241
4.507960608	10.5263
4.504043956	10.542
4.500134104	10.5554
4.496231034	10.5549
4.492334729	10.5613
4.488445171	10.5727
4.484562343	10.573
4.480686226	10.5791
4.476816804	10.592
4.47295406	10.5962
4.469097975	10.5937
4.465248534	10.6008
4.461405718	10.6052
4.45756951	10.6081
4.453739894	10.6172
4.449916853	10.6223
4.44610037	10.6291
4.442290427	10.6303
4.438487009	10.6362
4.434690097	10.6428
4.430899676	10.6528
4.42711573	10.6623
4.423340197	10.6657
4.419569145	10.6645
4.415804518	10.665
4.412046298	10.6694
4.408294471	10.6692
4.404549018	10.6699
4.400809925	10.6804
4.397077175	10.6867
4.393350752	10.6845
4.389630639	10.6828
4.385916821	10.6838
4.382209282	10.6897
4.378508006	10.7029
4.374812977	10.7129
4.371124179	10.7046
4.367441596	10.7099
4.363765214	10.7195
4.360095015	10.7092
4.356430985	10.7107
4.352773108	10.7207
4.349121369	10.7243
4.345475751	10.7236
4.341836241	10.7317
4.338202821	10.7343
4.334577357	10.7204
4.330956072	10.7121
4.327340832	10.7119
4.323731623	10.7114
4.320128429	10.709
4.316531235	10.7009
4.312940028	10.6948
4.30935479	10.6863
4.305775509	10.6731
4.302202168	10.6736
4.298634754	10.6743
4.29507325	10.667
4.291517644	10.6555
4.287967919	10.6418
4.284424062	10.6377
4.280886058	10.6418
4.277353892	10.6323
4.27382755	10.6223
4.270307018	10.622
4.266792281	10.6272
4.263283325	10.635
4.259780136	10.6394
4.256282699	10.6462
4.252791	10.6474
4.249306832	10.6504
4.245826565	10.665
4.242351994	10.6726
4.238883105	10.6704
4.235419885	10.6899
4.231962319	10.7068
4.228510393	10.7068
4.225064094	10.7129
4.221623408	10.7238
4.218188322	10.7356
4.214758821	10.7466
4.211334892	10.7546
4.207916522	10.7578
4.204503696	10.7551
4.201096402	10.7544
4.197694626	10.7578
4.194300114	10.7668
4.190909331	10.7712
4.187524026	10.7732
4.184144186	10.778
4.180769797	10.7798
4.177400846	10.7785
4.174037321	10.78
4.170679208	10.7802
4.167326493	10.7822
4.163979165	10.7832
4.16063721	10.7805
4.157300615	10.781
4.153969367	10.778
4.150643454	10.7756
4.147322862	10.7783
4.144007579	10.7827
4.140697592	10.7854
4.137392888	10.7861
4.134093455	10.7863
4.130799281	10.7868
4.127510352	10.7995
4.124226656	10.8017
4.120948181	10.8037
4.117674914	10.811
4.114408535	10.8095
4.111145645	10.8142
4.107887925	10.8159
4.104635365	10.8156
4.101387951	10.8154
4.098145671	10.832
4.094908514	10.844
4.091676466	10.8408
4.088449517	10.8403
4.085227653	10.8488
4.082010864	10.8574
4.078799136	10.8652
4.075592459	10.8652
4.072390819	10.8642
4.069194206	10.8716
4.066002607	10.8777
4.062816011	10.8808
4.059634406	10.8838
4.056457779	10.8879
4.053286121	10.8911
4.050119418	10.894
4.046957659	10.8933
4.043800833	10.8911
4.040648928	10.9001
4.037503563	10.9096
4.034361463	10.914
4.031224251	10.9157
4.028091913	10.9126
4.024964439	10.9133
4.021841819	10.9177
4.018724039	10.9282
4.01561109	10.936
4.012502959	10.9367
4.009399637	10.9345
4.00630111	10.9409
4.00320737	10.9497
4.000118404	10.9502
3.997034201	10.9516
3.99395475	10.9568
3.990880041	10.9614
3.987810062	10.9634
3.984744803	10.9653
3.981684252	10.9665
3.9786284	10.9675
3.975577234	10.9738
3.972530744	10.9746
3.96948892	10.9751
3.966451751	10.9817
3.963420797	10.9917
3.960392903	11
3.957369631	11.0002
3.954350972	11.0029
3.951336915	11.0036
3.948327449	11.009
3.945322564	11.0158
3.942322249	11.0151
3.939326493	11.0207
3.936335288	11.0307
3.933348621	11.0322
3.930366483	11.0366
3.927388864	11.0422
3.924415753	11.0446
3.921447139	11.0522
3.918483014	11.0542
3.915523366	11.0678
3.912568186	11.0735
3.909617463	11.0708
3.906671188	11.0742
3.90372935	11.0783
3.900791939	11.0803
3.897858945	11.0884
3.894930359	11.0964
3.892007684	11.0979
3.889087881	11.1035
3.886172454	11.1059
3.883261396	11.1064
3.880354695	11.1089
3.877452343	11.114
3.874554329	11.113
3.871660644	11.1135
3.868771278	11.1157
3.865886222	11.1245
3.863005465	11.1284
3.860128998	11.1255
3.857256812	11.1259
3.854388896	11.1369
3.851525243	11.1443
3.848665841	11.1401
3.845812161	11.1377
3.842961232	11.1421
3.840114528	11.1465
3.837272037	11.1457
3.834433752	11.1435
3.831599662	11.1379
3.828769759	11.1374
3.825944033	11.1406
3.823122474	11.1477
3.820305074	11.1421
3.817491824	11.1321
3.814682714	11.1264
3.811877735	11.1162
3.809076878	11.1106
3.806280134	11.1084
3.803487494	11.0969
3.800698949	11.0903
3.797914489	11.093
3.795134107	11.0898
3.792357792	11.0932
3.789585537	11.094
3.786817332	11.082
3.784053167	11.0754
3.781293036	11.0686
3.778538356	11.0639
3.77578626	11.06
3.773038171	11.0539
3.770294079	11.0483
3.767553976	11.0388
3.764817852	11.0263
3.7620857	11.0105
3.759357511	10.9988
3.756633275	10.9807
3.753912985	10.9704
3.751196632	10.9558
3.748484207	10.9482
3.745775701	10.9458
3.743071107	10.9399
3.740370416	10.9231
3.73767362	10.9082
3.734980709	10.906
3.732291676	10.8994
3.729606512	10.8987
3.726925208	10.8943
3.724247758	10.884
3.721574151	10.8759
3.718904381	10.885
3.716238438	10.8838
3.713577694	10.8747
3.71091938	10.8681
3.708264869	10.8752
3.705614154	10.8794
3.702967225	10.8747
3.700324074	10.8694
3.697684695	10.8694
3.695049078	10.8657
3.692417215	10.8642
3.689789099	10.8633
3.687164722	10.8674
3.684544075	10.8657
3.68192715	10.8676
3.67931394	10.8735
3.676704437	10.8703
3.674098633	10.8733
3.67149652	10.874
3.66889809	10.8691
3.666303336	10.8681
3.663712249	10.8774
3.661124822	10.8767
3.658541047	10.8686
3.655960916	10.8696
