Name:  Prehnite Ca2Al2Si3O10(OH)2
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Chlorite Group)
Particle Size:  Solid
Sample No.:  prehnite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Paterson, New Jersey, USA via Norma Vergo

Description: The sample consisted of a cluster of light green, 
translucent crystals weighing about 14 g. Purity appeared high in 
hand sample and under the microscope.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  prehni1a.txt

11.97263534	2.1597
11.945048	2.2302
11.9175875	2.3003
11.8902671	2.3672
11.86305761	2.4351
11.83597236	2.4927
11.80901051	2.5432
11.78217122	2.6035
11.75545365	2.667
11.72885698	2.7244
11.70238038	2.7827
11.67602305	2.8623
11.64978419	2.9641
11.62366299	3.074
11.59765866	3.1711
11.57177043	3.2595
11.54599752	3.3279
11.52033916	3.3747
11.49479458	3.4038
11.46936304	3.4153
11.44404378	3.4231
11.41883606	3.4329
11.39373914	3.4521
11.3687523	3.4868
11.34387482	3.5322
11.31910597	3.594
11.29444505	3.6716
11.26990406	3.7502
11.24545684	3.8396
11.22111545	3.9531
11.19687921	4.0845
11.17274743	4.2212
11.14871946	4.3752
11.12479461	4.5476
11.10097222	4.7295
11.07725165	4.9231
11.05363222	5.1252
11.03011331	5.3425
11.00669427	5.5815
10.98337447	5.845
10.96015327	6.1443
10.93703005	6.4673
10.9140042	6.8188
10.89107509	7.185
10.86824213	7.509
10.8455047	7.8088
10.82286221	8.0932
10.80031407	8.3125
10.77785969	8.4743
10.75549848	8.5781
10.73322986	8.5874
10.71106474	8.4936
10.68897956	8.3244
10.66698525	8.1362
10.64508128	7.9853
10.62326708	7.9228
10.6015421	7.8989
10.5799058	7.802
10.55835763	7.6152
10.53689705	7.3874
10.51552354	7.1367
10.49423657	6.8887
10.4730356	6.6853
10.45192012	6.4846
10.43088962	6.2366
10.40994358	5.9805
10.38908149	5.7712
10.36830285	5.6352
10.34760717	5.6128
10.32699394	5.7275
10.30646267	5.9704
10.28601287	6.3081
10.26564407	6.7104
10.24535578	7.1462
10.22514752	7.6045
10.20502924	8.0771
10.1849796	8.5342
10.16500858	8.9253
10.14511574	9.2204
10.12530059	9.4673
10.10556271	9.6892
10.08590162	9.8874
10.0663169	10.0652
10.04680808	10.1823
