Name:  Prehnite Ca2Al2Si3O10(OH)2
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Chlorite Group)
Particle Size:  Fine  (Less than 2  Micrometers)
Sample No.:  prehnite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Paterson, New Jersey, USA via Norma Vergo

Description: The sample consisted of a cluster of light green, 
translucent crystals weighing about 14 g. Purity appeared high in 
hand sample and under the microscope.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  prehni1a.txt

11.97263534	73.6585
11.945048	73.7361
11.9175875	73.6248
11.8902671	73.408
11.86305761	73.1912
11.83597236	72.9959
11.80901051	72.6883
11.78217122	72.3499
11.75545365	72.0081
11.72885698	71.6561
11.70238038	71.0472
11.67602305	70.3123
11.64978419	69.3016
11.62366299	68.1688
11.59765866	66.8597
11.57177043	65.6488
11.54599752	64.5042
11.52033916	63.7035
11.49479458	63.16
11.46936304	62.9237
11.44404378	62.8573
11.41883606	62.95
11.39373914	62.9886
11.3687523	63.0238
11.34387482	62.9071
11.31910597	62.7264
11.29444505	62.3245
11.26990406	61.8368
11.24545684	61.2093
11.22111545	60.4222
11.19687921	59.451
11.17274743	58.3573
11.14871946	57.0848
11.12479461	55.6327
11.10097222	54.0253
11.07725165	52.329
11.05363222	50.5594
11.03011331	48.7523
11.00669427	46.8759
10.98337447	44.912
10.96015327	42.869
10.93703005	40.746
10.9140042	38.62
10.89107509	36.4735
10.86824213	34.4257
10.8455047	32.5414
10.82286221	30.8715
10.80031407	29.4775
10.77785969	28.4374
10.75549848	27.7797
10.73322986	27.4599
10.71106474	27.475
10.68897956	27.6679
10.66698525	27.9472
10.64508128	28.2817
10.62326708	28.725
10.6015421	29.3412
10.5799058	30.2719
10.55835763	31.5107
10.53689705	32.8505
10.51552354	34.1034
10.49423657	35.0819
10.4730356	35.6039
10.45192012	35.663
10.43088962	35.2948
10.40994358	34.5595
10.38908149	33.5517
10.36830285	32.4652
10.34760717	31.4179
10.32699394	30.3886
10.30646267	29.3246
10.28601287	28.1645
10.26564407	26.8354
10.24535578	25.352
10.22514752	23.8793
10.20502924	22.5551
10.1849796	21.4746
10.16500858	20.665
10.14511574	20.1074
10.12530059	19.7236
10.10556271	19.4765
10.08590162	19.3437
10.0663169	19.3505
10.04680808	19.5415
10.02737473	19.9057
10.00801642	20.3999
9.98873271	20.9951
9.969523168	21.7172
9.950387369	22.5659
9.931324888	23.5102
9.912335307	24.5683
9.893427994	25.6977
9.874582922	26.9218
9.855809507	28.2133
9.83710734	29.6288
9.818476015	31.1737
9.799915133	32.8559
9.781424293	34.7196
9.7630031	36.7548
9.744651161	38.9013
9.726368087	41.1239
9.70815349	43.4203
9.690006986	45.6273
9.671928196	47.7367
9.653916739	49.681
9.635972241	51.3827
9.618094328	52.6918
9.600282632	53.6644
9.582536785	54.1175
9.564856422	53.8348
9.547241181	52.5956
9.529690704	50.2738
9.512204634	46.8842
9.494782617	43.0106
9.477424301	39.4628
9.460138288	36.9589
9.4429063	35.4755
9.425736975	34.6781
9.408629972	34.2714
9.391584952	34.0317
9.374601579	33.6249
9.35767952	33.0722
9.340818443	32.7333
9.324018018	32.9325
9.307277919	33.5981
9.290597822	34.3954
9.273977405	35.1488
9.257416348	35.8119
9.240914333	36.3183
9.224471046	36.5966
9.208086173	36.7231
9.191759404	36.7211
9.17549043	36.5761
9.159278945	36.3202
9.143124645	36.0341
9.127027227	35.7782
9.110986392	35.7152
9.095001842	35.8183
9.079073281	36.0976
9.06320863	36.5419
9.04739114	37.244
9.031628764	38.2069
9.015921215	39.4296
9.000268208	40.8583
8.984669459	42.4745
8.969124685	44.1708
8.953633608	45.9164
8.93819595	47.7347
8.922811435	49.5682
8.907479789	51.4139
8.89220074	53.2318
8.876974017	54.9735
8.861799353	56.5648
8.846676481	58.0316
8.831605135	59.3641
8.816585054	60.5623
8.801615977	61.6131
8.786697643	62.5907
8.771829795	63.4779
8.757012178	64.4041
8.742244536	65.4105
8.727526619	66.4481
8.712858175	67.3348
8.69824652	68.1258
8.683676252	68.8651
8.669154714	69.5677
8.654681663	70.1556
8.640256858	70.7293
8.625880055	71.2579
8.611551018	71.8204
8.597269507	72.3409
8.583035287	72.9083
8.568848124	73.3995
8.554707784	73.8909
8.540614036	74.3672
8.52656665	74.8467
8.512565398	75.2608
8.498610052	75.7098
8.484700388	76.1248
8.470836182	76.543
8.45701721	76.9417
8.443243252	77.3636
8.429514089	77.7425
8.415829502	78.0606
8.402189274	78.3946
8.388593191	78.7793
8.375041038	79.1893
8.361539594	79.6114
8.348074642	80.0391
8.334652987	80.4073
8.32127442	80.7908
8.307938734	81.126
8.294645723	81.4707
8.281395183	81.7549
8.268186911	82.1084
8.255020704	82.3799
8.241896361	82.6592
8.228813685	82.9053
8.215772476	83.2156
8.202772537	83.4275
8.189813674	83.6817
8.176895691	83.9119
8.164018395	84.1367
8.151188239	84.3006
8.138391724	84.5423
8.125635323	84.7752
8.11291885	85.0183
8.100242116	85.2342
8.087604937	85.4656
8.075007126	85.6472
8.062448501	85.8528
8.049928879	86.0242
8.037448078	86.1797
8.025005918	86.3465
8.012602221	86.5049
8.000236807	86.6726
7.9879095	86.8123
7.975620124	86.9871
7.963368505	87.1199
7.951154468	87.2678
7.938977841	87.3924
7.926838452	87.5703
7.914736131	87.6926
7.902670708	87.8386
7.890642014	87.958
7.878649883	88.0911
7.866694148	88.1787
7.854780812	88.2959
7.842897355	88.3591
7.831049799	88.4326
7.819237984	88.4922
7.807461747	88.5908
7.795720929	88.6504
7.784015369	88.7478
7.772344909	88.8223
7.760709391	88.877
7.749108659	88.8479
7.737542556	88.7571
7.726010929	88.5867
7.714513623	88.5457
7.703050485	88.7151
7.691621363	88.9407
7.680226106	88.9539
7.668864563	88.7605
7.657536586	88.511
7.646242025	88.4075
7.634980733	88.6113
7.623752563	89.0628
7.61255737	89.6106
7.601395008	90.0593
7.590265333	90.3936
7.579173946	90.6514
7.568109199	90.8623
7.557076711	90.9871
7.546076342	91.1204
7.535107952	91.1726
7.524171401	91.2205
7.51326655	91.2061
7.502393263	91.1758
7.491551403	91.0645
7.480740833	90.8792
7.469961418	90.5225
7.459213023	90.1807
7.448495516	90.2879
7.437808762	90.7644
7.42715263	91.0584
7.416526989	91.0066
7.405931707	90.6433
7.395366655	89.9951
7.384831703	89.5506
7.374326724	89.9024
7.363851589	90.7327
7.353406171	91.3694
7.342990345	91.752
7.332603984	91.9714
7.322252325	92.1228
7.311924506	92.1563
7.30162578	92.177
7.291356025	92.1231
7.281115117	92.0789
7.270902937	92.0195
7.260719363	91.992
7.250564275	91.8196
7.240437554	91.6443
7.230339081	91.4209
7.220268738	91.1814
7.210226408	90.7927
7.200211974	90.3699
7.19022532	89.9072
7.18026633	89.322
7.17033489	88.6914
7.160436013	88.1856
7.150559317	87.8084
7.140709829	87.7361
7.130887439	88.095
7.121092034	88.7088
7.111323503	89.4348
7.101581735	90.0852
7.091866622	90.5505
7.082178053	90.8377
7.07251592	91.0886
7.062880115	91.2522
7.053270531	91.2952
7.04368706	91.2473
7.034129597	91.4275
7.024598035	91.5967
7.01509227	91.7722
7.005612196	91.9121
6.99615771	91.9785
6.986728709	92.0752
6.977325089	92.4158
6.967946748	92.7227
6.958593585	92.9407
6.949265497	93.1865
6.939962385	93.3799
6.930688952	93.4587
6.921435478	93.4304
6.912206681	93.1965
6.903002461	92.6943
6.893822721	92.3079
6.884667364	92.4461
6.875536292	92.5447
6.866429409	91.958
6.857346618	91.6318
6.848287825	92.1404
6.839252935	92.9583
6.830241852	93.4915
6.821254483	93.8545
6.812290735	94.1238
6.803350514	94.2566
6.794433728	94.2102
6.785540285	94.2566
6.776670093	94.3623
6.767823062	94.4824
6.7589991	94.5271
6.750198118	94.5256
6.741420026	94.4763
6.732664735	94.4412
6.723932156	94.3096
6.715226709	94.1738
6.706539278	94.0537
6.697874296	94.0244
6.689231675	93.8145
6.680611329	93.5623
6.672013173	93.4187
6.663437121	93.2839
6.654883087	93.0408
6.646350987	92.5186
6.637840737	91.8254
6.629352253	91.3836
6.620885451	90.9912
6.612440248	90.3928
6.604016563	89.8977
6.595614312	89.5789
6.587233415	89.6121
6.578873789	89.7698
6.570535354	90.0215
6.56221803	90.3259
6.553921736	90.4004
6.545646392	90.2742
6.537391921	90.1419
6.529158241	89.9014
6.520945276	89.6123
6.512757189	89.4717
6.504585407	89.3067
6.496434107	88.8496
6.488303211	88.659
6.480192643	88.6248
6.472102327	88.5383
6.464032186	88.4636
6.455982145	88.4473
6.44795213	88.4798
6.439942066	88.5508
6.431951879	88.6248
6.423981494	88.6892
6.416030838	88.5215
6.408099838	88.5901
6.400188422	88.917
6.392296516	88.9265
6.384424048	88.7937
6.376570948	88.5828
6.368737143	88.3877
6.360922563	88.3723
6.353127136	88.4238
6.345350793	88.4324
6.337593464	88.8391
6.329855078	89.3938
6.322139564	89.8933
6.314438848	90.3076
6.30675687	90.7097
6.29909356	90.9734
6.291448851	91.1668
6.283822676	91.2246
6.276214965	91.1843
6.268625654	90.9541
6.261054675	90.5527
6.253501961	89.8721
6.245967447	88.9365
6.238451067	87.7674
6.230952756	86.6944
6.223472449	86.1287
6.21601008	86.366
6.208565585	87.3301
6.201142747	88.711
6.1937338	90.042
6.186342535	91.0869
6.178968891	92.044
6.171612803	92.6721
6.164274209	92.6465
6.156953047	92.3613
6.149649255	92.2813
6.14236277	92.4102
6.135093533	92.8069
6.12784148	93.3005
6.120606552	93.6611
6.113388688	93.8555
6.106187828	94.2727
6.099003911	94.6572
6.091836878	94.9814
6.084686669	95.3262
6.077553226	95.5947
6.070436489	95.9033
6.063336399	96.3425
6.056252899	96.4416
6.049185931	96.2991
6.042135436	96.6951
6.035101357	97.1934
6.02808727	97.3953
6.021085843	97.4705
6.01410066	97.4841
6.007131667	97.6116
6.000178805	97.7051
5.99324202	97.6152
5.986321256	97.614
5.979416457	97.6865
5.972527568	97.5781
5.965654534	97.4333
5.9587973	97.3874
5.951955813	97.1572
5.945130017	96.8376
5.938319859	96.3796
5.931525286	96.3528
5.924746243	96.6165
5.917982678	96.7578
5.911234538	96.9473
5.904501769	97.1533
5.89778432	97.1504
5.891082139	97.4482
5.884395172	97.6257
5.87772337	97.7627
5.871066679	98.1396
5.864428488	98.3025
5.85780186	98.3962
5.851190191	98.5334
5.84459343	98.6096
5.838011527	98.6667
5.831444431	98.6289
5.824892094	98.5442
5.818354465	98.5957
5.811831494	98.8669
5.805323133	98.9968
5.798829332	99.0508
5.792350043	99.0906
5.785885217	99.0998
5.779434806	99.0979
5.772998761	99.0068
5.766577035	98.8193
5.760169579	98.9914
5.753776347	99.1875
5.747397291	99.1338
5.741032364	99.1855
5.734681519	99.2146
5.728344709	99.239
5.722021888	99.2048
5.715713009	99.1738
5.709421287	99.1213
5.703140149	99.2295
5.696872816	99.2781
5.690619242	99.2678
5.684379382	99.2786
5.678153192	99.2585
5.671940626	99.2246
5.66574164	99.3293
5.659556189	99.3083
5.653384229	99.2839
5.647225716	99.2517
5.641080605	99.1709
5.634948854	99.2783
5.628830419	99.4092
