Name:  Chrysotile Mg3Si2O5(OH)4
Type:  Mineral
Class:   Silicates 
Subclass:   Phyllosilicates (sheet silicates) (Serpentine/Kaplin Group)
Particle Size: Coarse  (74-250 Micrometer) - fiber bundle
Sample No.:  chrysotile.1
Owner:  JHU
Wavelength Range:  IR
Origin: Smithsonian NMNH 91197; Sample from Kaapsche Hoop, 
Barberton, Transvaal (E), South Africa.
Description:  The hand sample was fibrous, asbestiform. The sample 
was relatively clean and sample portions with dust adhering were 
discarded.  The remainder was a fibrous white mass weighing 
approximately 2.35 g.  Aside from adhering dust, the sample showed 
no contamination.  The sample appears to be pure chrysotile under 
the microscope.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: chryso1a.txt

17.93824937	5.8755
17.8763919	5.7656
17.81495958	5.6042
17.75394803	5.4258
17.69335296	5.3125
17.63317011	5.207
17.57339529	5.1274
17.51402436	5.1011
17.45505324	5.1763
17.39647791	5.2573
17.3382944	5.2632
17.28049878	5.2705
17.2230872	5.31
17.16605584	5.321
17.10940093	5.3708
17.05311876	5.4258
16.99720566	5.3813
16.94165801	5.3183
16.88647225	5.2988
16.83167317	5.3323
16.77720046	5.3379
16.72307919	5.3777
16.66930597	5.5024
16.61587747	5.6948
16.56279037	6.0459
16.51004141	6.5112
16.45762737	6.9121
16.40554507	7.2178
16.35379138	7.499
16.30236319	7.6843
16.25125744	7.833
16.20047111	8.0305
16.15000121	8.2602
16.0998448	8.5127
16.04999896	8.8447
16.00048641	9.2778
15.95125297	9.6645
15.90232158	9.9961
15.85368947	10.3784
15.80535391	10.6904
15.75731218	10.8716
15.70956162	11.042
15.6620996	11.2212
15.61492349	11.31
15.56803074	11.3405
15.52141878	11.3325
15.47508511	11.3366
15.42902725	11.3708
15.38324273	11.3344
15.33772913	11.3027
15.29248405	11.2986
15.24750513	11.2719
15.20279002	11.2177
15.1583364	11.1552
15.114142	11.1052
15.07020455	11.0256
15.02652181	10.8279
14.98309158	10.5771
14.93991168	10.26
14.89700213	9.8183
14.85431629	9.3703
14.81187438	8.9448
14.76967431	8.468
14.72771402	7.8918
14.68599147	7.3049
14.64450465	6.6948
14.60325156	6.0088
14.56223023	5.3979
14.52143873	4.9202
14.48087511	4.5173
14.44053748	4.177
14.40042395	3.7988
14.36053266	3.3418
14.32086177	2.8757
14.28140946	2.5107
14.24217393	2.2873
14.20315338	2.1467
14.16434607	2.0752
14.12575025	2.0142
14.0873642	1.9258
14.0491862	1.8896
14.01121458	1.8806
13.97344765	1.8467
13.93590321	1.8567
13.89854065	1.8701
13.8613779	1.8997
13.82441336	1.9487
13.78764544	1.9656
13.75107258	1.9783
13.71469324	2.0056
13.67850587	2.0515
13.64250897	2.0989
13.60670103	2.1406
13.57108057	2.2456
13.53564612	2.3442
13.50039624	2.375
13.46532947	2.4319
13.4304444	2.5312
13.39573962	2.605
13.36121373	2.6655
13.32686536	2.7031
13.29269314	2.7349
13.25869572	2.7685
13.22487175	2.8267
13.19121992	2.9092
13.15773892	3.0046
13.12442745	3.104
13.09130135	3.2273
13.05832501	3.3369
13.02551438	3.4358
12.99286821	3.5339
12.96038529	3.634
12.92806437	3.7383
12.89590426	3.833
12.86390376	3.9219
12.83206168	4.0173
12.80037684	4.0981
12.7688481	4.187
12.73747429	4.2954
12.70625427	4.3826
12.67518693	4.4651
12.64427113	4.5537
12.61350579	4.6391
12.58290562	4.7253
12.55243781	4.8064
12.52211719	4.8921
12.4919427	4.97
12.46191328	5.0581
12.43202789	5.1357
12.40228549	5.2114
12.37268507	5.3059
12.34322561	5.3852
12.31390609	5.4678
12.28472554	5.5378
12.25568296	5.5854
12.22677738	5.6509
12.19800782	5.7368
12.16937334	5.7908
12.14087298	5.8088
12.1125058	5.8572
12.08427087	5.9143
12.05616727	5.9546
12.02819409	5.9878
12.00035041	6.0605
11.97263534	6.1123
11.945048	6.1543
11.9175875	6.228
11.8902671	6.272
11.86305761	6.2832
11.83597236	6.3318
11.80901051	6.3977
11.78217122	6.4228
11.75545365	6.4453
11.72885698	6.5078
11.70238038	6.5701
11.67602305	6.6072
11.64978419	6.6589
11.62366299	6.7007
11.59765866	6.7373
11.57177043	6.7927
11.54599752	6.8579
11.52033916	6.9114
11.49479458	6.9499
11.46936304	6.9971
11.44404378	7.0588
11.41883606	7.136
11.39373914	7.1992
11.3687523	7.2554
11.34387482	7.3215
11.31910597	7.3716
11.29444505	7.4167
11.26990406	7.4719
11.24545684	7.5129
11.22111545	7.5437
11.19687921	7.5749
11.17274743	7.5928
11.14871946	7.5808
11.12479461	7.5586
11.10097222	7.5386
11.07725165	7.5105
11.05363222	7.4558
11.03011331	7.4304
11.00669427	7.4187
10.98337447	7.4175
10.96015327	7.4026
10.93703005	7.3603
10.9140042	7.3359
10.89107509	7.2971
10.86824213	7.2187
10.8455047	7.1618
10.82286221	7.0935
10.80031407	6.9927
10.77785969	6.8979
