Name:  Vermiculite (Mg,Fe+2,Al)3(Al,Si)4O10(OH)2.4H2O 
Type:  Mineral
Class:  Silicates 
Subclass:   Phyllosilicates (Sheet Silicates); (Vermiculite Group)
Particle Size:  Fine  (0-2 Micrometers)
Sample No.:  vermicul.1
Owner:  JHU
Wavelength Range:  IR
Origin: Llano, Texas via Norma Vergo #VTx-1 (CMS) (purchased from 
Clay Mineral Society Repository)
Description: White, earthy clay.  XRD analysis indicates pure vermiculite for the 
less than 2 micrometer size range.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

11.10097222	1.0352
11.07725165	1.0447
11.05363222	1.0298
11.03011331	1.0244
11.00669427	1.0205
10.98337447	1.0034
10.96015327	1.0076
10.93703005	1.0122
10.9140042	0.9993
10.89107509	0.9919
10.86824213	0.9971
10.8455047	0.9949
10.82286221	1.0032
10.80031407	1.0247
10.77785969	1.0251
10.75549848	1.0068
10.73322986	0.9954
10.71106474	0.9983
10.68897956	1.011
10.66698525	1.0181
10.64508128	1.0254
10.62326708	1.0337
10.6015421	1.0461
10.5799058	1.0579
10.55835763	1.073
10.53689705	1.0845
10.51552354	1.0842
10.49423657	1.0925
10.4730356	1.1113
10.45192012	1.1243
10.43088962	1.1389
10.40994358	1.1562
10.38908149	1.1782
10.36830285	1.1912
10.34760717	1.2141
10.32699394	1.2329
10.30646267	1.2356
10.28601287	1.2537
10.26564407	1.2883
10.24535578	1.3149
10.22514752	1.3433
10.20502924	1.366
10.1849796	1.3804
10.16500858	1.3979
10.14511574	1.4226
10.12530059	1.4487
10.10556271	1.4739
10.08590162	1.4968
10.0663169	1.5139
10.04680808	1.5444
10.02737473	1.5767
10.00801642	1.5967
9.98873271	1.6135
9.969523168	1.6348
9.950387369	1.6702
9.931324888	1.6948
9.912335307	1.7029
9.893427994	1.7122
9.874582922	1.7229
9.855809507	1.7222
9.83710734	1.7134
9.818476015	1.7095
9.799915133	1.7087
9.781424293	1.6951
9.7630031	1.6804
9.744651161	1.6675
9.726368087	1.6543
9.70815349	1.6448
9.690006986	1.6333
9.671928196	1.6186
9.653916739	1.6121
9.635972241	1.6016
9.618094328	1.5879
9.600282632	1.5764
9.582536785	1.5774
9.564856422	1.5686
9.547241181	1.5549
9.529690704	1.551
9.512204634	1.5344
9.494782617	1.5247
9.477424301	1.5271
9.460138288	1.53
9.4429063	1.5181
9.425736975	1.4963
9.408629972	1.4851
9.391584952	1.4895
9.374601579	1.4783
9.35767952	1.4692
9.340818443	1.4661
9.324018018	1.4636
9.307277919	1.4602
9.290597822	1.4475
9.273977405	1.4429
9.257416348	1.4421
9.240914333	1.4468
9.224471046	1.4475
9.208086173	1.4582
9.191759404	1.4648
9.17549043	1.4705
9.159278945	1.4853
9.143124645	1.4919
9.127027227	1.5132
9.110986392	1.53
9.095001842	1.5432
9.079073281	1.5559
9.06320863	1.5789
9.04739114	1.6062
9.031628764	1.6138
9.015921215	1.6186
9.000268208	1.6216
8.984669459	1.6387
8.969124685	1.6455
8.953633608	1.6218
8.93819595	1.6016
8.922811435	1.5828
8.907479789	1.5518
8.89220074	1.5083
8.876974017	1.4536
8.861799353	1.397
8.846676481	1.3332
8.831605135	1.2595
8.816585054	1.1865
8.801615977	1.1274
8.786697643	1.0715
8.771829795	1.0117
8.757012178	0.9521
8.742244536	0.9082
8.727526619	0.8801
8.712858175	0.8462
8.69824652	0.8022
8.683676252	0.7827
8.669154714	0.7654
8.654681663	0.7495
8.640256858	0.7424
8.625880055	0.7449
8.611551018	0.7517
8.597269507	0.7654
8.583035287	0.7854
8.568848124	0.7966
8.554707784	0.8142
8.540614036	0.8416
8.52656665	0.8696
8.512565398	0.8821
8.498610052	0.8948
8.484700388	0.9338
8.470836182	0.9622
8.45701721	0.9836
8.443243252	1.0161
8.429514089	1.05
8.415829502	1.0789
8.402189274	1.1143
8.388593191	1.1445
8.375041038	1.1746
8.361539594	1.2017
8.348074642	1.2288
8.334652987	1.2629
8.32127442	1.2925
8.307938734	1.3191
8.294645723	1.3391
8.281395183	1.3647
8.268186911	1.404
8.255020704	1.438
8.241896361	1.4729
8.228813685	1.5037
8.215772476	1.5356
8.202772537	1.5676
8.189813674	1.5957
8.176895691	1.6196
8.164018395	1.6431
8.151188239	1.6716
8.138391724	1.7048
8.125635323	1.7273
8.11291885	1.7478
8.100242116	1.7764
8.087604937	1.8118
8.075007126	1.8386
8.062448501	1.8577
8.049928879	1.8816
8.037448078	1.9011
8.025005918	1.9165
8.012602221	1.9424
8.000236807	1.9719
