Name:  Nontronite Na0.33Fe2+3(Si,Al)4O10.3H2O
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Smectite Group)
Particle Size:  0-2 micrometers.  (Packed powder simulates coarse.)
Sample No.:  nontron.1
Owner: JHU
Wavelength Range:  IR
Origin:  Holen Hagen, Germany via the Hunt and Salisbury Collection 
#CMS Ng-1 (purchased from the Clay Mineral Society Repository)
Description: Brown, earthy clay. Less than 2 µm fraction is nontronite, plus a faint 
trace of quartz.  Larger size fraction has abundant quartz.  (Note: Quartz features 
do not show up in spectra of the <2 µm size fraction, either sifted or packed.)



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

12.22677738	9.9695
12.19800782	9.9489
12.16937334	9.9104
12.14087298	9.82
12.1125058	9.7558
12.08427087	9.7456
12.05616727	9.7346
12.02819409	9.7324
12.00035041	9.7719
11.97263534	9.8257
11.945048	9.8889
11.9175875	9.9477
11.8902671	10.0114
11.86305761	10.0381
11.83597236	10.0447
11.80901051	10.0466
11.78217122	10.021
11.75545365	9.9963
11.72885698	9.9988
11.70238038	10.0136
11.67602305	10.0327
11.64978419	10.0754
11.62366299	10.1238
11.59765866	10.1472
11.57177043	10.1528
11.54599752	10.1855
11.52033916	10.2002
11.49479458	10.2121
11.46936304	10.2038
11.44404378	10.1819
11.41883606	10.1863
11.39373914	10.1745
11.3687523	10.1687
11.34387482	10.1672
11.31910597	10.1943
11.29444505	10.2507
11.26990406	10.2978
11.24545684	10.3572
11.22111545	10.4258
11.19687921	10.4807
11.17274743	10.56
11.14871946	10.6364
11.12479461	10.6718
11.10097222	10.7365
11.07725165	10.8237
11.05363222	10.8769
11.03011331	10.9143
11.00669427	10.9958
10.98337447	11.0871
10.96015327	11.1155
10.93703005	11.1755
10.9140042	11.2636
10.89107509	11.3098
10.86824213	11.3467
10.8455047	11.4004
10.82286221	11.4629
10.80031407	11.5078
10.77785969	11.563
10.75549848	11.6237
10.73322986	11.6799
10.71106474	11.7375
10.68897956	11.7978
10.66698525	11.8528
10.64508128	11.9074
10.62326708	11.9541
10.6015421	12.0188
10.5799058	12.0776
10.55835763	12.1389
10.53689705	12.2146
10.51552354	12.2754
10.49423657	12.3237
10.4730356	12.3906
10.45192012	12.4763
10.43088962	12.5439
10.40994358	12.6064
10.38908149	12.666
10.36830285	12.7055
10.34760717	12.7702
10.32699394	12.8493
10.30646267	12.9065
10.28601287	12.9773
10.26564407	13.0559
10.24535578	13.1157
10.22514752	13.1789
10.20502924	13.259
10.1849796	13.3423
10.16500858	13.4196
10.14511574	13.5127
10.12530059	13.6045
10.10556271	13.6787
10.08590162	13.7805
10.0663169	13.9055
10.04680808	14.0002
10.02737473	14.0937
10.00801642	14.2505
9.98873271	14.3772
9.969523168	14.4858
9.950387369	14.6335
9.931324888	14.7756
9.912335307	14.896
9.893427994	15.0383
9.874582922	15.2038
9.855809507	15.3464
9.83710734	15.4751
9.818476015	15.6372
9.799915133	15.7985
9.781424293	15.9428
9.7630031	16.1066
9.744651161	16.2578
9.726368087	16.3996
9.70815349	16.5598
9.690006986	16.7233
9.671928196	16.885
9.653916739	17.0197
9.635972241	17.1413
9.618094328	17.2495
9.600282632	17.3383
9.582536785	17.4248
9.564856422	17.4926
9.547241181	17.5371
9.529690704	17.5913
9.512204634	17.6611
9.494782617	17.7119
9.477424301	17.7421
9.460138288	17.7844
9.4429063	17.8076
9.425736975	17.7917
9.408629972	17.7727
9.391584952	17.7399
9.374601579	17.6677
9.35767952	17.6013
9.340818443	17.5449
9.324018018	17.4372
9.307277919	17.31
9.290597822	17.2136
9.273977405	17.1047
9.257416348	16.948
9.240914333	16.7841
9.224471046	16.6403
9.208086173	16.4741
9.191759404	16.3183
9.17549043	16.1943
9.159278945	16.0356
